first_day_in_week,last_day_in_week,AFHL_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.5
2019-03-10,2019-03-16,138.0,4.6
2019-03-17,2019-03-23,-28.0,27.8
2019-03-24,2019-03-30,196.0,-8.6
2019-03-31,2019-04-06,128.0,15.2
2019-04-07,2019-04-13,2.0,1.0
2019-04-14,2019-04-20,40.0,-1.0
2019-04-21,2019-04-27,-196.0,4.4
2019-04-28,2019-05-04,88.0,-14.4
2019-05-05,2019-05-11,162.0,3.4
2019-05-12,2019-05-18,-56.0,-3.2
2019-05-19,2019-05-25,-214.0,-17.8
2019-05-26,2019-06-01,-358.0,6.8
2019-06-02,2019-06-08,2.0,3.6
2019-06-09,2019-06-15,-182.0,8.0
2019-06-16,2019-06-22,142.0,3.4
2019-06-23,2019-06-29,-116.0,-2.2
2019-06-30,2019-07-06,178.0,-6.0
2019-07-07,2019-07-13,-170.0,-5.2
2019-07-14,2019-07-20,150.0,4.0
2019-07-21,2019-07-27,62.0,-14.8
2019-07-28,2019-08-03,-52.0,-10.6
2019-08-04,2019-08-10,-32.0,-0.2
2019-08-11,2019-08-17,128.0,-3.4
2019-08-18,2019-08-24,-66.0,17.4
2019-08-25,2019-08-31,-36.0,11.2
2019-09-01,2019-09-07,-40.0,-12.6
2019-09-08,2019-09-14,52.5,8.4
2019-09-15,2019-09-21,28.0,-4.5
2019-09-22,2019-09-28,-155.0,5.2
2019-09-29,2019-10-05,120.0,-6.0
2019-10-06,2019-10-12,13.333333333333336,8.333333333333334
2019-10-13,2019-10-19,-10.0,17.333333333333332
2019-10-20,2019-10-26,146.0,-7.666666666666667
2019-10-27,2019-11-02,-124.0,-5.6
2019-11-03,2019-11-09,-74.0,-1.8
2019-11-10,2019-11-16,142.0,-6.2
2019-11-17,2019-11-23,-248.0,2.2
2019-11-24,2019-11-30,-342.0,-21.6
2019-12-01,2019-12-07,4.0,-1.0
2019-12-08,2019-12-14,92.0,-0.4
2019-12-15,2019-12-21,-220.0,13.0
2019-12-22,2019-12-28,-24.0,-1.4
2019-12-29,2020-01-04,-272.0,5.0
2020-01-05,2020-01-11,76.0,7.8
2020-01-12,2020-01-18,502.0,-4.2
2020-01-19,2020-01-25,-256.0,2.4
2020-01-26,2020-02-01,218.0,-9.8
2020-02-02,2020-02-08,46.0,-17.2
2020-02-09,2020-02-15,28.0,14.8
2020-02-16,2020-02-22,-274.0,-8.8
2020-02-23,2020-02-29,-312.5,-20.0
2020-03-01,2020-03-07,-980.0,-31.074996948242188
2020-03-08,2020-03-14,-430.6,-38.67500305175781
2020-03-15,2020-03-21,515.4,17.15999755859375
2020-03-22,2020-03-28,679.2,35.84000244140625
2020-03-29,2020-04-04,-153.33333333333334,3.4
2020-04-05,2020-04-11,-600.0,-7.666666666666667
2020-04-12,2020-04-18,22.0,8.0
2020-04-19,2020-04-25,320.0,19.8
2020-04-26,2020-05-02,350.0,12.333333333333334
2020-05-03,2020-05-09,-172.0,-10.2
2020-05-10,2020-05-16,-22.0,-15.8
2020-05-17,2020-05-23,-167.5,14.0
2020-05-24,2020-05-30,-314.0,-11.5
2020-05-31,2020-06-06,-182.0,2.2
2020-06-07,2020-06-13,-181.0,-11.75
2020-06-14,2020-06-20,-132.0,-22.6
2020-06-21,2020-06-27,478.6,9.2
2020-06-28,2020-07-04,-98.0,3.400002288818359
2020-07-05,2020-07-11,-66.6,-3.2000022888183595
2020-07-12,2020-07-18,238.6,45.0
2020-07-19,2020-07-25,165.0,16.8
