first_day_in_week,last_day_in_week,ANGL_main_symb_weekly_mean_diff,EMTC.TA_weekly_mean_diff_-0.36,ANGL.TA_weekly_mean_diff_-0.37,BRND.TA_weekly_mean_diff_-0.45
2019-03-10,2019-03-16,2.6,-0.1,15.6,7.2
2019-03-17,2019-03-23,-13.4,0.16000061035155966,2.6,0.04000244140625
2019-03-24,2019-03-30,79.0,-0.1,-13.4,-3.0800048828125
2019-03-31,2019-04-06,-2.2,-0.48000030517578124,79.0,3.0
2019-04-07,2019-04-13,-25.0,-0.1,-2.2,0.04000244140625
2019-04-14,2019-04-20,-5.4,-0.7599990844726563,-25.0,-12.7199951171875
2019-04-21,2019-04-27,-21.4,0.8399993896484375,-5.4,-3.120007324218727
2019-04-28,2019-05-04,-10.0,0.5199996948242187,-21.4,-2.8199951171875455
2019-05-05,2019-05-11,-7.4,-0.38000030517577843,-10.0,0.8400024414062728
2019-05-12,2019-05-18,16.8,-0.8199996948242216,-7.4,-7.960003662109375
2019-05-19,2019-05-25,110.6,0.48000030517578124,16.8,-5.04000244140625
2019-05-26,2019-06-01,-27.0,-0.03999938964844034,110.6,0.5799987792968864
2019-06-02,2019-06-08,-11.6,0.07999877929688068,-27.0,-2.2
2019-06-09,2019-06-15,19.2,0.18000030517577842,-11.6,-0.7599975585937614
2019-06-16,2019-06-22,4.6,-1.9199996948242188,19.2,5.079998779296875
2019-06-23,2019-06-29,73.6,0.7199996948242188,4.6,1.7799987792968863
2019-06-30,2019-07-06,10.8,-0.6800003051757812,73.6,-1.9399963378906364
2019-07-07,2019-07-13,69.0,0.220001220703125,10.8,-8.460003662109363
2019-07-14,2019-07-20,-9.6,-1.6800003051757812,69.0,0.0
2019-07-21,2019-07-27,9.2,-0.28000030517578123,-9.6,-0.11999511718751137
2019-07-28,2019-08-03,25.8,-0.2,9.2,-1.2
2019-08-04,2019-08-10,-38.2,0.21999969482421874,25.8,-4.160003662109375
2019-08-11,2019-08-17,44.2,0.9600006103515625,-38.2,3.379998779296886
2019-08-18,2019-08-24,-20.0,-1.2,44.2,0.18000488281248864
2019-08-25,2019-08-31,3.4,0.01999969482421875,-20.0,1.039996337890625
2019-09-01,2019-09-07,-14.6,-0.1600006103515625,3.4,1.220001220703125
2019-09-08,2019-09-14,1.25,0.3600006103515625,-14.6,-0.4
2019-09-15,2019-09-21,1.0,1.8999996185302734,1.25,0.09999847412109375
2019-09-22,2019-09-28,-244.0,3.9600006103515626,1.0,1.8799987792968864
2019-09-29,2019-10-05,270.3333333333333,-4.950000762939453,-244.0,-17.899993896484403
2019-10-06,2019-10-12,-19.33333333333333,-0.7333323160807291,270.3333333333333,4.766662597656269
2019-10-13,2019-10-19,-9.666666666666666,-0.2666676839192708,-19.333333333333332,-3.366658528645852
2019-10-20,2019-10-26,-4.4,0.8000005086263021,-9.666666666666666,0.7333272298177084
2019-10-27,2019-11-02,55.8,-0.4,-4.4,0.9799987792968864
2019-11-03,2019-11-09,0.8,0.18000030517578125,55.8,-5.659997558593761
2019-11-10,2019-11-16,79.6,-0.8600006103515625,0.8,-0.85999755859375
2019-11-17,2019-11-23,-5.6,0.5,79.6,0.379998779296875
2019-11-24,2019-11-30,-64.2,0.2600006103515625,-5.6,14.120001220703125
2019-12-01,2019-12-07,-9.2,-0.34000091552734374,-64.2,-9.8
2019-12-08,2019-12-14,0.6,1.9,-9.2,7.75999755859375
2019-12-15,2019-12-21,37.0,-1.3800003051757783,0.6,6.279998779296875
2019-12-22,2019-12-28,-43.0,1.9200012207031194,37.0,5.220001220703125
2019-12-29,2020-01-04,23.4,-1.0200012207031193,-43.0,1.1
2020-01-05,2020-01-11,30.8,1.3600006103515596,23.4,2.0
2020-01-12,2020-01-18,28.8,0.16000061035155966,30.8,0.0
2020-01-19,2020-01-25,4.8,-0.36000061035155967,28.8,-7.520001220703125
2020-01-26,2020-02-01,10.8,0.08000030517578124,4.8,2.520001220703125
2020-02-02,2020-02-08,76.0,-0.3,10.8,1.0
2020-02-09,2020-02-15,-89.6,-0.1199996948242216,76.0,1.5199951171875
2020-02-16,2020-02-22,49.2,-0.9400009155273409,-89.6,2.4800048828125
2020-02-23,2020-02-29,-58.75,0.4400009155273409,49.2,-2.259997558593773
2020-03-01,2020-03-07,108.25,-0.15000152587889914,-58.75,-8.650001525878878
2020-03-08,2020-03-14,7.0,0.0,108.25,-20.25
2020-03-15,2020-03-21,56.4,-4.600000000000003,7.0,-1.620001220703125
2020-03-22,2020-03-28,-6.6,3.520001220703122,56.4,-0.820001220703125
2020-03-29,2020-04-04,-109.33333333333331,-0.7400009155273409,-6.6,3.84000244140625
2020-04-05,2020-04-11,0.0,2.6999994913737027,-109.33333333333333,-8.033335367838541
2020-04-12,2020-04-18,56.4,2.533335367838532,0.0,-11.799997965494791
2020-04-19,2020-04-25,2.0,0.7599990844726591,56.4,-6.079998779296875
2020-04-26,2020-05-02,-157.2,-0.16666666666666666,2.0,24.599995930989582
2020-05-03,2020-05-09,137.0,1.2,-157.2,-7.779998779296875
2020-05-10,2020-05-16,-113.2,-0.1399993896484375,137.0,-2.54000244140625
2020-05-17,2020-05-23,-65.25,0.38000030517577843,-113.2,0.460003662109375
2020-05-24,2020-05-30,47.6,-1.225000381469723,-65.25,-2.975006103515625
2020-05-31,2020-06-06,2.0,-1.2199996948242215,47.6,-2.05999755859375
