first_day_in_week,last_day_in_week,ASGR_main_symb_weekly_mean_diff,RLCO.TA_weekly_mean_diff_0.51
2019-03-10,2019-03-16,12.34000244140625,-1.0
2019-03-17,2019-03-23,-4.64000244140625,-3.2
2019-03-24,2019-03-30,2.3800048828125,1.2
2019-03-31,2019-04-06,2.5800048828125,27.6
2019-04-07,2019-04-13,-3.52000732421875,27.2
2019-04-14,2019-04-20,-2.84000244140625,-33.4
2019-04-21,2019-04-27,-3.6199951171875,-23.4
2019-04-28,2019-05-04,3.9199951171875,22.6
2019-05-05,2019-05-11,0.660009765625,-9.2
2019-05-12,2019-05-18,16.1199951171875,10.0
2019-05-19,2019-05-25,1.8800048828125,0.0
2019-05-26,2019-06-01,-1.02000732421875,9.8
2019-06-02,2019-06-08,-5.54000244140625,-9.8
2019-06-09,2019-06-15,0.7800048828125,-2.0
2019-06-16,2019-06-22,-2.14000244140625,-0.8
2019-06-23,2019-06-29,3.24000244140625,4.2
2019-06-30,2019-07-06,-3.9199951171875,7.0
2019-07-07,2019-07-13,-3.060009765625,-32.2
2019-07-14,2019-07-20,5.14000244140625,-2.4
2019-07-21,2019-07-27,2.54000244140625,29.8
2019-07-28,2019-08-03,1.3800048828125,-3.0
2019-08-04,2019-08-10,6.539990234375,-8.0
2019-08-11,2019-08-17,4.560009765625,10.2
2019-08-18,2019-08-24,-1.4,2.8
2019-08-25,2019-08-31,-4.0800048828125,11.8
2019-09-01,2019-09-07,2.9,-23.2
2019-09-08,2019-09-14,-0.725006103515625,-2.0
2019-09-15,2019-09-21,6.6800048828125,21.5
2019-09-22,2019-09-28,3.45001220703125,-1.0
2019-09-29,2019-10-05,-7.433349609375,-33.5
2019-10-06,2019-10-12,2.70001220703125,24.666666666666668
2019-10-13,2019-10-19,-2.4666748046875,0.3333333333333333
2019-10-20,2019-10-26,2.44000244140625,-32.333333333333336
2019-10-27,2019-11-02,3.1,5.0
2019-11-03,2019-11-09,-1.9,18.0
2019-11-10,2019-11-16,-4.1800048828125,-2.6
2019-11-17,2019-11-23,2.82000732421875,19.2
2019-11-24,2019-11-30,-4.34000244140625,17.0
2019-12-01,2019-12-07,4.65999755859375,14.2
2019-12-08,2019-12-14,-0.7199951171875,5.8
2019-12-15,2019-12-21,3.47999267578125,-0.2
2019-12-22,2019-12-28,5.42000732421875,-45.0
2019-12-29,2020-01-04,-0.1800048828125,-5.4
2020-01-05,2020-01-11,1.4800048828125,28.6
2020-01-12,2020-01-18,-2.3800048828125,2.2
2020-01-19,2020-01-25,-6.4,-29.2
2020-01-26,2020-02-01,4.64000244140625,-8.2
2020-02-02,2020-02-08,-3.8199951171875,30.0
2020-02-09,2020-02-15,3.139990234375,9.6
2020-02-16,2020-02-22,-15.039990234375,-3.6
2020-02-23,2020-02-29,-24.100006103515625,-64.0
2020-03-01,2020-03-07,-31.25,-59.0
2020-03-08,2020-03-14,-12.820001220703125,-85.25
2020-03-15,2020-03-21,9.820001220703123,-35.2
2020-03-22,2020-03-28,19.0,93.8
2020-03-29,2020-04-04,14.866658528645836,-7.2
2020-04-05,2020-04-11,-10.0333251953125,20.0
2020-04-12,2020-04-18,-6.95999755859375,-43.666666666666664
2020-04-19,2020-04-25,20.43332926432292,36.2
2020-04-26,2020-05-02,-7.6,-33.666666666666664
2020-05-03,2020-05-09,-5.3199951171875,-16.8
2020-05-10,2020-05-16,2.67999267578125,-21.8
2020-05-17,2020-05-23,-6.574996948242188,18.0
2020-05-24,2020-05-30,3.3,39.0
2020-05-31,2020-06-06,-9.949996948242218,-22.8
2020-06-07,2020-06-13,-5.3,18.25
2020-06-14,2020-06-20,-12.540002441406227,-12.2
2020-06-21,2020-06-27,-4.239997100830078,-9.4
2020-06-28,2020-07-04,-6.7600028991699235,3.4000152587890624
2020-07-05,2020-07-11,12.520001220703126,1.7999847412109375
2020-07-12,2020-07-18,-3.379998779296875,6.6
2020-07-19,2020-07-25,-7.525001525878906,1.0
