first_day_in_week,last_day_in_week,BSEN_main_symb_weekly_mean_diff,MLTM.TA_weekly_mean_diff_0.36,FIBIH.TA_weekly_mean_diff_0.38,LEVI.TA_weekly_mean_diff_0.39,SHGR.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,73.6,268.0,32.0,0.0,4.6
2019-03-17,2019-03-23,-4.8,316.0,24.0,26.0,27.8
2019-03-24,2019-03-30,-15.2,-16.0,-54.0,38.0,-8.6
2019-03-31,2019-04-06,20.4,170.0,24.0,262.0,15.2
2019-04-07,2019-04-13,6.2,580.0,118.0,-14.0,1.0
2019-04-14,2019-04-20,5.0,290.0,-38.0,56.0,-1.0
2019-04-21,2019-04-27,-50.2,-16.0,22.0,-14.0,4.4
2019-04-28,2019-05-04,42.4,-618.0,-88.0,-96.0,-14.4
2019-05-05,2019-05-11,17.2,116.0,6.0,-24.0,3.4
2019-05-12,2019-05-18,-41.6,140.0,38.0,-138.0,-3.2
2019-05-19,2019-05-25,-34.6,1066.0,-14.0,40.0,-17.8
2019-05-26,2019-06-01,31.6,-232.0,-56.0,86.0,6.8
2019-06-02,2019-06-08,-24.0,-158.0,16.0,86.0,3.6
2019-06-09,2019-06-15,17.8,-526.0,14.0,44.0,8.0
2019-06-16,2019-06-22,161.8,380.0,-24.0,42.0,3.4
2019-06-23,2019-06-29,264.4,28.0,62.0,48.0,-2.2
2019-06-30,2019-07-06,94.0,156.0,32.0,-44.0,-6.0
2019-07-07,2019-07-13,-136.0,-2.0,-56.0,-68.0,-5.2
2019-07-14,2019-07-20,124.0,-334.0,-66.0,30.0,4.0
2019-07-21,2019-07-27,-6.0,-46.0,32.0,76.0,-14.8
2019-07-28,2019-08-03,-126.0,54.0,92.0,158.0,-10.6
2019-08-04,2019-08-10,-64.0,-146.0,-20.0,486.0,-0.2
2019-08-11,2019-08-17,326.0,380.0,-14.0,-40.0,-3.4
2019-08-18,2019-08-24,182.0,2310.0,66.0,278.0,17.4
2019-08-25,2019-08-31,-40.0,72.0,-36.0,-212.0,11.2
2019-09-01,2019-09-07,-86.0,-114.0,-34.0,-210.0,-12.6
2019-09-08,2019-09-14,-2.5,-476.0,36.0,-14.0,8.4
2019-09-15,2019-09-21,64.0,145.0,42.5,102.5,-4.5
2019-09-22,2019-09-28,-20.0,-120.0,62.0,282.0,5.2
2019-09-29,2019-10-05,190.0,-245.0,-25.0,480.0,-6.0
2019-10-06,2019-10-12,66.66666666666667,916.6666666666666,126.66666666666667,110.0,8.333333333333334
2019-10-13,2019-10-19,-73.33333333333333,500.0,0.0,46.666666666666664,17.333333333333332
2019-10-20,2019-10-26,244.0,380.0,20.0,-13.333333333333334,-7.666666666666667
2019-10-27,2019-11-02,0.0,120.0,6.0,-8.0,-5.6
2019-11-03,2019-11-09,-30.0,-418.0,8.0,-220.0,-1.8
2019-11-10,2019-11-16,198.0,312.0,80.0,48.0,-6.2
2019-11-17,2019-11-23,-290.0,1104.0,12.0,-58.0,2.2
2019-11-24,2019-11-30,-76.0,52.0,72.0,132.0,-21.6
2019-12-01,2019-12-07,22.0,-182.0,-28.0,56.0,-1.0
2019-12-08,2019-12-14,-40.0,32.0,-26.0,166.0,-0.4
2019-12-15,2019-12-21,62.0,116.0,-56.0,124.0,13.0
2019-12-22,2019-12-28,-4.0,152.0,-2.0,-68.0,-1.4
2019-12-29,2020-01-04,-100.0,408.0,-16.0,106.0,5.0
2020-01-05,2020-01-11,290.0,220.0,-14.0,104.0,7.8
2020-01-12,2020-01-18,-80.0,-78.0,-8.0,-26.0,-4.2
2020-01-19,2020-01-25,-22.0,1782.0,-30.0,-38.0,2.4
2020-01-26,2020-02-01,-180.0,-566.0,-36.0,-100.0,-9.8
2020-02-02,2020-02-08,172.0,604.0,124.0,174.0,-17.2
2020-02-09,2020-02-15,-70.0,-400.0,-166.0,-94.0,14.8
2020-02-16,2020-02-22,-484.0,-236.0,28.0,218.0,-8.8
2020-02-23,2020-02-29,-307.5,-1396.0,-140.0,-426.0,-20.0
2020-03-01,2020-03-07,-815.5,-1357.5,-210.75,-472.5,-31.074996948242188
2020-03-08,2020-03-14,-207.6,-3262.5,-485.5,-1332.5,-38.67500305175781
2020-03-15,2020-03-21,374.4,-80.0,225.2,-124.0,17.15999755859375
2020-03-22,2020-03-28,131.2,1470.0,116.0,618.0,35.84000244140625
2020-03-29,2020-04-04,-34.666666666666664,1488.0,50.8,342.0,3.4
2020-04-05,2020-04-11,8.666666666666666,553.3333333333334,65.33333333333333,-240.0,-7.666666666666667
2020-04-12,2020-04-18,-133.0,-1210.0,-190.66666666666666,43.333333333333336,8.0
2020-04-19,2020-04-25,138.0,896.0,94.2,-224.0,19.8
2020-04-26,2020-05-02,-85.6,880.0,163.33333333333334,316.6666666666667,12.333333333333334
2020-05-03,2020-05-09,-168.8,380.0,-104.8,-394.0,-10.2
2020-05-10,2020-05-16,156.6,0.0,-135.8,186.0,-15.8
2020-05-17,2020-05-23,-167.5,472.0,62.6,-28.0,14.0
2020-05-24,2020-05-30,-14.0,-692.5,-17.5,210.0,-11.5
2020-05-31,2020-06-06,191.25,384.0,-49.8,268.0,2.2
2020-06-07,2020-06-13,-67.0,-325.0,-4.5,-72.5,-11.75
2020-06-14,2020-06-20,-168.6,960.0,-10.8,-520.0,-22.6
2020-06-21,2020-06-27,-77.39998474121094,-588.0,-81.8,-138.0,9.2
2020-06-28,2020-07-04,-251.00001525878903,-1012.0,76.80001831054688,-352.0,3.400002288818359
2020-07-05,2020-07-11,-13.0,-1072.0,-141.80001831054688,-94.0,-3.2000022888183595
2020-07-12,2020-07-18,262.0,236.0,38.6,298.0,45.0
2020-07-19,2020-07-25,18.0,-240.0,-65.6,6.0,16.8
