first_day_in_week,last_day_in_week,BYSD_main_symb_weekly_mean_diff,JBNK.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,1380.0,3.4199951171875
2019-03-17,2019-03-23,-2380.0,1.560009765625
2019-03-24,2019-03-30,-600.0,-3.34000244140625
2019-03-31,2019-04-06,880.0,3.45999755859375
2019-04-07,2019-04-13,300.0,1.05999755859375
2019-04-14,2019-04-20,220.0,10.82000732421875
2019-04-21,2019-04-27,-180.0,3.0199951171875
2019-04-28,2019-05-04,-200.0,-1.4199951171875
2019-05-05,2019-05-11,680.0,0.6199951171875
2019-05-12,2019-05-18,280.0,0.74000244140625
2019-05-19,2019-05-25,1120.0,2.1199951171875
2019-05-26,2019-06-01,20.0,-10.0
2019-06-02,2019-06-08,-520.0,-9.8
2019-06-09,2019-06-15,1060.0,0.02000732421875
2019-06-16,2019-06-22,80.0,8.539990234375
2019-06-23,2019-06-29,240.0,3.060009765625
2019-06-30,2019-07-06,-280.0,2.3199951171875
2019-07-07,2019-07-13,-540.0,-2.35999755859375
2019-07-14,2019-07-20,280.0,2.45999755859375
2019-07-21,2019-07-27,1180.0,-9.05999755859375
2019-07-28,2019-08-03,1980.0,3.27999267578125
2019-08-04,2019-08-10,320.0,0.02000732421875
2019-08-11,2019-08-17,2420.0,4.25999755859375
2019-08-18,2019-08-24,-1560.0,2.95999755859375
2019-08-25,2019-08-31,40.0,-7.5199951171875
2019-09-01,2019-09-07,-780.0,3.14000244140625
2019-09-08,2019-09-14,450.0,-0.1
2019-09-15,2019-09-21,3080.0,3.5749969482421875
2019-09-22,2019-09-28,2150.0,4.0
2019-09-29,2019-10-05,1966.666666666667,-4.25
2019-10-06,2019-10-12,3200.0,5.23333740234375
2019-10-13,2019-10-19,-1100.0,2.79998779296875
2019-10-20,2019-10-26,-460.0,-0.0333251953125
2019-10-27,2019-11-02,240.0,-4.74000244140625
2019-11-03,2019-11-09,-340.0,1.65999755859375
2019-11-10,2019-11-16,1780.0,-0.2199951171875
2019-11-17,2019-11-23,-720.0,-0.34000244140625
2019-11-24,2019-11-30,500.0,-6.1800048828125
2019-12-01,2019-12-07,3840.0,7.3800048828125
2019-12-08,2019-12-14,200.0,3.4
2019-12-15,2019-12-21,-580.0,3.0199951171875
2019-12-22,2019-12-28,460.0,5.8800048828125
2019-12-29,2020-01-04,-80.0,-4.8800048828125
2020-01-05,2020-01-11,-2300.0,7.9800048828125
2020-01-12,2020-01-18,3740.0,1.3
2020-01-19,2020-01-25,1340.0,0.85999755859375
2020-01-26,2020-02-01,5640.0,-0.7
2020-02-02,2020-02-08,580.0,-9.57999267578125
2020-02-09,2020-02-15,-1960.0,2.55999755859375
2020-02-16,2020-02-22,-2200.0,-1.72000732421875
2020-02-23,2020-02-29,-4000.0,-7.0
2020-03-01,2020-03-07,-10222.5,-8.349990844726562
2020-03-08,2020-03-14,-3040.0,-33.350006103515625
2020-03-15,2020-03-21,-222.0,-18.64000244140625
2020-03-22,2020-03-28,-3438.0,11.1
2020-03-29,2020-04-04,1730.0,11.360009765625
2020-04-05,2020-04-11,-6000.0,7.866658528645833
2020-04-12,2020-04-18,1292.0,5.099995930989583
2020-04-19,2020-04-25,5936.666666666668,12.0800048828125
2020-04-26,2020-05-02,-54.0,-3.23333740234375
2020-05-03,2020-05-09,-4790.0,0.7
2020-05-10,2020-05-16,2390.0,-5.9
2020-05-17,2020-05-23,187.5,5.5
2020-05-24,2020-05-30,-2430.0,-5.4250030517578125
2020-05-31,2020-06-06,-325.0,2.1800048828125
2020-06-07,2020-06-13,1340.0,6.6999969482421875
2020-06-14,2020-06-20,-3200.0,-5.8199951171875
2020-06-21,2020-06-27,3800.0,1.07999267578125
2020-06-28,2020-07-04,-5960.0,-151.43279752731323
2020-07-05,2020-07-11,7134.0,135.83279752731323
2020-07-12,2020-07-18,106.0,3.95999755859375
2020-07-19,2020-07-25,1747.5,0.8800048828125
