first_day_in_week,last_day_in_week,CANF_main_symb_weekly_mean_diff,SFET.TA_weekly_mean_diff_0.36,FRSX.TA_weekly_mean_diff_0.38,SPNTC.TA_weekly_mean_diff_0.38,IGLD.TA_weekly_mean_diff_0.47,BCOM.TA_weekly_mean_diff_0.52
2019-03-10,2019-03-16,5.460000610351561,19.2,0.7,13.8,96.0,-34.8
2019-03-17,2019-03-23,-14.520001220703126,-14.0,-7.119999694824219,-25.0,-1334.0,-149.6
2019-03-24,2019-03-30,-7.619999694824219,4.4,-2.6199996948242217,-29.8,-260.0,-4.3
2019-03-31,2019-04-06,-1.2,7.2,-0.7,-4.819995117187522,-810.0,-24.5
2019-04-07,2019-04-13,-2.8199996948242188,6.4,0.9,1.2199951171875227,516.0,15.24000244140625
2019-04-14,2019-04-20,0.3600006103515597,-2.4,-0.6200012207031194,0.7199951171875227,-468.0,-9.82000732421875
2019-04-21,2019-04-27,-2.16000061035156,-2.8,0.4800003051757784,2.2800048828124773,12.0,9.360009765625
2019-04-28,2019-05-04,-1.3199996948242188,-4.4,-0.5399993896484375,-0.2,-262.0,-8.2800048828125
2019-05-05,2019-05-11,-2.4,-3.6,-0.5,-2.919995117187523,-76.0,0.5800048828125
2019-05-12,2019-05-18,-6.3200004577636735,-1.6,-3.3800003051757814,1.3599975585937727,-246.0,-11.5
2019-05-19,2019-05-25,-0.9599998474121094,-1.2,0.21999969482421874,0.5199951171875,-732.0,-13.1800048828125
2019-05-26,2019-06-01,0.9599998474121094,-3.2,-2.0399993896484405,-9.140002441406228,16.0,-19.540002441406237
2019-06-02,2019-06-08,-0.8799995422363281,-4.0,0.5599990844726591,-1.4799926757812727,-138.0,3.2
2019-06-09,2019-06-15,0.6,-8.0,-1.1999992370605468,-7.54000244140625,186.0,23.899999999999988
2019-06-16,2019-06-22,-0.3600006103515625,-2.4,6.220000457763669,-0.2,100.0,15.3
2019-06-23,2019-06-29,0.1600006103515625,-2.8,-0.8600006103515596,-3.7199951171875,-38.0,-9.25999755859375
2019-06-30,2019-07-06,0.0399993896484375,3.6,8.139999389648443,0.9199951171875,-26.0,-18.959997558593773
2019-07-07,2019-07-13,0.1600006103515625,-3.2,4.8399993896484315,-5.14000244140625,56.0,4.840002441406273
2019-07-14,2019-07-20,-0.5800003051757813,-1.2,-5.8199981689453155,-11.25999755859375,552.0,6.1199951171875
2019-07-21,2019-07-27,0.18000030517578125,-12.8,0.5799987792968835,3.34000244140625,-514.0,-6.759997558593772
2019-07-28,2019-08-03,-1.060000228881835,-2.0,-0.4599990844726619,-8.74000244140625,144.0,-12.040002441406227
