first_day_in_week,last_day_in_week,CRSO_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,25.0,1.839996337890625
2019-03-17,2019-03-23,-22.4,0.820001220703125
2019-03-24,2019-03-30,-0.6,1.64000244140625
2019-03-31,2019-04-06,24.4,0.6
2019-04-07,2019-04-13,-9.6,0.879998779296875
2019-04-14,2019-04-20,-2.0,-0.479998779296875
2019-04-21,2019-04-27,-5.2,-0.320001220703125
2019-04-28,2019-05-04,9.0,1.4
2019-05-05,2019-05-11,5.4,-0.25999755859375
2019-05-12,2019-05-18,-12.2,-1.160003662109375
2019-05-19,2019-05-25,-13.2,0.779998779296875
2019-05-26,2019-06-01,-4.4,-0.879998779296875
2019-06-02,2019-06-08,23.0,0.379998779296875
2019-06-09,2019-06-15,-7.8,-2.1
2019-06-16,2019-06-22,-23.2,-1.7
2019-06-23,2019-06-29,-6.6,2.920001220703125
2019-06-30,2019-07-06,2.2,-3.420001220703125
2019-07-07,2019-07-13,-6.6,-2.3
2019-07-14,2019-07-20,-10.4,-4.139996337890636
2019-07-21,2019-07-27,3.6,1.4599975585937728
2019-07-28,2019-08-03,-8.6,2.9400024414062385
2019-08-04,2019-08-10,-12.6,-3.560003662109375
2019-08-11,2019-08-17,36.6,-0.05999755859375
2019-08-18,2019-08-24,-11.8,-0.9
2019-08-25,2019-08-31,37.4,1.9200012207031136
2019-09-01,2019-09-07,33.4,-0.32000122070311365
2019-09-08,2019-09-14,0.25,0.4799987792968864
2019-09-15,2019-09-21,-12.8,0.125
2019-09-22,2019-09-28,-35.0,-1.5200012207031364
2019-09-29,2019-10-05,-8.666666666666666,-3.149993896484375
2019-10-06,2019-10-12,24.0,3.6666666666666665
2019-10-13,2019-10-19,-31.0,3.466664632161477
2019-10-20,2019-10-26,-8.6,-2.466664632161477
2019-10-27,2019-11-02,-9.8,-1.25999755859375
2019-11-03,2019-11-09,8.8,-1.74000244140625
2019-11-10,2019-11-16,13.0,-1.2399993896484376
2019-11-17,2019-11-23,11.2,2.0800018310546875
2019-11-24,2019-11-30,-39.4,6.439996337890625
2019-12-01,2019-12-07,5.0,-1.279998779296875
2019-12-08,2019-12-14,-8.4,1.04000244140625
2019-12-15,2019-12-21,-4.2,1.239996337890625
2019-12-22,2019-12-28,15.6,1.660003662109375
2019-12-29,2020-01-04,-1.2,-1.8800048828125
2020-01-05,2020-01-11,16.2,0.64000244140625
2020-01-12,2020-01-18,-1.0,1.3
2020-01-19,2020-01-25,-1.4,-1.3
2020-01-26,2020-02-01,-3.2,-1.75999755859375
2020-02-02,2020-02-08,-3.4,-1.820001220703125
2020-02-09,2020-02-15,-4.8,-0.34000244140623864
2020-02-16,2020-02-22,-29.4,0.4999999999999886
2020-02-23,2020-02-29,-6.75,0.560003662109375
2020-03-01,2020-03-07,-101.25,-8.925003051757812
2020-03-08,2020-03-14,-27.3199951171875,-16.549999237060547
2020-03-15,2020-03-21,10.8199951171875,-4.380001831054687
2020-03-22,2020-03-28,2.480004882812477,5.0800018310546875
2020-03-29,2020-04-04,30.03332519531254,11.539999389648438
2020-04-05,2020-04-11,-22.5,-4.799997965494801
2020-04-12,2020-04-18,12.5,4.266662597656269
2020-04-19,2020-04-25,18.33333333333333,-1.9199981689453183
2020-04-26,2020-05-02,-14.0,3.899998982747396
2020-05-03,2020-05-09,-16.680004882812472,-2.2
2020-05-10,2020-05-16,14.680004882812476,-0.6799987792968807
2020-05-17,2020-05-23,-7.3999938964844025,0.019998168945318185
2020-05-24,2020-05-30,-21.880004882812482,-2.424999237060547
2020-05-31,2020-06-06,5.649993896484375,0.4399993896484375
2020-06-07,2020-06-13,6.2800048828125,1.4500007629394531
2020-06-14,2020-06-20,16.0,-1.1399993896484375
2020-06-21,2020-06-27,5.2000083923339835,2.079998779296875
2020-06-28,2020-07-04,-25.900008392333984,-0.2200000762939453
2020-07-05,2020-07-11,-1.1199951171875,0.02000007629394531
2020-07-12,2020-07-18,7.1199951171875,7.060000610351563
2020-07-19,2020-07-25,6.6750030517578125,2.120001220703114
