first_day_in_week,last_day_in_week,DRAL_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.38
2019-03-03,2019-03-09,15.0,-8.8
2019-03-10,2019-03-16,22.8,4.6
2019-03-17,2019-03-23,49.2,27.8
2019-03-24,2019-03-30,-59.0,-8.6
2019-03-31,2019-04-06,79.0,15.2
2019-04-07,2019-04-13,18.4,1.0
2019-04-14,2019-04-20,25.8,-1.0
2019-04-21,2019-04-27,17.4,4.4
2019-04-28,2019-05-04,1.0,-14.4
2019-05-05,2019-05-11,41.8,3.4
2019-05-12,2019-05-18,-17.4,-3.2
2019-05-19,2019-05-25,-108.2,-17.8
2019-05-26,2019-06-01,24.2,6.8
2019-06-02,2019-06-08,-26.6,3.6
2019-06-09,2019-06-15,76.2,8.0
2019-06-16,2019-06-22,-25.2,3.4
2019-06-23,2019-06-29,-28.4,-2.2
2019-06-30,2019-07-06,28.8,-6.0
2019-07-07,2019-07-13,-7.6,-5.2
2019-07-14,2019-07-20,11.8,4.0
2019-07-21,2019-07-27,-18.6,-14.8
2019-07-28,2019-08-03,-16.6,-10.6
2019-08-04,2019-08-10,-46.0,-0.2
2019-08-11,2019-08-17,174.4,-3.4
2019-08-18,2019-08-24,26.0,17.4
2019-08-25,2019-08-31,91.8,11.2
2019-09-01,2019-09-07,14.6,-12.6
2019-09-08,2019-09-14,-50.0,8.4
2019-09-15,2019-09-21,1.4,-4.5
2019-09-22,2019-09-28,65.5,5.2
2019-09-29,2019-10-05,175.66666666666663,-6.0
2019-10-06,2019-10-12,93.33333333333331,8.333333333333334
2019-10-13,2019-10-19,-65.66666666666667,17.333333333333332
2019-10-20,2019-10-26,-56.2,-7.666666666666667
2019-10-27,2019-11-02,58.0,-5.6
2019-11-03,2019-11-09,3.6,-1.8
2019-11-10,2019-11-16,63.8,-6.2
2019-11-17,2019-11-23,69.8,2.2
2019-11-24,2019-11-30,-46.0,-21.6
2019-12-01,2019-12-07,5.8,-1.0
2019-12-08,2019-12-14,-55.6,-0.4
2019-12-15,2019-12-21,29.2,13.0
2019-12-22,2019-12-28,221.6,-1.4
2019-12-29,2020-01-04,111.8,5.0
2020-01-05,2020-01-11,-17.0,7.8
2020-01-12,2020-01-18,-122.6,-4.2
2020-01-19,2020-01-25,32.0,2.4
2020-01-26,2020-02-01,127.6,-9.8
2020-02-02,2020-02-08,-158.2,-17.2
2020-02-09,2020-02-15,-19.4,14.8
2020-02-16,2020-02-22,-210.4,-8.8
2020-02-23,2020-02-29,-158.5,-20.0
2020-03-01,2020-03-07,-431.5,-31.074996948242188
2020-03-08,2020-03-14,-112.2,-38.67500305175781
2020-03-15,2020-03-21,446.4,17.15999755859375
2020-03-22,2020-03-28,114.8,35.84000244140625
2020-03-29,2020-04-04,418.0,3.4
2020-04-05,2020-04-11,-341.6666666666667,-7.666666666666667
2020-04-12,2020-04-18,-108.8,8.0
2020-04-19,2020-04-25,-55.0,19.8
2020-04-26,2020-05-02,-76.0,12.333333333333334
2020-05-03,2020-05-09,-79.2,-10.2
2020-05-10,2020-05-16,127.0,-15.8
2020-05-17,2020-05-23,104.25,14.0
2020-05-24,2020-05-30,13.8,-11.5
2020-05-31,2020-06-06,-171.75,2.2
2020-06-07,2020-06-13,-90.2,-11.75
2020-06-14,2020-06-20,-79.2,-22.6
2020-06-21,2020-06-27,177.39994506835941,9.2
2020-06-28,2020-07-04,4.000054931640625,3.400002288818359
2020-07-05,2020-07-11,71.6,-3.2000022888183595
2020-07-12,2020-07-18,5.0,45.0
