first_day_in_week,last_day_in_week,ELCRE_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,-2.8,0.0
2019-03-17,2019-03-23,-3.2,26.0
2019-03-24,2019-03-30,-2.8,38.0
2019-03-31,2019-04-06,8.0,262.0
2019-04-07,2019-04-13,0.8,-14.0
2019-04-14,2019-04-20,1.2,56.0
2019-04-21,2019-04-27,3.8,-14.0
2019-04-28,2019-05-04,11.8,-96.0
2019-05-05,2019-05-11,-5.0,-24.0
2019-05-12,2019-05-18,0.4,-138.0
2019-05-19,2019-05-25,16.2,40.0
2019-05-26,2019-06-01,-4.8,86.0
2019-06-02,2019-06-08,8.2,86.0
2019-06-09,2019-06-15,13.0,44.0
2019-06-16,2019-06-22,2.8,42.0
2019-06-23,2019-06-29,27.4,48.0
2019-06-30,2019-07-06,29.8,-44.0
2019-07-07,2019-07-13,-0.8,-68.0
2019-07-14,2019-07-20,24.2,30.0
2019-07-21,2019-07-27,6.0,76.0
2019-07-28,2019-08-03,-0.4,158.0
2019-08-04,2019-08-10,19.4,486.0
2019-08-11,2019-08-17,49.0,-40.0
2019-08-18,2019-08-24,-18.0,278.0
2019-08-25,2019-08-31,5.2,-212.0
2019-09-01,2019-09-07,-3.0,-210.0
2019-09-08,2019-09-14,-4.5,-14.0
2019-09-15,2019-09-21,7.2,102.5
2019-09-22,2019-09-28,35.0,282.0
2019-09-29,2019-10-05,40.333333333333336,480.0
2019-10-06,2019-10-12,17.333333333333332,110.0
2019-10-13,2019-10-19,5.333333333333333,46.666666666666664
2019-10-20,2019-10-26,27.4,-13.333333333333334
2019-10-27,2019-11-02,-13.4,-8.0
2019-11-03,2019-11-09,-33.2,-220.0
2019-11-10,2019-11-16,-4.0,48.0
2019-11-17,2019-11-23,7.0,-58.0
2019-11-24,2019-11-30,-42.4,132.0
2019-12-01,2019-12-07,-0.6,56.0
2019-12-08,2019-12-14,-2.0,166.0
2019-12-15,2019-12-21,21.0,124.0
2019-12-22,2019-12-28,-22.4,-68.0
2019-12-29,2020-01-04,0.2,106.0
2020-01-05,2020-01-11,-14.2,104.0
2020-01-12,2020-01-18,-6.8,-26.0
2020-01-19,2020-01-25,16.4,-38.0
2020-01-26,2020-02-01,57.6,-100.0
2020-02-02,2020-02-08,8.2,174.0
2020-02-09,2020-02-15,19.6,-94.0
2020-02-16,2020-02-22,-46.2,218.0
2020-02-23,2020-02-29,-53.5,-426.0
2020-03-01,2020-03-07,-130.5,-472.5
2020-03-08,2020-03-14,-50.0,-1332.5
2020-03-15,2020-03-21,44.4,-124.0
2020-03-22,2020-03-28,51.2,618.0
2020-03-29,2020-04-04,68.0,342.0
2020-04-05,2020-04-11,-60.66666666666666,-240.0
2020-04-12,2020-04-18,8.2,43.333333333333336
2020-04-19,2020-04-25,94.66666666666669,-224.0
2020-04-26,2020-05-02,-40.6,316.6666666666667
2020-05-03,2020-05-09,-17.2,-394.0
2020-05-10,2020-05-16,12.4,186.0
2020-05-17,2020-05-23,-45.5,-28.0
2020-05-24,2020-05-30,4.6,210.0
2020-05-31,2020-06-06,6.75,268.0
2020-06-07,2020-06-13,1.2,-72.5
2020-06-14,2020-06-20,-15.6,-520.0
2020-06-21,2020-06-27,15.599984741210935,-138.0
2020-06-28,2020-07-04,-39.399984741210936,-352.0
2020-07-05,2020-07-11,-0.4,-94.0
2020-07-12,2020-07-18,-8.0,298.0
2020-07-19,2020-07-25,0.25,6.0
