first_day_in_week,last_day_in_week,GOSS_main_symb_weekly_mean_diff,CEL.TA_weekly_mean_diff_0.37,ORL.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,-0.4199951171875,6.2,-1.9799987792968807
2019-03-17,2019-03-23,-2.9,-51.6,-0.2
2019-03-24,2019-03-30,5.0,-8.6,-0.3
2019-03-31,2019-04-06,-1.0,6.2,-0.7399993896484375
2019-04-07,2019-04-13,-2.74000244140625,9.8,0.9
2019-04-14,2019-04-20,-0.97999267578125,33.0,0.3
2019-04-21,2019-04-27,-2.6800048828125,17.2,-0.220001220703125
2019-04-28,2019-05-04,1.7,-35.2,-0.3399993896484375
2019-05-05,2019-05-11,-1.65999755859375,18.0,0.1
2019-05-12,2019-05-18,-3.64000244140625,15.4,0.9600006103515625
2019-05-19,2019-05-25,4.1199951171875,-14.2,-1.7600006103515624
2019-05-26,2019-06-01,1.0800048828125,-39.0,1.0
2019-06-02,2019-06-08,-2.4199951171875,-41.4,-0.3
2019-06-09,2019-06-15,-0.7800048828125,-2.6,-0.1399993896484375
2019-06-16,2019-06-22,-2.2199951171875,-15.8,1.5399993896484374
2019-06-23,2019-06-29,8.35999755859375,-9.8,-0.2
2019-06-30,2019-07-06,3.3,-6.0,-0.4799987792968807
2019-07-07,2019-07-13,-0.44000244140625,13.6,-0.12000122070311932
2019-07-14,2019-07-20,4.2,16.6,0.2
2019-07-21,2019-07-27,-8.6800048828125,-20.4,1.3200012207031193
2019-07-28,2019-08-03,0.74000244140625,-8.4,0.27999877929688066
2019-08-04,2019-08-10,1.3800048828125,-19.4,0.0
2019-08-11,2019-08-17,5.37999267578125,-15.14000244140625,-2.5
2019-08-18,2019-08-24,-3.5,2.32000732421875,1.1399993896484375
2019-08-25,2019-08-31,7.6800048828125,-3.6,-1.4199981689453125
2019-09-01,2019-09-07,2.84000244140625,-7.3800048828125,0.779998779296875
2019-09-08,2019-09-14,-5.100006103515625,-7.25999755859375,-1.4
2019-09-15,2019-09-21,11.0800048828125,0.8000030517578125,2.25
2019-09-22,2019-09-28,4.75,45.5199951171875,0.4600006103515625
2019-09-29,2019-10-05,-5.599995930989582,-20.75,0.34999847412109375
2019-10-06,2019-10-12,5.233317057291667,-4.333333333333333,0.6000010172526041
2019-10-13,2019-10-19,-11.933329264322914,6.066670735677083,-0.06666564941407198
2019-10-20,2019-10-26,-11.87999267578125,-16.633341471354168,-0.9333343505859281
2019-10-27,2019-11-02,-8.4800048828125,1.74000244140625,-0.4
2019-11-03,2019-11-09,8.2,-18.04000244140625,-0.6399993896484375
2019-11-10,2019-11-16,1.1199951171875,10.9,0.25999755859375
2019-11-17,2019-11-23,10.72000732421875,26.9,-1.679998779296875
2019-11-24,2019-11-30,-0.7,-2.05999755859375,-0.1
2019-12-01,2019-12-07,-9.95999755859375,-6.819995117187522,-0.3
2019-12-08,2019-12-14,3.4199951171875,19.319995117187524,-2.279998779296875
2019-12-15,2019-12-21,-4.6800048828125,-19.8,0.6399993896484375
2019-12-22,2019-12-28,14.0800048828125,17.2,2.2399993896484376
2019-12-29,2020-01-04,10.1199951171875,2.4,0.9399993896484375
2020-01-05,2020-01-11,-4.5199951171875,-10.64000244140625,0.420001220703125
2020-01-12,2020-01-18,-8.1,20.64000244140625,-2.3399993896484377
2020-01-19,2020-01-25,-3.9,13.0,-0.9
2020-01-26,2020-02-01,-4.8,18.0,-1.9600006103515626
2020-02-02,2020-02-08,8.7800048828125,23.4,-2.2600006103515624
2020-02-09,2020-02-15,1.67999267578125,9.6,-1.1
2020-02-16,2020-02-22,-15.65999755859375,-1.4,-1.3
2020-02-23,2020-02-29,3.225006103515625,-28.0,-2.2
2020-03-01,2020-03-07,-18.67500305175781,-46.75,-1.3500003814697266
2020-03-08,2020-03-14,-12.320001220703125,-73.75,-9.149999618530273
2020-03-15,2020-03-21,12.160003662109375,22.0,-0.7800003051757812
2020-03-22,2020-03-28,-15.0800048828125,6.24000244140625,-2.1799995422363283
2020-03-29,2020-04-04,24.83333333333333,26.15999755859375,6.320000457763669
2020-04-05,2020-04-11,14.566670735677086,82.33333333333333,5.099998474121098
2020-04-12,2020-04-18,0.2,-46.333333333333336,-2.3666661580403647
2020-04-19,2020-04-25,4.633321126302083,5.4,0.6
2020-04-26,2020-05-02,-6.8,30.0,-2.266667683919266
2020-05-03,2020-05-09,4.560009384155274,-14.2,0.3400009155273409
2020-05-10,2020-05-16,5.019995498657226,-5.4,-0.48000030517578124
2020-05-17,2020-05-23,-9.425003051757812,-10.6,0.46000061035155965
2020-05-24,2020-05-30,-5.14000244140625,-9.75,-3.225000381469723
2020-05-31,2020-06-06,-3.774993896484375,5.2,0.1
2020-06-07,2020-06-13,6.25999755859375,32.0,-0.8000011444091797
2020-06-14,2020-06-20,-4.47999267578125,13.6,-2.4399993896484373
2020-06-21,2020-06-27,-2.8800048828125,8.0,-0.3399993896484375
2020-06-28,2020-07-04,2.9,6.400001525878906,0.5399999618530273
2020-07-05,2020-07-11,3.1,-15.000001525878906,-1.8400007247924806
2020-07-12,2020-07-18,0.7,19.6,1.020000457763669
2020-07-19,2020-07-25,-10.925003051757784,-18.8,0.5199996948242216
