first_day_in_week,last_day_in_week,GSFI_main_symb_weekly_mean_diff,NISA.TA_weekly_mean_diff_0.35
2019-03-03,2019-03-09,26.2,-1.2
2019-03-10,2019-03-16,13.6,8.8
2019-03-17,2019-03-23,-4.4,4.8
2019-03-24,2019-03-30,0.8,-78.2
2019-03-31,2019-04-06,19.8,-2.4
2019-04-07,2019-04-13,10.6,17.8
2019-04-14,2019-04-20,-10.6,11.8
2019-04-21,2019-04-27,-29.8,20.2
2019-04-28,2019-05-04,26.8,-27.0
2019-05-05,2019-05-11,-1.4,-0.2
2019-05-12,2019-05-18,22.2,18.0
2019-05-19,2019-05-25,27.8,3.2
2019-05-26,2019-06-01,-18.8,-22.6
2019-06-02,2019-06-08,21.8,-18.8
2019-06-09,2019-06-15,-46.0,-35.6
2019-06-16,2019-06-22,-31.2,18.8
2019-06-23,2019-06-29,0.6,2.6
2019-06-30,2019-07-06,-19.8,-12.8
2019-07-07,2019-07-13,7.8,8.4
2019-07-14,2019-07-20,1.2,-8.6
2019-07-21,2019-07-27,3.2,1.4
2019-07-28,2019-08-03,35.0,-4.8
2019-08-04,2019-08-10,-5.8,-13.6
2019-08-11,2019-08-17,-87.2,-141.6
2019-08-18,2019-08-24,-11.4,6.2
2019-08-25,2019-08-31,-5.2,-27.8
2019-09-01,2019-09-07,-12.0,-36.2
2019-09-08,2019-09-14,-12.25,-17.0
2019-09-15,2019-09-21,-25.2,-16.5
2019-09-22,2019-09-28,-5.0,-10.4
2019-09-29,2019-10-05,-6.666666666666668,16.5
2019-10-06,2019-10-12,-7.666666666666668,58.0
2019-10-13,2019-10-19,32.333333333333336,84.66666666666667
2019-10-20,2019-10-26,-9.0,-21.333333333333332
2019-10-27,2019-11-02,-6.6,-3.6
2019-11-03,2019-11-09,5.2,-15.0
2019-11-10,2019-11-16,-35.2,9.2
2019-11-17,2019-11-23,-8.4,2.4
2019-11-24,2019-11-30,-1.8,-30.0
2019-12-01,2019-12-07,-3.0,-26.0
2019-12-08,2019-12-14,-5.6,-8.0
2019-12-15,2019-12-21,-32.0,-19.0
2019-12-22,2019-12-28,13.2,5.2
2019-12-29,2020-01-04,-7.2,7.2
2020-01-05,2020-01-11,-1.0,13.6
2020-01-12,2020-01-18,-5.8,4.2
2020-01-19,2020-01-25,-10.4,-34.8
2020-01-26,2020-02-01,-7.8,-14.6
2020-02-02,2020-02-08,13.8,-14.6
2020-02-09,2020-02-15,2.0,-7.0
2020-02-16,2020-02-22,-22.0,-1.6
2020-02-23,2020-02-29,-25.0,-8.8
2020-03-01,2020-03-07,-126.75,-14.5
2020-03-08,2020-03-14,-7.8,-22.725006103515597
2020-03-15,2020-03-21,16.6,25.580004882812478
2020-03-22,2020-03-28,-19.4,107.4
2020-03-29,2020-04-04,57.33333333333334,37.6
2020-04-05,2020-04-11,29.0,16.0
2020-04-12,2020-04-18,19.6,-11.666666666666666
2020-04-19,2020-04-25,11.666666666666664,-6.8
2020-04-26,2020-05-02,-15.2,65.33333333333333
2020-05-03,2020-05-09,-7.4,-28.2
2020-05-10,2020-05-16,3.0,21.2
2020-05-17,2020-05-23,-31.25,-1.8
2020-05-24,2020-05-30,51.6,37.25
2020-05-31,2020-06-06,65.5,51.8
2020-06-07,2020-06-13,16.4,-9.75
2020-06-14,2020-06-20,-39.0,6.2
2020-06-21,2020-06-27,-52.399981689453135,17.0
2020-06-28,2020-07-04,-40.80001831054688,-23.999993896484376
2020-07-05,2020-07-11,7.0,28.599993896484374
2020-07-12,2020-07-18,-20.0,28.0
