first_day_in_week,last_day_in_week,HLAN_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.36,TUZA.TA_weekly_mean_diff_0.42
2019-03-03,2019-03-09,-5.6,-8.8,-0.15999984741210938
2019-03-10,2019-03-16,96.4,4.6,0.3599998474121094
2019-03-17,2019-03-23,17.2,27.8,0.3599998474121094
2019-03-24,2019-03-30,58.6,-8.6,0.04000015258789062
2019-03-31,2019-04-06,148.0,15.2,0.0
2019-04-07,2019-04-13,-148.0,1.0,-0.14000015258789061
2019-04-14,2019-04-20,-2.0,-1.0,-0.01999969482421875
2019-04-21,2019-04-27,-46.0,4.4,-0.4
2019-04-28,2019-05-04,40.0,-14.4,-0.3
2019-05-05,2019-05-11,-54.0,3.4,0.0
2019-05-12,2019-05-18,196.0,-3.2,0.3400001525878906
2019-05-19,2019-05-25,106.0,-17.8,-0.020000457763671875
2019-05-26,2019-06-01,30.0,6.8,-0.3
2019-06-02,2019-06-08,4.0,3.6,-0.41999969482421873
2019-06-09,2019-06-15,24.0,8.0,0.15999984741210938
2019-06-16,2019-06-22,-8.0,3.4,-0.04000015258789062
2019-06-23,2019-06-29,112.0,-2.2,-0.2799995422363281
2019-06-30,2019-07-06,40.0,-6.0,0.1
2019-07-07,2019-07-13,8.0,-5.2,-0.24000015258789062
2019-07-14,2019-07-20,-6.0,4.0,-0.24000015258789062
2019-07-21,2019-07-27,-14.0,-14.8,0.5400001525878906
2019-07-28,2019-08-03,98.0,-10.6,-0.5
2019-08-04,2019-08-10,-10.0,-0.2,1.18000030517578
2019-08-11,2019-08-17,322.0,-3.4,-0.020000457763670453
2019-08-18,2019-08-24,-40.0,17.4,-0.3
2019-08-25,2019-08-31,72.0,11.2,-0.059999847412109376
2019-09-01,2019-09-07,-186.0,-12.6,-0.8599998474121093
2019-09-08,2019-09-14,137.5,8.4,0.45999984741210936
2019-09-15,2019-09-21,12.0,-4.5,-0.05000019073486328
2019-09-22,2019-09-28,-25.0,5.2,-0.17999954223632814
2019-09-29,2019-10-05,113.33333333333331,-6.0,-0.20000076293945312
2019-10-06,2019-10-12,-6.666666666666668,8.333333333333334,0.599999745686849
2019-10-13,2019-10-19,143.33333333333334,17.333333333333332,-0.09999974568684895
2019-10-20,2019-10-26,140.0,-7.666666666666667,-0.5333328247070312
2019-10-27,2019-11-02,-52.0,-5.6,-0.020000457763671875
2019-11-03,2019-11-09,10.0,-1.8,0.3599998474121094
2019-11-10,2019-11-16,-214.0,-6.2,0.0
2019-11-17,2019-11-23,-20.0,2.2,-0.4799995422363281
2019-11-24,2019-11-30,-72.0,-21.6,-0.12000045776367188
2019-12-01,2019-12-07,114.0,-1.0,0.1
2019-12-08,2019-12-14,-94.0,-0.4,0.5
2019-12-15,2019-12-21,70.0,13.0,-0.2799995422363281
2019-12-22,2019-12-28,58.0,-1.4,-0.28000030517578123
2019-12-29,2020-01-04,2.0,5.0,0.14000015258789061
2020-01-05,2020-01-11,42.0,7.8,0.5199996948242187
2020-01-12,2020-01-18,130.0,-4.2,0.38000030517578126
2020-01-19,2020-01-25,-278.0,2.4,-0.6199996948242188
2020-01-26,2020-02-01,6.0,-9.8,-0.32000045776367186
2020-02-02,2020-02-08,-78.0,-17.2,-0.5799995422363281
2020-02-09,2020-02-15,20.0,14.8,0.1
2020-02-16,2020-02-22,-92.0,-8.8,-0.3600006103515625
2020-02-23,2020-02-29,-187.5,-20.0,0.24000015258789062
2020-03-01,2020-03-07,-422.5,-31.074996948242188,-1.175000190734865
2020-03-08,2020-03-14,72.0,-38.67500305175781,0.10000038146972834
2020-03-15,2020-03-21,182.0,17.15999755859375,-0.41999969482421873
2020-03-22,2020-03-28,-96.0,35.84000244140625,1.1399993896484375
2020-03-29,2020-04-04,393.33333333333326,3.4,-0.21999969482421874
2020-04-05,2020-04-11,-203.33333333333331,-7.666666666666667,-0.7666664123535156
2020-04-12,2020-04-18,114.0,8.0,0.5333328247070312
2020-04-19,2020-04-25,316.6666666666667,19.8,0.4400001525878906
2020-04-26,2020-05-02,-112.0,12.333333333333334,0.3333333333333333
2020-05-03,2020-05-09,-168.0,-10.2,-0.04000015258789062
2020-05-10,2020-05-16,86.0,-15.8,1.1599998474121094
2020-05-17,2020-05-23,495.0,14.0,2.8400001525878906
2020-05-24,2020-05-30,100.0,-11.5,-0.25
2020-05-31,2020-06-06,72.5,2.2,-0.27999954223632956
2020-06-07,2020-06-13,-92.0,-11.75,0.34999942779541193
2020-06-14,2020-06-20,-178.0,-22.6,0.04000015258789062
2020-06-21,2020-06-27,2.0,9.2,0.5800003051757798
2020-06-28,2020-07-04,36.0,3.400002288818359,-0.24000043869018411
2020-07-05,2020-07-11,56.0,-3.2000022888183595,0.34000043869018415
2020-07-12,2020-07-18,232.0,45.0,0.23999938964843892
