first_day_in_week,last_day_in_week,ININ_main_symb_weekly_mean_diff,RPAC.TA_weekly_mean_diff_0.45,EMCO.TA_weekly_mean_diff_0.47,SHOM.TA_weekly_mean_diff_0.47,HARL.TA_weekly_mean_diff_0.48
2019-03-10,2019-03-16,4.1599975585937266,-2.6,6.0,-0.6,-8.8
2019-03-17,2019-03-23,2.760009765625,5.8,2.4,1.44000244140625,-5.0
2019-03-24,2019-03-30,-3.320007324218728,-3.8,2.4,3.3,-30.0
2019-03-31,2019-04-06,-0.4199951171875455,4.4,13.6,5.05999755859375,30.6
2019-04-07,2019-04-13,11.559997558593773,0.6,8.0,6.34000244140625,41.4
2019-04-14,2019-04-20,7.9,-2.6,-14.6,2.479998779296875,-6.8
2019-04-21,2019-04-27,-4.3,1.0,2.8,1.979998779296875,4.6
2019-04-28,2019-05-04,-2.25999755859375,-2.0,3.8,-5.0,-19.4
2019-05-05,2019-05-11,-6.65999755859375,9.2,1.0,4.620001220703125,-9.6
2019-05-12,2019-05-18,2.0199951171875,3.0,8.2,-1.620001220703125,36.2
2019-05-19,2019-05-25,-13.3,1.4,-1.8,8.74000244140625,-11.0
2019-05-26,2019-06-01,1.1599975585937727,-3.6,16.4,-6.54000244140625,7.4
2019-06-02,2019-06-08,2.1200073242187267,-9.4,-7.2,4.8,-5.4
2019-06-09,2019-06-15,-2.9800048828125,3.6,5.6,-3.820001220703125,-2.2
2019-06-16,2019-06-22,-2.620001220703125,-3.0,5.2,-0.639996337890625,4.2
2019-06-23,2019-06-29,4.320001220703125,2.6,-2.4,3.35999755859375,-13.4
2019-06-30,2019-07-06,0.2800048828125,60.8,2.6,1.0599975585937613,4.8
2019-07-07,2019-07-13,-3.800006103515625,-7.8,-16.2,-0.5,1.4
2019-07-14,2019-07-20,-5.339996337890625,10.4,1.8,-0.6399963378906364,-21.0
2019-07-21,2019-07-27,1.339996337890625,0.8,8.8,5.95999755859375,20.2
2019-07-28,2019-08-03,4.64000244140625,9.0,15.0,1.94000244140625,8.4
2019-08-04,2019-08-10,-3.960003662109364,-10.4,-1.2,-4.520001220703125,-8.4
2019-08-11,2019-08-17,-1.619995117187511,1.6,-5.2,1.14000244140625,-8.4
2019-08-18,2019-08-24,-5.360003662109375,-3.8,-34.6,6.119995117187523,15.8
