first_day_in_week,last_day_in_week,LBTL_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.45
2019-03-10,2019-03-16,1.62000732421875,64.0
2019-03-17,2019-03-23,-5.2,0.0
2019-03-24,2019-03-30,-3.54000244140625,46.0
2019-03-31,2019-04-06,-1.45999755859375,12.0
2019-04-07,2019-04-13,6.94000244140625,-14.0
2019-04-14,2019-04-20,-0.8,90.0
2019-04-21,2019-04-27,-8.6,14.0
2019-04-28,2019-05-04,10.939990234375,-70.0
2019-05-05,2019-05-11,6.54000244140625,36.0
2019-05-12,2019-05-18,1.04000244140625,18.0
2019-05-19,2019-05-25,-7.95999755859375,64.0
2019-05-26,2019-06-01,-2.32000732421875,-164.0
2019-06-02,2019-06-08,5.860009765625,-30.0
2019-06-09,2019-06-15,16.77999267578125,148.0
2019-06-16,2019-06-22,21.54000244140625,90.0
2019-06-23,2019-06-29,19.2,-20.0
2019-06-30,2019-07-06,12.8,162.0
2019-07-07,2019-07-13,24.4,66.0
2019-07-14,2019-07-20,-0.6,-238.0
2019-07-21,2019-07-27,12.6,-34.0
2019-07-28,2019-08-03,28.0,76.0
2019-08-04,2019-08-10,86.6,156.0
2019-08-11,2019-08-17,-66.4,-114.0
2019-08-18,2019-08-24,34.2,80.0
2019-08-25,2019-08-31,-12.4,34.0
2019-09-01,2019-09-07,4.8,0.0
2019-09-08,2019-09-14,-8.25,36.0
2019-09-15,2019-09-21,2.4,95.0
2019-09-22,2019-09-28,-3.0,-10.0
2019-09-29,2019-10-05,-9.666666666666666,-20.0
2019-10-06,2019-10-12,36.333333333333336,250.0
2019-10-13,2019-10-19,-20.0,-6.666666666666667
2019-10-20,2019-10-26,-16.2,-90.0
2019-10-27,2019-11-02,10.2,20.0
2019-11-03,2019-11-09,-0.2,-102.0
2019-11-10,2019-11-16,24.0,-54.0
2019-11-17,2019-11-23,14.8,52.0
2019-11-24,2019-11-30,-9.4,132.0
2019-12-01,2019-12-07,-5.6,10.0
2019-12-08,2019-12-14,-9.8,20.0
2019-12-15,2019-12-21,12.8,68.0
2019-12-22,2019-12-28,-47.8,-42.0
2019-12-29,2020-01-04,16.4,60.0
2020-01-05,2020-01-11,-18.6,44.0
2020-01-12,2020-01-18,-20.2,418.0
2020-01-19,2020-01-25,-22.0,-84.0
2020-01-26,2020-02-01,32.0,-220.0
2020-02-02,2020-02-08,3.0,-62.0
2020-02-09,2020-02-15,-8.0,-30.0
2020-02-16,2020-02-22,5.6,166.0
2020-02-23,2020-02-29,-29.75,-438.0
2020-03-01,2020-03-07,-98.625,-890.0
2020-03-08,2020-03-14,-15.9199951171875,-1003.0
2020-03-15,2020-03-21,7.739990234375023,-32.6
2020-03-22,2020-03-28,6.320007324218727,376.8
2020-03-29,2020-04-04,12.76666259765625,184.2
2020-04-05,2020-04-11,10.166666666666666,-122.66666666666667
2020-04-12,2020-04-18,-12.380004882812473,-285.0
2020-04-19,2020-04-25,37.63334147135413,36.2
2020-04-26,2020-05-02,15.2,324.0
2020-05-03,2020-05-09,2.6,-190.2
2020-05-10,2020-05-16,18.4,-251.2
2020-05-17,2020-05-23,30.75,81.4
2020-05-24,2020-05-30,-3.4,0.0
2020-05-31,2020-06-06,5.75,-16.0
2020-06-07,2020-06-13,-2.0,181.25
2020-06-14,2020-06-20,-6.8,110.4
2020-06-21,2020-06-27,4.800004577636673,-109.4
2020-06-28,2020-07-04,-2.0000045776366733,-70.39993286132812
2020-07-05,2020-07-11,-11.0,-21.800067138671874
2020-07-12,2020-07-18,-11.0,3.2
2020-07-19,2020-07-25,5.75,-2.6
