first_day_in_week,last_day_in_week,MEDN_main_symb_weekly_mean_diff,IBI.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,126.00006103515551,29.0
2019-03-17,2019-03-23,38.000183105468025,8.0
2019-03-24,2019-03-30,125.99975585937644,-12.8
2019-03-31,2019-04-06,-23.99993896484448,20.2
2019-04-07,2019-04-13,76.00006103515625,16.2
2019-04-14,2019-04-20,6.0,-7.4
2019-04-21,2019-04-27,-256.0,0.0
2019-04-28,2019-05-04,244.0,16.0
2019-05-05,2019-05-11,-210.00006103515625,-20.4
2019-05-12,2019-05-18,-33.99993896484375,37.8
2019-05-19,2019-05-25,190.0,-23.0
2019-05-26,2019-06-01,132.00012207031176,-1.6
2019-06-02,2019-06-08,-108.00018310546804,-50.4
2019-06-09,2019-06-15,73.99993896484446,30.4
2019-06-16,2019-06-22,82.00012207031179,1.2
2019-06-23,2019-06-29,-17.99987792968823,-10.4
2019-06-30,2019-07-06,-172.00012207031173,-6.0
2019-07-07,2019-07-13,-16.00006103515625,-4.6
2019-07-14,2019-07-20,153.9999389648445,16.4
2019-07-21,2019-07-27,-125.99975585937644,-13.0
2019-07-28,2019-08-03,63.999938964844475,23.6
2019-08-04,2019-08-10,-16.00006103515625,-16.2
2019-08-11,2019-08-17,-472.0001220703125,-9.2
2019-08-18,2019-08-24,-130.0,-2.4
2019-08-25,2019-08-31,-35.999755859375,25.2
2019-09-01,2019-09-07,-296.00006103515625,4.6
2019-09-08,2019-09-14,0.0,-6.6
2019-09-15,2019-09-21,-230.00000000000043,-44.25
2019-09-22,2019-09-28,34.999847412110284,9.8
2019-09-29,2019-10-05,120.00020345052084,-2.0
2019-10-06,2019-10-12,19.99969482421875,9.666666666666666
2019-10-13,2019-10-19,-26.66676839192708,-48.333333333333336
2019-10-20,2019-10-26,-145.999755859375,-7.0
2019-10-27,2019-11-02,-28.00018310546839,5.8
2019-11-03,2019-11-09,-3.9999389648441137,-10.2
2019-11-10,2019-11-16,-127.9998779296875,7.4
2019-11-17,2019-11-23,20.0,25.4
2019-11-24,2019-11-30,-90.00015258789062,24.6
2019-12-01,2019-12-07,195.9999084472656,46.8
2019-12-08,2019-12-14,-31.99981689453161,-60.8
2019-12-15,2019-12-21,83.99993896484412,-2.4
2019-12-22,2019-12-28,-7.9998779296875,17.4
2019-12-29,2020-01-04,3.9999389648433854,47.4
2020-01-05,2020-01-11,26.00006103515661,-25.4
2020-01-12,2020-01-18,-40.0,11.6
2020-01-19,2020-01-25,-52.0001220703125,-22.2
2020-01-26,2020-02-01,150.0,33.6
2020-02-02,2020-02-08,-90.0,-72.0
2020-02-09,2020-02-15,-33.999938964844105,19.4
2020-02-16,2020-02-22,-199.00003051757776,-17.6
2020-02-23,2020-02-29,-216.25003814697263,-1.0
2020-03-01,2020-03-07,-359.9999237060552,-67.75
2020-03-08,2020-03-14,-235.60012817382776,-241.5
2020-03-15,2020-03-21,81.60003662109375,-88.0
2020-03-22,2020-03-28,28.000030517578125,81.2
2020-03-29,2020-04-04,163.33338419596353,79.0
2020-04-05,2020-04-11,159.99984741210997,66.33333333333333
2020-04-12,2020-04-18,-5.999908447265988,14.666666666666666
2020-04-19,2020-04-25,256.66656494140625,37.2
2020-04-26,2020-05-02,-51.99996948242188,43.333333333333336
2020-05-03,2020-05-09,31.999969482421875,-52.0
2020-05-10,2020-05-16,118.00003051757812,-9.8
2020-05-17,2020-05-23,-132.50007629394486,-25.6
2020-05-24,2020-05-30,75.0,-43.0
