first_day_in_week,last_day_in_week,NTO_main_symb_weekly_mean_diff,ELAL.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,278.0,-1.2600006103515597
2019-03-17,2019-03-23,72.0,-1.5199996948242216
2019-03-24,2019-03-30,-162.0,-0.6800003051757784
2019-03-31,2019-04-06,-292.0,0.8600006103515596
2019-04-07,2019-04-13,86.0,0.4399993896484403
2019-04-14,2019-04-20,30.0,-0.5599990844726591
2019-04-21,2019-04-27,-232.0,-0.18000030517578125
2019-04-28,2019-05-04,8.0,-1.0399993896484403
2019-05-05,2019-05-11,234.0,-0.2400009155273409
2019-05-12,2019-05-18,-134.0,-0.9
2019-05-19,2019-05-25,80.0,0.18000030517578125
2019-05-26,2019-06-01,-198.0,-0.2
2019-06-02,2019-06-08,220.0,2.6800003051757812
2019-06-09,2019-06-15,-46.0,-0.7800003051757812
2019-06-16,2019-06-22,-102.0,0.4
2019-06-23,2019-06-29,40.0,-0.6
2019-06-30,2019-07-06,124.0,0.21999969482421874
2019-07-07,2019-07-13,-152.0,-1.2399993896484376
2019-07-14,2019-07-20,30.0,0.31999969482421875
2019-07-21,2019-07-27,336.0,-0.01999969482421875
2019-07-28,2019-08-03,-48.0,-0.48000030517578124
2019-08-04,2019-08-10,-268.0,-0.1399993896484375
2019-08-11,2019-08-17,254.0,-0.34000091552734374
2019-08-18,2019-08-24,300.0,0.6600006103515625
2019-08-25,2019-08-31,46.0,0.9399993896484375
2019-09-01,2019-09-07,-2.0,0.8800003051757812
2019-09-08,2019-09-14,-767.5,0.08000030517578124
2019-09-15,2019-09-21,-38.0,0.024999618530273438
2019-09-22,2019-09-28,-195.0,0.7800003051757812
2019-09-29,2019-10-05,-100.0,-1.2000007629394531
2019-10-06,2019-10-12,180.0,7.0
2019-10-13,2019-10-19,6.666666666666668,1.300000508626302
2019-10-20,2019-10-26,-6.0,-0.7666676839192709
2019-10-27,2019-11-02,-172.0,2.8400009155273382
2019-11-03,2019-11-09,-72.0,1.3399993896484432
2019-11-10,2019-11-16,-194.0,0.320001220703125
2019-11-17,2019-11-23,538.0,-0.4
2019-11-24,2019-11-30,-1546.0,-8.220001220703125
2019-12-01,2019-12-07,-232.0,-0.5600006103515597
2019-12-08,2019-12-14,-100.0,-0.4799987792968807
2019-12-15,2019-12-21,-56.0,-0.5200012207031193
2019-12-22,2019-12-28,214.0,0.6800003051757784
2019-12-29,2020-01-04,-90.0,1.2199996948242215
2020-01-05,2020-01-11,-46.0,-0.6799987792968807
2020-01-12,2020-01-18,86.0,-0.12000122070311932
2020-01-19,2020-01-25,-482.0,0.18000030517577842
2020-01-26,2020-02-01,-106.0,-0.8199996948242188
2020-02-02,2020-02-08,-30.0,0.16000061035155966
2020-02-09,2020-02-15,214.0,-1.6600006103515597
2020-02-16,2020-02-22,-202.0,-0.7
2020-02-23,2020-02-29,-90.0,-2.7800003051757813
2020-03-01,2020-03-07,-1072.5,0.35000038146972656
2020-03-08,2020-03-14,-40.0,-2.1999998092651367
2020-03-15,2020-03-21,456.0,0.3400001525878878
2020-03-22,2020-03-28,-116.0,-0.19999999999999857
2020-03-29,2020-04-04,466.66666666666674,0.6199996948242201
2020-04-05,2020-04-11,193.33333333333331,1.5
2020-04-12,2020-04-18,206.0,0.9333343505859375
2020-04-19,2020-04-25,460.0,-0.0600006103515625
2020-04-26,2020-05-02,-6.0,1.2666676839192708
2020-05-03,2020-05-09,-192.0,-1.2600006103515624
2020-05-10,2020-05-16,150.0,-1.8
2020-05-17,2020-05-23,-232.5,0.24000015258789062
2020-05-24,2020-05-30,-44.0,0.3249998092651367
2020-05-31,2020-06-06,-145.0,0.2600006103515625
2020-06-07,2020-06-13,256.0,0.375
2020-06-14,2020-06-20,-1182.0,-0.1600006103515625
2020-06-21,2020-06-27,-95.9998779296875,-1.2199996948242202
2020-06-28,2020-07-04,-128.0001220703125,-1.2400004863739
2020-07-05,2020-07-11,248.0,1.2400004863739
2020-07-12,2020-07-18,24.0,0.5799995422363295
2020-07-19,2020-07-25,110.0,-0.3
