first_day_in_week,last_day_in_week,PAYT_main_symb_weekly_mean_diff,SPNTC.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,79.8,13.8
2019-03-17,2019-03-23,-104.0,-25.0
2019-03-24,2019-03-30,-51.2,-29.8
2019-03-31,2019-04-06,18.2,-4.819995117187522
2019-04-07,2019-04-13,-21.4,1.2199951171875227
2019-04-14,2019-04-20,2.8,0.7199951171875227
2019-04-21,2019-04-27,-24.4,2.2800048828124773
2019-04-28,2019-05-04,10.0,-0.2
2019-05-05,2019-05-11,-22.6,-2.919995117187523
2019-05-12,2019-05-18,18.0,1.3599975585937727
2019-05-19,2019-05-25,-5.4,0.5199951171875
2019-05-26,2019-06-01,-56.0,-9.140002441406228
2019-06-02,2019-06-08,78.2,-1.4799926757812727
2019-06-09,2019-06-15,9.6,-7.54000244140625
2019-06-16,2019-06-22,2.2,-0.2
2019-06-23,2019-06-29,-6.8,-3.7199951171875
2019-06-30,2019-07-06,13.8,0.9199951171875
2019-07-07,2019-07-13,33.8,-5.14000244140625
2019-07-14,2019-07-20,45.2,-11.25999755859375
2019-07-21,2019-07-27,-54.0,3.34000244140625
2019-07-28,2019-08-03,-57.2,-8.74000244140625
2019-08-04,2019-08-10,-60.0,-2.8199951171875
2019-08-11,2019-08-17,-79.0,-43.620007324218726
2019-08-18,2019-08-24,-25.8,11.440002441406227
2019-08-25,2019-08-31,12.0,-4.6199951171875
2019-09-01,2019-09-07,24.8,-4.3
2019-09-08,2019-09-14,-57.5,-7.6
2019-09-15,2019-09-21,2.2,0.375
2019-09-22,2019-09-28,41.5,3.6
2019-09-29,2019-10-05,-12.666666666666664,12.449981689453125
2019-10-06,2019-10-12,34.333333333333336,11.800008138020834
2019-10-13,2019-10-19,18.33333333333333,11.133321126302084
2019-10-20,2019-10-26,-29.0,-0.5333251953125
2019-10-27,2019-11-02,-2.6,-4.55999755859375
2019-11-03,2019-11-09,-0.2,1.9
2019-11-10,2019-11-16,-4.2,1.07999267578125
2019-11-17,2019-11-23,-22.0,-4.65999755859375
2019-11-24,2019-11-30,-33.4,-12.45999755859375
2019-12-01,2019-12-07,-33.8,-12.1
2019-12-08,2019-12-14,4.4,-0.220001220703125
2019-12-15,2019-12-21,20.0,-6.1
2019-12-22,2019-12-28,61.4,9.079998779296886
2019-12-29,2020-01-04,156.0,9.080004882812466
2020-01-05,2020-01-11,-52.8,0.9
2020-01-12,2020-01-18,-1.8,-3.759997558593727
2020-01-19,2020-01-25,-32.0,-5.04000244140625
2020-01-26,2020-02-01,-11.6,3.9999999999999774
2020-02-02,2020-02-08,-29.8,-7.940002441406227
2020-02-09,2020-02-15,-18.6,4.279998779296875
2020-02-16,2020-02-22,-42.6,-2.5
2020-02-23,2020-02-29,-98.75,-6.020001220703113
2020-03-01,2020-03-07,-181.0,-1.4499969482422017
2020-03-08,2020-03-14,-62.0,7.949996948242202
2020-03-15,2020-03-21,70.4,14.159997558593739
2020-03-22,2020-03-28,-1.6,1.94000244140625
2020-03-29,2020-04-04,118.33333333333331,16.15999755859375
2020-04-05,2020-04-11,-9.333333333333334,10.900004069010416
2020-04-12,2020-04-18,24.6,-1.73333740234375
2020-04-19,2020-04-25,63.33333333333334,9.42000732421875
2020-04-26,2020-05-02,-4.0,7.833333333333333
2020-05-03,2020-05-09,17.6,-7.24000244140625
2020-05-10,2020-05-16,51.2,26.74000244140625
2020-05-17,2020-05-23,38.75,13.6
2020-05-24,2020-05-30,-6.6,-7.5500030517578125
2020-05-31,2020-06-06,40.75,7.119995117187523
2020-06-07,2020-06-13,42.6,-21.37500000000003
2020-06-14,2020-06-20,-25.2,17.560009765624976
2020-06-21,2020-06-27,-42.800006103515635,3.1799926757812726
2020-06-28,2020-07-04,-25.39999389648437,-14.320001220703125
2020-07-05,2020-07-11,49.0,20.520001220703126
2020-07-12,2020-07-18,79.4,-0.1199951171875
2020-07-19,2020-07-25,-34.0,7.85999755859375
