first_day_in_week,last_day_in_week,PCBT_main_symb_weekly_mean_diff,WLFD.TA_weekly_mean_diff_0.48,ECP.TA_weekly_mean_diff_0.51,LEVI.TA_weekly_mean_diff_0.51,ONE.TA_weekly_mean_diff_0.51,ALRPR.TA_weekly_mean_diff_0.52,ALRPR.TA_weekly_mean_diff_0.52_INT_OPAL.TA_weekly_mean_diff_0.47_corr_0.72,SHOM.TA_weekly_mean_diff_0.54,SHGR.TA_weekly_mean_diff_0.56
2019-03-10,2019-03-16,7.8,4.8,23.8,0.0,62.0,64.0,84.48007812500073,-0.6,4.6
2019-03-17,2019-03-23,-0.6599975585937727,-2.2,-25.0,26.0,234.0,0.0,0.0,1.44000244140625,27.8
2019-03-24,2019-03-30,1.4799926757812727,-0.2,15.0,38.0,-106.0,46.0,-11.959887695312501,3.3,-8.6
2019-03-31,2019-04-06,3.1800048828125,1.6,-6.8,262.0,-30.0,12.0,93.3599853515625,5.05999755859375,15.2
2019-04-07,2019-04-13,1.7,39.8,91.8,-14.0,224.0,-14.0,-37.24005126953125,6.34000244140625,1.0
2019-04-14,2019-04-20,0.3199951171875,-3.2,21.8,56.0,92.0,90.0,-30.600219726562504,2.479998779296875,-1.0
2019-04-21,2019-04-27,3.42000732421875,73.2,2.8,-14.0,90.0,14.0,23.8,1.979998779296875,4.4
2019-04-28,2019-05-04,-0.85999755859375,-38.4,-16.4,-96.0,-136.0,-70.0,250.59991455078125,-5.0,-14.4
2019-05-05,2019-05-11,0.4199951171875,9.2,-14.0,-24.0,-50.0,36.0,-22.320043945312502,4.620001220703125,3.4
2019-05-12,2019-05-18,0.9199951171875,-13.0,27.6,-138.0,88.0,18.0,-0.36002197265624997,-1.620001220703125,-3.2
2019-05-19,2019-05-25,0.72000732421875,62.0,6.0,40.0,394.0,64.0,57.6,8.74000244140625,-17.8
2019-05-26,2019-06-01,-0.85999755859375,-36.2,-43.8,86.0,312.0,-164.0,82.0,-6.54000244140625,6.8
2019-06-02,2019-06-08,-0.52000732421875,-15.4,-16.2,86.0,-156.0,-30.0,-54.0,4.8,3.6
2019-06-09,2019-06-15,-0.0199951171875,26.6,6.2,44.0,-14.0,148.0,-148.0,-3.820001220703125,8.0
2019-06-16,2019-06-22,-7.52000732421875,-0.6,-12.8,42.0,58.0,90.0,-183.59967041015628,-0.639996337890625,3.4
2019-06-23,2019-06-29,2.060009765625,0.4,-18.4,48.0,32.0,-20.0,-36.0,3.35999755859375,-2.2
2019-06-30,2019-07-06,0.7,30.6,59.0,-44.0,220.0,162.0,706.3196044921875,1.0599975585937613,-6.0
