first_day_in_week,last_day_in_week,PIU_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,3.4,-0.6
2019-03-17,2019-03-23,0.75999755859375,1.44000244140625
2019-03-24,2019-03-30,15.64000244140625,3.3
2019-03-31,2019-04-06,-13.0,5.05999755859375
2019-04-07,2019-04-13,7.7,6.34000244140625
2019-04-14,2019-04-20,2.680004882812477,2.479998779296875
2019-04-21,2019-04-27,-10.2,1.979998779296875
2019-04-28,2019-05-04,1.7599975585937728,-5.0
2019-05-05,2019-05-11,-6.84000244140625,4.620001220703125
2019-05-12,2019-05-18,-8.2800048828125,-1.620001220703125
2019-05-19,2019-05-25,-2.35999755859375,8.74000244140625
2019-05-26,2019-06-01,-12.7199951171875,-6.54000244140625
2019-06-02,2019-06-08,2.5,4.8
2019-06-09,2019-06-15,0.7,-3.820001220703125
2019-06-16,2019-06-22,0.27999267578125,-0.639996337890625
2019-06-23,2019-06-29,9.22000732421875,3.35999755859375
2019-06-30,2019-07-06,-0.34000244140625,1.0599975585937613
2019-07-07,2019-07-13,1.95999755859375,-0.5
2019-07-14,2019-07-20,5.1800048828125,-0.6399963378906364
2019-07-21,2019-07-27,-5.82000732421875,5.95999755859375
2019-07-28,2019-08-03,-3.47999267578125,1.94000244140625
2019-08-04,2019-08-10,4.07999267578125,-4.520001220703125
2019-08-11,2019-08-17,32.3800048828125,1.14000244140625
2019-08-18,2019-08-24,-5.8,6.119995117187523
2019-08-25,2019-08-31,-2.7,2.5800048828124544
2019-09-01,2019-09-07,6.5,6.159997558593773
2019-09-08,2019-09-14,28.0,4.15999755859375
2019-09-15,2019-09-21,-8.6,-0.649993896484375
2019-09-22,2019-09-28,-5.5,-1.94000244140625
2019-09-29,2019-10-05,25.33333333333333,4.79998779296875
2019-10-06,2019-10-12,2.6666666666666665,6.900004069010417
2019-10-13,2019-10-19,6.0,2.20001220703125
2019-10-20,2019-10-26,1.4,4.133321126302083
2019-10-27,2019-11-02,15.2,8.05999755859375
2019-11-03,2019-11-09,12.4,6.6800048828125
2019-11-10,2019-11-16,-8.6,5.4199951171875
2019-11-17,2019-11-23,10.2,4.7800048828125
2019-11-24,2019-11-30,-13.6,-6.0
2019-12-01,2019-12-07,6.8,-5.7800048828125
2019-12-08,2019-12-14,-19.0,-5.1
2019-12-15,2019-12-21,5.0,13.24000244140625
2019-12-22,2019-12-28,10.8,3.6800048828125
2019-12-29,2020-01-04,3.4,12.07999267578125
2020-01-05,2020-01-11,2.6,23.00000000000002
2020-01-12,2020-01-18,-0.2,-10.739990234375023
2020-01-19,2020-01-25,-16.6,-0.84000244140625
2020-01-26,2020-02-01,-17.6,-3.3800048828125
2020-02-02,2020-02-08,13.6,15.34000244140625
2020-02-09,2020-02-15,-6.0,-6.5199951171875
2020-02-16,2020-02-22,-14.8,19.27999267578125
2020-02-23,2020-02-29,-33.899993896484396,-20.4
2020-03-01,2020-03-07,-71.30000305175778,-40.44999694824219
2020-03-08,2020-03-14,-6.85999755859375,-62.275001525878906
2020-03-15,2020-03-21,11.039990234375,-2.179998779296875
2020-03-22,2020-03-28,37.32000732421875,37.6
2020-03-29,2020-04-04,4.666666666666667,-6.44000244140625
2020-04-05,2020-04-11,25.46665445963545,11.599995930989584
2020-04-12,2020-04-18,3.3,12.5
2020-04-19,2020-04-25,16.46667480468746,10.52000732421875
2020-04-26,2020-05-02,4.2,27.133321126302082
2020-05-03,2020-05-09,-10.6,-9.2199951171875
2020-05-10,2020-05-16,3.8,-23.2800048828125
2020-05-17,2020-05-23,-19.875,13.8
2020-05-24,2020-05-30,-6.080004882812477,-8.17498779296875
2020-05-31,2020-06-06,7.7250061035155975,1.1199951171875
2020-06-07,2020-06-13,12.0,-11.524993896484375
2020-06-14,2020-06-20,-7.2,-0.72000732421875
2020-06-21,2020-06-27,-0.9000022888183594,-5.55999755859375
2020-06-28,2020-07-04,-4.3999977111816415,11.500001144409179
2020-07-05,2020-07-11,6.14000244140625,-13.440003585815429
2020-07-12,2020-07-18,-1.4,1.32000732421875
2020-07-19,2020-07-25,22.94999694824219,8.639990234375
