first_day_in_week,last_day_in_week,PLSN_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.45,BIOV.TA_weekly_mean_diff_0.47,DLEKG.TA_weekly_mean_diff_0.48
2019-03-10,2019-03-16,-20.0,0.0,1.839996337890625,-10.0
2019-03-17,2019-03-23,-462.0,26.0,0.820001220703125,-50.0
2019-03-24,2019-03-30,-232.0,38.0,1.64000244140625,-352.0
2019-03-31,2019-04-06,226.0,262.0,0.6,256.0
2019-04-07,2019-04-13,-18.0,-14.0,0.879998779296875,686.0
2019-04-14,2019-04-20,4.0,56.0,-0.479998779296875,-202.0
2019-04-21,2019-04-27,-90.0,-14.0,-0.320001220703125,448.0
2019-04-28,2019-05-04,72.0,-96.0,1.4,64.0
2019-05-05,2019-05-11,10.0,-24.0,-0.25999755859375,-398.0
2019-05-12,2019-05-18,-88.0,-138.0,-1.160003662109375,-1128.0
2019-05-19,2019-05-25,36.0,40.0,0.779998779296875,620.0
2019-05-26,2019-06-01,-20.0,86.0,-0.879998779296875,-14.0
2019-06-02,2019-06-08,2.0,86.0,0.379998779296875,-400.0
2019-06-09,2019-06-15,-8.0,44.0,-2.1,-152.0
2019-06-16,2019-06-22,-36.0,42.0,-1.7,12.0
2019-06-23,2019-06-29,32.0,48.0,2.920001220703125,-92.0
2019-06-30,2019-07-06,-26.0,-44.0,-3.420001220703125,0.0
2019-07-07,2019-07-13,-120.0,-68.0,-2.3,-248.0
2019-07-14,2019-07-20,-78.0,30.0,-4.139996337890636,-1640.0
2019-07-21,2019-07-27,24.0,76.0,1.4599975585937728,552.0
2019-07-28,2019-08-03,-32.0,158.0,2.9400024414062385,-190.0
2019-08-04,2019-08-10,-132.0,486.0,-3.560003662109375,-822.0
2019-08-11,2019-08-17,-76.0,-40.0,-0.05999755859375,-660.0
2019-08-18,2019-08-24,34.0,278.0,-0.9,168.0
2019-08-25,2019-08-31,86.0,-212.0,1.9200012207031136,512.0
2019-09-01,2019-09-07,200.0,-210.0,-0.32000122070311365,-536.0
2019-09-08,2019-09-14,112.5,-14.0,0.4799987792968864,-334.0
2019-09-15,2019-09-21,98.0,102.5,0.125,300.0
2019-09-22,2019-09-28,-200.0,282.0,-1.5200012207031364,-1176.0
2019-09-29,2019-10-05,186.66666666666663,480.0,-3.149993896484375,1250.0
2019-10-06,2019-10-12,-46.66666666666666,110.0,3.6666666666666665,-140.0
2019-10-13,2019-10-19,110.0,46.666666666666664,3.466664632161477,803.3333333333334
2019-10-20,2019-10-26,76.0,-13.333333333333334,-2.466664632161477,-10.0
2019-10-27,2019-11-02,-112.0,-8.0,-1.25999755859375,-206.0
2019-11-03,2019-11-09,-118.0,-220.0,-1.74000244140625,1128.0
2019-11-10,2019-11-16,-58.0,48.0,-1.2399993896484376,52.0
2019-11-17,2019-11-23,130.0,-58.0,2.0800018310546875,-134.0
2019-11-24,2019-11-30,274.0,132.0,6.439996337890625,-28.0
2019-12-01,2019-12-07,-120.0,56.0,-1.279998779296875,-560.0
2019-12-08,2019-12-14,-132.0,166.0,1.04000244140625,182.0
2019-12-15,2019-12-21,32.0,124.0,1.239996337890625,300.0
2019-12-22,2019-12-28,-80.0,-68.0,1.660003662109375,-200.0
2019-12-29,2020-01-04,-18.0,106.0,-1.8800048828125,1900.0
2020-01-05,2020-01-11,-28.0,104.0,0.64000244140625,-262.0
2020-01-12,2020-01-18,-18.0,-26.0,1.3,-440.0
2020-01-19,2020-01-25,190.0,-38.0,-1.3,-228.0
2020-01-26,2020-02-01,94.0,-100.0,-1.75999755859375,-1572.0
2020-02-02,2020-02-08,-76.0,174.0,-1.820001220703125,60.0
2020-02-09,2020-02-15,-44.0,-94.0,-0.34000244140623864,-288.0
2020-02-16,2020-02-22,-190.0,218.0,0.4999999999999886,-142.0
2020-02-23,2020-02-29,-297.5,-426.0,0.560003662109375,-1732.0
2020-03-01,2020-03-07,-522.5,-472.5,-8.925003051757812,-1590.0
2020-03-08,2020-03-14,-503.0,-1332.5,-16.549999237060547,-5595.0
2020-03-15,2020-03-21,461.0,-124.0,-4.380001831054687,2190.0
2020-03-22,2020-03-28,58.0,618.0,5.0800018310546875,-1332.6
2020-03-29,2020-04-04,520.0,342.0,11.539999389648438,256.6
2020-04-05,2020-04-11,-93.33333333333331,-240.0,-4.799997965494801,1833.3333333333333
2020-04-12,2020-04-18,80.0,43.333333333333336,4.266662597656269,63.333333333333336
2020-04-19,2020-04-25,-150.0,-224.0,-1.9199981689453183,-106.0
2020-04-26,2020-05-02,-204.0,316.6666666666667,3.899998982747396,-56.666666666666664
2020-05-03,2020-05-09,-148.0,-394.0,-2.2,-512.0
2020-05-10,2020-05-16,66.0,186.0,-0.6799987792968807,-786.0
2020-05-17,2020-05-23,10.0,-28.0,0.019998168945318185,28.0
2020-05-24,2020-05-30,282.0,210.0,-2.424999237060547,-37.5
2020-05-31,2020-06-06,157.5,268.0,0.4399993896484375,1.0
2020-06-07,2020-06-13,-114.0,-72.5,1.4500007629394531,91.25
2020-06-14,2020-06-20,-140.0,-520.0,-1.1399993896484375,176.0
2020-06-21,2020-06-27,-18.000061035155888,-138.0,2.079998779296875,-468.0
2020-06-28,2020-07-04,-123.99993896484413,-352.0,-0.2200000762939453,-122.39993286132812
2020-07-05,2020-07-11,160.0,-94.0,0.02000007629394531,-204.4000671386719
2020-07-12,2020-07-18,104.0,298.0,7.060000610351563,52.0
2020-07-19,2020-07-25,7.5,6.0,2.120001220703114,148.2
