first_day_in_week,last_day_in_week,PSTI_main_symb_weekly_mean_diff,PLSN.TA_weekly_mean_diff_0.36,ARYT.TA_weekly_mean_diff_0.38,AMAN.TA_weekly_mean_diff_0.4,CEL.TA_weekly_mean_diff_0.4,CAST.TA_weekly_mean_diff_0.42,ITMR.TA_weekly_mean_diff_0.43,ASHO.TA_weekly_mean_diff_0.46,DLEA.TA_weekly_mean_diff_0.48,MDTR.TA_weekly_mean_diff_0.52
2019-03-10,2019-03-16,4.4,40.0,0.420001220703125,-1.2,6.2,31.4,1.3200012207031135,6.0,-5.8,5.9
2019-03-17,2019-03-23,-1.6,-20.0,1.4,-6.6,-51.6,11.0,2.439999389648443,-10.85999755859375,2.8,2.0199951171875
2019-03-24,2019-03-30,-275.0,-462.0,-1.6600006103515625,-58.2,-8.6,-158.2,-2.6399993896484433,-5.5800048828125,-19.2,-7.9199951171875
2019-03-31,2019-04-06,12.0,-232.0,-0.020001220703125,33.6,6.2,65.6,-1.440000915527338,-0.8799926757812727,-6.8,-0.8
2019-04-07,2019-04-13,-54.0,226.0,0.0800018310546875,-0.4,9.8,24.6,-0.1399993896484375,-5.640002441406227,14.6,3.4
2019-04-14,2019-04-20,28.2,-18.0,-0.14000244140625,-5.2,33.0,-73.6,-0.9,-9.74000244140625,14.4,-1.4199951171875
2019-04-21,2019-04-27,56.4,4.0,-0.579998779296875,10.6,17.2,3.8,-0.2199996948242216,5.180004882812478,10.2,4.25999755859375
2019-04-28,2019-05-04,16.6,-90.0,-1.5600006103515625,-3.6,-35.2,5.4,0.33999938964844034,-6.060009765624978,13.8,-2.04000244140625
2019-05-05,2019-05-11,-20.6,72.0,0.2800018310546875,-5.6,18.0,-6.2,-0.9399993896484403,3.8800048828125,-6.6,0.84000244140625
2019-05-12,2019-05-18,25.4,10.0,1.3199981689453124,-6.0,15.4,-3.0,-1.4,-6.2800048828125,-5.0,2.5199951171875
2019-05-19,2019-05-25,-21.2,-88.0,-0.6600006103515625,-0.4,-14.2,-47.8,-2.3,1.24000244140625,-4.6,2.62000732421875
2019-05-26,2019-06-01,-52.8,36.0,-0.8399993896484375,-11.2,-39.0,-149.6,0.6,-1.4,0.0,4.839990234375
2019-06-02,2019-06-08,-0.4,-20.0,-0.1399993896484375,-8.0,-41.4,-32.6,5.0399993896484405,-0.3,-2.6,1.560009765625
2019-06-09,2019-06-15,12.0,2.0,1.079998779296875,-6.0,-2.6,-22.0,-1.7,4.25999755859375,10.8,-1.7
2019-06-16,2019-06-22,14.4,-8.0,-0.7199981689453125,-6.4,-15.8,31.2,0.6,-5.5,1.4,-0.2800048828125
2019-06-23,2019-06-29,-29.0,-36.0,-0.2600006103515625,13.6,-9.8,-19.4,-0.5800003051757813,1.02000732421875,7.8,0.54000244140625
2019-06-30,2019-07-06,-29.4,32.0,-0.520001220703125,-11.6,-6.0,1.0,-0.7199996948242188,2.24000244140625,16.2,-3.15999755859375
2019-07-07,2019-07-13,74.2,-26.0,-0.679998779296875,-1.6,13.6,14.6,-1.4600006103515597,-2.44000244140625,25.2,2.2199951171875
