first_day_in_week,last_day_in_week,RIMO_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.37,SHAN.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,20.4,3.8,10.939996337890625
2019-03-17,2019-03-23,123.0,-16.4,-4.139996337890625
2019-03-24,2019-03-30,0.8,10.8,1.279998779296875
2019-03-31,2019-04-06,29.2,43.2,-0.720001220703125
2019-04-07,2019-04-13,-22.2,60.0,3.15999755859375
2019-04-14,2019-04-20,-6.8,-24.0,2.0800048828125
2019-04-21,2019-04-27,-12.2,-1.0,-1.7
2019-04-28,2019-05-04,-15.4,-46.0,1.35999755859375
2019-05-05,2019-05-11,-52.6,14.6,1.3
2019-05-12,2019-05-18,25.2,24.4,1.420001220703125
2019-05-19,2019-05-25,27.0,48.0,1.420001220703125
2019-05-26,2019-06-01,-43.6,38.6,6.4
2019-06-02,2019-06-08,31.6,-24.6,1.15999755859375
2019-06-09,2019-06-15,-42.0,-7.0,-0.6
2019-06-16,2019-06-22,30.2,-27.8,-2.7400024414062387
2019-06-23,2019-06-29,-10.2,15.8,2.7200012207031135
2019-06-30,2019-07-06,-63.0,92.6,6.34000244140625
2019-07-07,2019-07-13,-54.0,-2.6,-2.74000244140625
2019-07-14,2019-07-20,8.4,-30.4,7.7799987792968865
2019-07-21,2019-07-27,27.2,7.4,3.7600036621093635
2019-07-28,2019-08-03,-50.2,15.0,-1.020001220703125
2019-08-04,2019-08-10,-38.2,-14.0,-1.4
2019-08-11,2019-08-17,16.2,-12.0,0.45999755859376135
2019-08-18,2019-08-24,43.8,57.2,3.9200012207031136
2019-08-25,2019-08-31,-70.0,-25.0,-1.939996337890625
2019-09-01,2019-09-07,-3.0,-8.8,-0.860003662109375
2019-09-08,2019-09-14,-16.5,-31.6,-0.6200012207031136
2019-09-15,2019-09-21,-4.8,66.5,3.5500030517577983
2019-09-22,2019-09-28,-18.5,56.4,2.74000244140625
2019-09-29,2019-10-05,11.333333333333336,23.0,-6.200012207031222
2019-10-06,2019-10-12,40.333333333333336,34.666666666666664,4.066670735677064
2019-10-13,2019-10-19,23.0,32.666666666666664,3.9000040690103788
2019-10-20,2019-10-26,29.0,58.0,-1.8333333333333333
2019-10-27,2019-11-02,4.4,26.2,-2.199999999999977
2019-11-03,2019-11-09,-29.8,-77.8,-8.7
2019-11-10,2019-11-16,-11.4,117.6,0.7199951171875114
2019-11-17,2019-11-23,-142.2,45.2,1.7600036621093635
2019-11-24,2019-11-30,-278.0,-104.2,3.75999755859375
2019-12-01,2019-12-07,105.8,43.8,-6.639996337890625
2019-12-08,2019-12-14,-54.2,49.4,-1.060003662109375
2019-12-15,2019-12-21,-25.8,-26.0,-1.45999755859375
2019-12-22,2019-12-28,58.8,29.0,-1.9
2019-12-29,2020-01-04,-31.0,77.2,3.379998779296875
2020-01-05,2020-01-11,-13.6,-11.0,-2.479998779296875
2020-01-12,2020-01-18,-13.0,106.6,3.320001220703125
2020-01-19,2020-01-25,-23.4,3.4,3.839996337890625
2020-01-26,2020-02-01,18.0,-101.2,0.720001220703125
2020-02-02,2020-02-08,-36.0,-70.4,-1.179998779296875
2020-02-09,2020-02-15,31.0,-1.0,4.75999755859375
2020-02-16,2020-02-22,-35.0,18.4,1.4799987792968863
2020-02-23,2020-02-29,-39.25,-108.0,-8.7
2020-03-01,2020-03-07,-153.25,-163.25,-4.324996948242202
2020-03-08,2020-03-14,33.2,-328.0,-1.5250015258789062
2020-03-15,2020-03-21,5.8,127.0,2.120001220703125
2020-03-22,2020-03-28,73.0,95.6,6.379998779296875
2020-03-29,2020-04-04,38.66666666666666,77.4,0.44000244140625
2020-04-05,2020-04-11,60.0,93.0,0.16666666666666666
2020-04-12,2020-04-18,-9.8,2.6666666666666665,-0.866668701171875
2020-04-19,2020-04-25,19.33333333333333,86.8,2.64000244140625
2020-04-26,2020-05-02,-1.8,33.0,7.166666666666629
2020-05-03,2020-05-09,-47.6,-77.0,-1.2200012207031024
2020-05-10,2020-05-16,28.2,-20.2,1.2399963378906478
2020-05-17,2020-05-23,9.75,128.2,4.6800048828124545
2020-05-24,2020-05-30,270.2,208.5,25.34999084472659
2020-05-31,2020-06-06,-152.5,-36.8,-16.6
2020-06-07,2020-06-13,-20.2,59.5,-4.024993896484375
2020-06-14,2020-06-20,-53.6,50.0,4.24000244140625
2020-06-21,2020-06-27,-19.800033569335934,-103.0,-7.000000000000023
2020-06-28,2020-07-04,-7.599966430664063,-2.6,-3.9199985504150163
2020-07-05,2020-07-11,43.8,20.0,10.239993667602562
2020-07-12,2020-07-18,26.4,42.0,-6.840002441406273
2020-07-19,2020-07-25,-14.5,58.0,1.1
