first_day_in_week,last_day_in_week,RVL_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.4_INT_ALRPR.TA_weekly_mean_diff_0.5_corr_0.72,OPAL.TA_weekly_mean_diff_0.4_INT_SHOM.TA_weekly_mean_diff_0.36_corr_0.77
2019-03-10,2019-03-16,3.15999755859375,84.48007812500073,-0.7920007324218818
2019-03-17,2019-03-23,-0.9800048828125,0.0,3.052798144519329
2019-03-24,2019-03-30,-0.04000244140625,-11.959887695312501,-0.857991943359375
2019-03-31,2019-04-06,1.0,93.3599853515625,39.36677482910454
2019-04-07,2019-04-13,-1.27999267578125,-37.24005126953125,16.864429711923005
2019-04-14,2019-04-20,2.1,-30.600219726562504,-0.8432056396454574
2019-04-21,2019-04-27,1.97999267578125,23.8,3.365997924804687
2019-04-28,2019-05-04,0.62000732421875,250.59991455078125,17.899993896484375
2019-05-05,2019-05-11,-1.75999755859375,-22.320043945312502,-2.8644063964858653
2019-05-12,2019-05-18,-2.0800048828125,-0.36002197265624997,0.032402001954615116
2019-05-19,2019-05-25,0.7800048828125,57.6,7.866002197265626
2019-05-26,2019-06-01,-7.2800048828125,82.0,3.270001220703125
2019-06-02,2019-06-08,3.2800048828125,-54.0,8.64
2019-06-09,2019-06-15,3.4,-148.0,3.820001220703125
2019-06-16,2019-06-22,-1.14000244140625,-183.59967041015628,1.3055901855602863
2019-06-23,2019-06-29,0.44000244140625,-36.0,6.04799560546875
2019-06-30,2019-07-06,-1.74000244140625,706.3196044921875,4.621586767584135
2019-07-07,2019-07-13,-4.32000732421875,159.72008056640627,-1.2100006103515626
2019-07-14,2019-07-20,3.42000732421875,90.43970947265625,0.24319782715291216
2019-07-21,2019-07-27,-0.64000244140625,-42.159875488281244,7.390375146493316
2019-07-28,2019-08-03,1.9800048828125,94.240185546875,2.4056077636778355
2019-08-04,2019-08-10,-3.9800048828125,-127.9201904296875,3.7064065185561774
2019-08-11,2019-08-17,6.7199951171875,11.4,-0.114000244140625
2019-08-18,2019-08-24,3.5,-520.0,-39.7799682617189
2019-08-25,2019-08-31,-2.9199951171875,-102.0,-7.740014648437363
2019-09-01,2019-09-07,2.1800048828125,0.0,18.479992675781318
2019-09-08,2019-09-14,-0.95001220703125,46.0799560546875,5.32479179687798
2019-09-15,2019-09-21,11.02000732421875,38.000144958496094,-0.25999855040572584
2019-09-22,2019-09-28,-10.600006103515623,18.0,3.49200439453125
2019-09-29,2019-10-05,3.6333414713541674,26.00006103515625,-6.239998779259622
2019-10-06,2019-10-12,8.566650390625,175.0005086263021,4.830016886401508
2019-10-13,2019-10-19,-0.8999837239583334,-5.555555555555556,1.833343505859375
2019-10-20,2019-10-26,0.9199951171875,-240.0,11.022189670138888
2019-10-27,2019-11-02,1.1,31.5999755859375,12.734786303713918
2019-11-03,2019-11-09,1.5199951171875,-73.44012451171875,4.809611669927835
2019-11-10,2019-11-16,1.62000732421875,-49.68006591796875,4.986402124017476
2019-11-17,2019-11-23,32.94000244140623,134.1599365234375,12.332406762689352
2019-11-24,2019-11-30,-9.880004882812477,68.64016113281251,-3.1200073242187503
2019-12-01,2019-12-07,4.95999755859375,11.399963378906364,-6.589184399396247
2019-12-08,2019-12-14,8.6,-40.39990234375023,10.301975097656308
2019-12-15,2019-12-21,8.04000244140625,227.1197509765625,44.22155966795981
2019-12-22,2019-12-28,1.2,-63.84005126953125,5.59361191406846
2019-12-29,2020-01-04,8.2,294.0,59.19196411132813
2020-01-05,2020-01-11,12.2,396.0,207.0000000000002
2020-01-12,2020-01-18,3.2,-392.9210205078078,10.095617040991684
2020-01-19,2020-01-25,-15.0,20.159692382813457,0.20159750975669385
2020-01-26,2020-02-01,1.4,752.4002685546875,11.559620825201273
2020-02-02,2020-02-08,-7.0,132.6801513671868,-32.82764267578704
2020-02-09,2020-02-15,-12.45999755859375,-73.20007324218716,-15.908804003894256
2020-02-16,2020-02-22,-28.35999755859375,893.0797973632812,103.72633706055582
2020-02-23,2020-02-29,-21.475006103515625,1226.3999999999999,57.11999999999999
2020-03-01,2020-03-07,-39.82499694824219,18912.5,859.5624351501465
2020-03-08,2020-03-14,-24.220001220703125,30591.499999999993,1899.3875465393062
2020-03-15,2020-03-21,9.079998779296877,452.4879602050783,30.258380395509313
2020-03-22,2020-03-28,13.8,4129.728229980468,412.09602294921876
2020-03-29,2020-04-04,8.199991861979166,1127.3036627197287,-39.41280314940967
2020-04-05,2020-04-11,-12.133321126302086,-278.0451931423588,26.293394910999254
2020-04-12,2020-04-18,-7.680004882812478,76.00173950194772,-3.333409627278409
2020-04-19,2020-04-25,28.99999999999996,60.09213256835897,17.46325068362045
2020-04-26,2020-05-02,-5.54000244140625,1965.5980224609375,164.60864922424986
2020-05-03,2020-05-09,-11.4199951171875,-1023.2757678222655,-49.60356247559189
2020-05-10,2020-05-16,11.34000244140625,1939.2627734374998,179.72152402341365
2020-05-17,2020-05-23,-5.9000091552734375,-16.28,-2.7600000000000002
2020-05-24,2020-05-30,6.9800048828125,-0.0,18.393722534179688
2020-05-31,2020-06-06,-0.9250030517578124,-7.3599609375,0.5151950195431709
2020-06-07,2020-06-13,12.8,240.15569686889648,-15.270581741351634
2020-06-14,2020-06-20,-15.27999267578125,-569.66373046875,3.7152360351383686
2020-06-21,2020-06-27,-13.640000534057641,385.0881335449213,19.571198193356363
