first_day_in_week,last_day_in_week,SALG_main_symb_weekly_mean_diff,SAE.TA_weekly_mean_diff_0.37
2019-03-10,2019-03-16,2.6,-7.0
2019-03-17,2019-03-23,-12.6,-37.8
2019-03-24,2019-03-30,9.8,-12.2
2019-03-31,2019-04-06,2.0,6.2
2019-04-07,2019-04-13,0.8,10.2
2019-04-14,2019-04-20,-4.2,0.4
2019-04-21,2019-04-27,-1.2,-4.8
2019-04-28,2019-05-04,-6.0,-6.8
2019-05-05,2019-05-11,-2.4,7.8
2019-05-12,2019-05-18,-5.2,3.8
2019-05-19,2019-05-25,-28.0,-2.0
2019-05-26,2019-06-01,-5.8,1.6
2019-06-02,2019-06-08,-0.4,-2.4
2019-06-09,2019-06-15,9.4,9.4
2019-06-16,2019-06-22,3.8,5.6
2019-06-23,2019-06-29,-1.6,-22.0
2019-06-30,2019-07-06,-10.2,12.0
2019-07-07,2019-07-13,-3.9199951171875234,5.4
2019-07-14,2019-07-20,1.5199951171875228,-8.2
2019-07-21,2019-07-27,-7.6,15.8
2019-07-28,2019-08-03,-1.7199951171875227,20.2
2019-08-04,2019-08-10,16.319995117187528,31.4
2019-08-11,2019-08-17,14.2,-37.0
2019-08-18,2019-08-24,-17.0,-22.6
2019-08-25,2019-08-31,8.6,-14.0
2019-09-01,2019-09-07,-14.5,24.2
2019-09-08,2019-09-14,1.875,-5.6
2019-09-15,2019-09-21,11.4,12.25
2019-09-22,2019-09-28,-19.5,0.4
2019-09-29,2019-10-05,-3.6666666666666665,3.5
2019-10-06,2019-10-12,6.666666666666668,-4.333333333333333
2019-10-13,2019-10-19,20.666666666666668,-1.0
2019-10-20,2019-10-26,1.4,5.0
2019-10-27,2019-11-02,-4.4,-31.8
2019-11-03,2019-11-09,-0.2,-7.2
2019-11-10,2019-11-16,2.4,-8.8
2019-11-17,2019-11-23,-8.6,20.2
2019-11-24,2019-11-30,-16.680004882812472,-27.2
2019-12-01,2019-12-07,-6.079992675781273,-11.0
2019-12-08,2019-12-14,-3.320007324218728,6.0
2019-12-15,2019-12-21,-0.9599975585937728,-13.8
2019-12-22,2019-12-28,12.059997558593773,9.4
2019-12-29,2020-01-04,2.6600097656249546,-3.8
2020-01-05,2020-01-11,-7.320007324218727,0.4
2020-01-12,2020-01-18,-11.3199951171875,-6.0
2020-01-19,2020-01-25,-4.54000244140625,10.6
2020-01-26,2020-02-01,-8.7,-12.8
2020-02-02,2020-02-08,7.35999755859375,13.0
2020-02-09,2020-02-15,7.1,8.6
2020-02-16,2020-02-22,-11.85999755859375,2.8
2020-02-23,2020-02-29,-17.199996948242188,-15.6
2020-03-01,2020-03-07,-13.699996948242188,6.25
2020-03-08,2020-03-14,-10.0,-77.25
2020-03-15,2020-03-21,39.8,70.4
2020-03-22,2020-03-28,11.3199951171875,-56.2
2020-03-29,2020-04-04,-9.333333333333334,-11.8
2020-04-05,2020-04-11,5.26666259765625,11.0
2020-04-12,2020-04-18,2.6599975585937727,7.666666666666667
2020-04-19,2020-04-25,33.63334147135413,47.0
2020-04-26,2020-05-02,3.4,4.666666666666667
2020-05-03,2020-05-09,9.0,6.4
2020-05-10,2020-05-16,18.6,-14.0
2020-05-17,2020-05-23,6.25,13.4
2020-05-24,2020-05-30,3.0,22.5
2020-05-31,2020-06-06,3.75,7.4
2020-06-07,2020-06-13,6.8,-18.75
2020-06-14,2020-06-20,-5.0,-13.4
2020-06-21,2020-06-27,-18.399994659423875,-17.8
2020-06-28,2020-07-04,-6.600005340576128,22.19999542236328
2020-07-05,2020-07-11,15.0,12.400004577636718
2020-07-12,2020-07-18,1.6,14.8
2020-07-19,2020-07-25,-3.25,6.6
