first_day_in_week,last_day_in_week,SKBN_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.47_INT_MNRV.TA_weekly_mean_diff_0.36_corr_0.75
2019-03-10,2019-03-16,0.95999755859375,26.400146484374126
2019-03-17,2019-03-23,34.5,495.36119140684394
2019-03-24,2019-03-30,-4.9,-719.3995971679688
2019-03-31,2019-04-06,4.4,242.87926513701677
2019-04-07,2019-04-13,11.4,1838.6007080078125
2019-04-14,2019-04-20,-1.3,29.760288085788492
2019-04-21,2019-04-27,-0.3,-126.72040527313948
2019-04-28,2019-05-04,-0.8,989.9993896484375
2019-05-05,2019-05-11,3.95999755859375,83.15945800766349
2019-05-12,2019-05-18,-5.15999755859375,424.44051757827157
2019-05-19,2019-05-25,25.0,3024.0440454110376
2019-05-26,2019-06-01,4.2,732.4810717776418
2019-06-02,2019-06-08,9.0,1708.798828125007
2019-06-09,2019-06-15,-15.2,641.7597387693878
2019-06-16,2019-06-22,4.2,43.519672852009535
2019-06-23,2019-06-29,3.2,94.07952148467302
2019-06-30,2019-07-06,7.8,303.1596899405154
2019-07-07,2019-07-13,2.4,99.00024414062428
2019-07-14,2019-07-20,26.6,330.2379541024634
2019-07-21,2019-07-27,-3.6,2693.9196240231395
2019-07-28,2019-08-03,9.6,1734.3614721670776
2019-08-04,2019-08-10,-4.6,262.15951904282633
2019-08-11,2019-08-17,-12.6,-342.000732421875
2019-08-18,2019-08-24,-9.8,-832.3178417980703
2019-08-25,2019-08-31,-0.4,1578.9633032232243
2019-09-01,2019-09-07,1.8,1268.9579931646633
2019-09-08,2019-09-14,-2.0,-432.64076171814787
2019-09-15,2019-09-21,38.0,51.99971008114635
2019-09-22,2019-09-28,-17.0,-170.7211621105671
2019-09-29,2019-10-05,41.0,1656.0016479343176
2019-10-06,2019-10-12,-7.666666666666668,-759.0116780665186
2019-10-13,2019-10-19,-2.6666666666666665,440.00244140625
2019-10-20,2019-10-26,3.6,1570.6653917001352
2019-10-27,2019-11-02,17.0,-3578.6408837884546
2019-11-03,2019-11-09,-10.4,668.00048828125
2019-11-10,2019-11-16,-1.4,-1495.9173291027626
2019-11-17,2019-11-23,20.4,1242.80126953125
2019-11-24,2019-11-30,-3.4,791.9970703125
2019-12-01,2019-12-07,-6.8,1283.1653173863804
2019-12-08,2019-12-14,4.2,-275.40124511718005
2019-12-15,2019-12-21,-9.4,7017.2012939453125
2019-12-22,2019-12-28,16.2,-1486.7228710949366
2019-12-29,2020-01-04,17.6,8504.317792966944
2020-01-05,2020-01-11,16.4,-3725.9887695312536
2020-01-12,2020-01-18,29.8,-2878.3095166087373
2020-01-19,2020-01-25,-30.2,89.04005371034268
2020-01-26,2020-02-01,3.6,-574.600830078125
2020-02-02,2020-02-08,28.0,-10277.801635742188
2020-02-09,2020-02-15,16.2,-3781.59716796875
2020-02-16,2020-02-22,-8.0,18161.743686527014
2020-02-23,2020-02-29,-29.25,11342.39501953125
2020-03-01,2020-03-07,-135.5,64821.095420839265
2020-03-08,2020-03-14,-41.0,229483.41863250826
2020-03-15,2020-03-21,25.8,3104.3174633793533
2020-03-22,2020-03-28,11.8,73545.5908203125
2020-03-29,2020-04-04,32.333333333333336,-1571.362167969346
2020-04-05,2020-04-11,5.333333333333333,17013.32736545139
2020-04-12,2020-04-18,4.8,8083.330790201823
2020-04-19,2020-04-25,31.66666666666667,4818.163354492187
2020-04-26,2020-05-02,-4.6,5697.9974365234375
2020-05-03,2020-05-09,-23.8,1807.11904296875
2020-05-10,2020-05-16,-10.0,15085.443164062499
2020-05-17,2020-05-23,16.0,8004.0
2020-05-24,2020-05-30,-4.2,3535.6822204589844
2020-05-31,2020-06-06,66.0,-206.0791015625
2020-06-07,2020-06-13,-68.2,-115.24993896484375
2020-06-14,2020-06-20,-9.4,44.640454101562504
2020-06-21,2020-06-27,30.79999313354488,211.2799072265625
2020-06-28,2020-07-04,4.8000068664551225,574.9986534117255
2020-07-05,2020-07-11,20.4,2150.398933105031
2020-07-12,2020-07-18,6.2,662.6436767578125
2020-07-19,2020-07-25,11.5,-1330.5584960937501
