first_day_in_week,last_day_in_week,SRFT_main_symb_weekly_mean_diff,ILDC.TA_weekly_mean_diff_0.43,PCBT.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,0.4399902343750455,9.8,1.379998779296875
2019-03-17,2019-03-23,0.8,-7.4,7.8
2019-03-24,2019-03-30,-11.539990234375045,-13.0,-0.6599975585937727
2019-03-31,2019-04-06,18.119995117187518,-4.8,1.4799926757812727
2019-04-07,2019-04-13,14.0,59.0,3.1800048828125
2019-04-14,2019-04-20,0.0,10.2,1.7
2019-04-21,2019-04-27,-1.4,-2.6,0.3199951171875
2019-04-28,2019-05-04,-2.6,7.4,3.42000732421875
2019-05-05,2019-05-11,-1.2,9.6,-0.85999755859375
2019-05-12,2019-05-18,5.2,-6.2,0.4199951171875
2019-05-19,2019-05-25,5.8,-11.0,0.9199951171875
2019-05-26,2019-06-01,-1.8,-21.6,0.72000732421875
2019-06-02,2019-06-08,-1.4,-31.6,-0.85999755859375
2019-06-09,2019-06-15,2.6,43.8,-0.52000732421875
2019-06-16,2019-06-22,1.8,0.2,-0.0199951171875
2019-06-23,2019-06-29,1.0,-6.8,-7.52000732421875
2019-06-30,2019-07-06,2.8,30.4,2.060009765625
2019-07-07,2019-07-13,33.0,17.2,0.7
2019-07-14,2019-07-20,17.8,-52.0,-3.8400024414062726
2019-07-21,2019-07-27,4.2,47.8,-0.6800048828124545
2019-07-28,2019-08-03,-15.4,35.2,-4.419995117187545
2019-08-04,2019-08-10,16.4,24.0,-4.540002441406227
2019-08-11,2019-08-17,37.2,-66.8,-2.25999755859375
2019-08-18,2019-08-24,-12.6,12.6,2.0199951171875115
2019-08-25,2019-08-31,4.2,-12.8,-4.879998779296886
2019-09-01,2019-09-07,14.2,-5.8,-5.0
2019-09-08,2019-09-14,13.5,22.2,-5.079998779296875
2019-09-15,2019-09-21,0.6,-14.25,2.6750030517578125
2019-09-22,2019-09-28,11.5,-0.2,3.579998779296875
2019-09-29,2019-10-05,11.666666666666664,-18.0,8.699996948242188
2019-10-06,2019-10-12,7.666666666666668,81.0,5.466664632161458
2019-10-13,2019-10-19,6.333333333333332,29.666666666666668,0.100006103515625
2019-10-20,2019-10-26,-6.2,-12.0,1.1999918619791856
2019-10-27,2019-11-02,-4.6,0.6,-3.2399963378906365
2019-11-03,2019-11-09,-23.6,-13.4,0.920001220703125
2019-11-10,2019-11-16,16.0,-26.8,-2.820001220703125
2019-11-17,2019-11-23,21.8,42.2,-8.679998779296875
2019-11-24,2019-11-30,-25.0,-1.8,-2.620001220703125
2019-12-01,2019-12-07,-25.6,7.6,-0.720001220703125
2019-12-08,2019-12-14,1.2,60.8,1.3
2019-12-15,2019-12-21,-9.2,60.4,-2.4400024414062385
2019-12-22,2019-12-28,21.8,42.6,12.5
2019-12-29,2020-01-04,8.4,2.8,-3.379998779296886
2020-01-05,2020-01-11,30.6,66.0,-0.32000122070311365
2020-01-12,2020-01-18,6.0,-1.2,4.7
2020-01-19,2020-01-25,-28.8,-46.0,2.5400024414062385
2020-01-26,2020-02-01,-17.4,11.2,-0.979998779296875
2020-02-02,2020-02-08,14.4,136.4,-1.920001220703125
2020-02-09,2020-02-15,20.6,52.4,2.84000244140625
2020-02-16,2020-02-22,-17.4,2.6,1.079998779296875
2020-02-23,2020-02-29,-45.25,-104.0,-6.279998779296875
2020-03-01,2020-03-07,-91.75,-97.0,-13.200004577636719
2020-03-08,2020-03-14,-22.0,-436.75,-19.875
2020-03-15,2020-03-21,-9.6,-144.2,-10.879998779296875
2020-03-22,2020-03-28,16.4,152.4,5.6
2020-03-29,2020-04-04,65.33333333333333,94.8,21.3
2020-04-05,2020-04-11,32.666666666666664,155.0,2.3333333333333335
2020-04-12,2020-04-18,0.2,-100.33333333333333,-0.3333333333333333
2020-04-19,2020-04-25,1.6666666666666667,-63.6,2.5599975585937615
2020-04-26,2020-05-02,-61.2,-80.0,1.1000061035156061
2020-05-03,2020-05-09,4.8,17.8,3.1399963378906364
2020-05-10,2020-05-16,-1.6,-77.8,1.6800048828124887
2020-05-17,2020-05-23,6.5,17.8,4.539996337890625
2020-05-24,2020-05-30,15.6,-17.5,4.625
2020-05-31,2020-06-06,11.0,11.2,-0.32000122070311365
2020-06-07,2020-06-13,-2.6,11.0,1.2000045776367045
2020-06-14,2020-06-20,17.8,-26.0,-1.820001220703125
2020-06-21,2020-06-27,10.400007629394533,-13.2,1.64000244140625
2020-06-28,2020-07-04,-31.00000762939453,-57.999989318847746,-3.0400062561035157
2020-07-05,2020-07-11,25.6,-42.40001068115225,0.46000137329102697
2020-07-12,2020-07-18,-7.8,27.6,-9.959997558593761
2020-07-19,2020-07-25,1.25,-28.6,10.120001220703125
