first_day_in_week,last_day_in_week,STCM_main_symb_weekly_mean_diff,ADGR.TA_weekly_mean_diff_0.38,PIU.TA_weekly_mean_diff_0.38,DRAL.TA_weekly_mean_diff_0.39,RANI.TA_weekly_mean_diff_0.39,BLSR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.43,KNFM.TA_weekly_mean_diff_0.45,SLGN.TA_weekly_mean_diff_0.45
2019-03-10,2019-03-16,0.5500030517578125,1.639990234375,5.1199951171875,15.0,2.3600006103515567,90.0,1.379998779296875,-12.2,-2.5599975585937726
2019-03-24,2019-03-30,-0.1,5.04000244140625,0.75999755859375,49.2,1.0399993896484432,72.0,-0.6599975585937727,-9.2,-13.1
2019-03-31,2019-04-06,-0.3,4.5,15.64000244140625,-59.0,-0.3,-106.0,1.4799926757812727,16.0,-0.9199951171875227
2019-04-07,2019-04-13,-1.720001220703125,5.8199951171875,-13.0,79.0,-1.1800018310546818,124.0,3.1800048828125,8.8,-3.6199951171875226
2019-04-14,2019-04-20,0.6500015258789062,1.3800048828125,7.7,18.4,3.0200012207031195,66.0,1.7,-8.0,9.279992675781273
2019-04-21,2019-04-27,0.9399993896484377,1.04000244140625,2.680004882812477,25.8,-0.6799987792968807,16.0,0.3199951171875,5.2,19.94000244140625
2019-05-05,2019-05-11,-0.5,0.7,1.7599975585937728,1.0,0.0,-44.0,-0.85999755859375,0.0,3.2
2019-05-12,2019-05-18,0.1600006103515625,-0.0199951171875,-6.84000244140625,41.8,0.1399993896484375,66.0,0.4199951171875,-7.4,2.4
2019-05-19,2019-05-25,0.6599990844726562,-3.9,-8.2800048828125,-17.4,0.6200012207031194,84.0,0.9199951171875,2.8,1.2
2019-05-26,2019-06-01,0.18000030517578125,1.0199951171875,-2.35999755859375,-108.2,-0.9200012207031193,144.0,0.72000732421875,2.2,1.2
2019-06-02,2019-06-08,0.11999969482421875,-8.0,-12.7199951171875,24.2,-3.620001220703119,18.0,-0.85999755859375,18.4,8.6
2019-06-09,2019-06-15,-0.6,7.84000244140625,2.5,-26.6,2.560000610351557,60.0,-0.52000732421875,3.4,-5.2
2019-06-16,2019-06-22,0.11999969482421875,-0.9800048828125,0.7,76.2,0.420001220703125,32.0,-0.0199951171875,-9.4,-1.6
2019-06-23,2019-06-29,-0.2399993896484375,2.7800048828125,0.27999267578125,-25.2,0.9199981689453182,-18.0,-7.52000732421875,-7.2,15.2
2019-06-30,2019-07-06,0.01999969482421875,0.97999267578125,9.22000732421875,-28.4,0.4,-104.0,2.060009765625,-4.4,-1.0
2019-07-07,2019-07-13,0.2,0.72000732421875,-0.34000244140625,28.8,-0.7799987792968807,-58.0,0.7,-6.0,-1.2
2019-07-14,2019-07-20,0.11999969482421875,0.17999267578125,1.95999755859375,-7.6,0.1600006103515625,-88.0,-3.8400024414062726,3.2,2.4
2019-07-21,2019-07-27,-0.05999908447265625,4.64000244140625,5.1800048828125,11.8,1.379998779296875,142.0,-0.6800048828124545,4.8,-9.6
2019-07-28,2019-08-03,-1.0600006103515625,0.04000244140625,-5.82000732421875,-18.6,1.2600006103515624,132.0,-4.419995117187545,5.2,0.6
