first_day_in_week,last_day_in_week,UTRN_main_symb_weekly_mean_diff,PAYT.TA_weekly_mean_diff_0.41
2019-03-17,2019-03-23,-0.8,79.8
2019-03-24,2019-03-30,2.6,-104.0
2019-03-31,2019-04-06,-7.2,-51.2
2019-04-07,2019-04-13,-5.0,18.2
2019-04-14,2019-04-20,-1.8,-21.4
2019-04-21,2019-04-27,-19.4,2.8
2019-04-28,2019-05-04,1.4,-24.4
2019-05-05,2019-05-11,-3.4,10.0
2019-05-12,2019-05-18,11.2,-22.6
2019-05-19,2019-05-25,-3.2,18.0
2019-05-26,2019-06-01,18.4,-5.4
2019-06-02,2019-06-08,8.0,-56.0
2019-06-09,2019-06-15,-5.6,78.2
2019-06-16,2019-06-22,-0.2,9.6
2019-06-23,2019-06-29,-2.8,2.2
2019-06-30,2019-07-06,-2.4,-6.8
2019-07-07,2019-07-13,-5.6,13.8
2019-07-14,2019-07-20,2.0,33.8
2019-07-21,2019-07-27,3.6,45.2
2019-07-28,2019-08-03,-6.0,-54.0
2019-08-04,2019-08-10,-10.8,-57.2
2019-08-11,2019-08-17,-10.4,-60.0
2019-08-18,2019-08-24,-25.2,-79.0
2019-08-25,2019-08-31,-12.2,-25.8
2019-09-01,2019-09-07,-4.4,12.0
2019-09-08,2019-09-14,-2.25,24.8
2019-09-15,2019-09-21,-0.8,-57.5
2019-09-22,2019-09-28,1.5,2.2
2019-09-29,2019-10-05,1.0,41.5
2019-10-06,2019-10-12,-7.0,-12.666666666666666
2019-10-13,2019-10-19,-24.66666666666667,34.333333333333336
2019-10-20,2019-10-26,-0.8,18.333333333333332
2019-10-27,2019-11-02,-0.4,-29.0
2019-11-03,2019-11-09,-5.0,-2.6
2019-11-10,2019-11-16,1.4,-0.2
2019-11-17,2019-11-23,-33.8,-4.2
2019-11-24,2019-11-30,3.8,-22.0
2019-12-01,2019-12-07,-19.58000488281248,-33.4
2019-12-08,2019-12-14,-12.579992675781273,-33.8
2019-12-15,2019-12-21,-4.9,4.4
2019-12-22,2019-12-28,-0.6,20.0
2019-12-29,2020-01-04,27.5199951171875,61.4
2020-01-05,2020-01-11,12.74000244140625,156.0
2020-01-12,2020-01-18,-9.54000244140625,-52.8
2020-01-19,2020-01-25,-5.4,-1.8
2020-01-26,2020-02-01,-21.5199951171875,-32.0
2020-02-02,2020-02-08,2.27999267578125,-11.6
2020-02-09,2020-02-15,0.42000732421875,-29.8
2020-02-16,2020-02-22,-19.9,-18.6
2020-02-23,2020-02-29,-23.875,-42.6
2020-03-01,2020-03-07,-58.9000015258789,-98.75
2020-03-08,2020-03-14,-7.1,-181.0
2020-03-15,2020-03-21,7.579998779296875,-62.0
2020-03-22,2020-03-28,-1.2400024414062387,70.4
2020-03-29,2020-04-04,-4.133331298828144,-1.6
2020-04-05,2020-04-11,3.900004069010417,118.33333333333333
2020-04-12,2020-04-18,10.039996337890637,-9.333333333333334
2020-04-19,2020-04-25,18.099995930989564,24.6
2020-04-26,2020-05-02,7.4,63.333333333333336
2020-05-03,2020-05-09,9.42000732421875,-4.0
2020-05-10,2020-05-16,8.97999267578125,17.6
2020-05-17,2020-05-23,0.95001220703125,51.2
2020-05-24,2020-05-30,4.97999267578125,38.75
2020-05-31,2020-06-06,-0.25,-6.6
2020-06-07,2020-06-13,-5.1199951171875,40.75
2020-06-14,2020-06-20,-4.34000244140625,42.6
2020-06-21,2020-06-27,-8.059998703002929,-25.2
2020-06-28,2020-07-04,-4.3999988555908205,-42.80000610351563
2020-07-05,2020-07-11,-21.52000122070313,-25.399993896484375
2020-07-12,2020-07-18,-4.720001220703125,49.0
2020-07-19,2020-07-25,25.975006103515625,79.4
