first_day_in_week,last_day_in_week,VISN_main_symb_weekly_mean_diff,AZRM.TA_weekly_mean_diff_0.36_INT_ROTS.TA_weekly_mean_diff_0.39_corr_0.8,SANO1.TA_weekly_mean_diff_0.37
2019-03-24,2019-03-30,-32.0,24.69604614257798,-2.0
2019-03-31,2019-04-06,-2.2,-49.72795898437519,-102.0
2019-05-26,2019-06-01,-13.5,-5.184008789062459,106.0
2019-06-23,2019-06-29,23.75,-225.78395874023437,-24.0
2019-11-03,2019-11-09,-8.0,80.4,-98.0
2019-11-10,2019-11-16,78.0,142.20780273437498,80.0
2019-12-29,2020-01-04,20.0,25.696142578125,80.0
2020-01-05,2020-01-11,44.0,226.43991699218748,130.0
2020-01-12,2020-01-18,292.6,125.73603027343749,-12.0
2020-01-19,2020-01-25,-128.8,244.5,56.0
2020-01-26,2020-02-01,-30.0,1.01995849609375,-144.0
2020-02-02,2020-02-08,188.0,389.00396240234375,-78.0
2020-02-09,2020-02-15,1.0,231.74386718750063,-30.0
2020-02-16,2020-02-22,-47.8,76.07584960937571,180.0
2020-02-23,2020-02-29,-93.5,1149.4076953125013,-360.0
2020-03-01,2020-03-07,-295.75,3308.174285888672,102.5
2020-03-08,2020-03-14,-127.4,9461.269569396973,-690.0
2020-03-15,2020-03-21,16.2,211.1200683593747,40.0
2020-03-22,2020-03-28,40.0,1154.440075683593,214.0
2020-03-29,2020-04-04,31.0,304.91202880859373,236.0
2020-04-05,2020-04-11,-16.333333333333332,1847.2222222222224,176.66666666666666
2020-04-12,2020-04-18,39.4,-530.0218912760416,643.3333333333334
2020-04-19,2020-04-25,466.0,48.94392578125,446.0
2020-04-26,2020-05-02,1.4,1113.0,-26.666666666666668
2020-05-03,2020-05-09,-50.2,1041.2,-294.0
2020-05-31,2020-06-06,-31.75,-34.4960107421875,-12.0
2020-06-07,2020-06-13,-62.0,51.81251525878906,5.0
2020-06-14,2020-06-20,0.0,279.43979492187503,-8.0
2020-06-28,2020-07-04,0.0,-312.2117418670569,-63.999877929688225
2020-07-05,2020-07-11,0.0,413.9521891783628,97.99987792968822
2020-07-12,2020-07-18,0.0,1715.0276513671874,-56.0
2020-07-19,2020-07-25,0.0,194.74006347656248,22.0
