first_day_in_week,last_day_in_week,WTS_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.36,PIU.TA_weekly_mean_diff_0.36,SHGR.TA_weekly_mean_diff_0.38,DLEKG.TA_weekly_mean_diff_0.41,KRDI.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,1.680011749267578,3.8,5.1199951171875,4.6,-10.0,-11.960000610351562
2019-03-17,2019-03-23,0.9600067138671876,-16.4,3.4,27.8,-50.0,3.8600006103515625
2019-03-24,2019-03-30,2.879981994628929,10.8,0.75999755859375,-8.6,-352.0,-2.6600006103515623
2019-03-31,2019-04-06,10.640010833740213,43.2,15.64000244140625,15.2,256.0,-0.4199981689453125
2019-04-07,2019-04-13,-6.0199928283691415,60.0,-13.0,1.0,686.0,1.15999755859375
2019-04-14,2019-04-20,-0.5000114440917969,-24.0,7.7,-1.0,-202.0,0.420001220703125
2019-04-21,2019-04-27,-3.640003204345612,-1.0,2.680004882812477,4.4,448.0,0.2600006103515625
2019-04-28,2019-05-04,2.2599983215331347,-46.0,-10.2,-14.4,64.0,-0.8399993896484375
2019-05-05,2019-05-11,-9.31999206542971,14.6,1.7599975585937728,3.4,-398.0,1.0399993896484374
2019-05-12,2019-05-18,9.44000244140625,24.4,-6.84000244140625,-3.2,-1128.0,-0.6
2019-05-19,2019-05-25,-16.879997253417972,48.0,-8.2800048828125,-17.8,620.0,0.2199981689453125
2019-05-26,2019-06-01,-1.5600013732910156,38.6,-2.35999755859375,6.8,-14.0,-0.879998779296875
2019-06-02,2019-06-08,5.100002288818336,-24.6,-12.7199951171875,3.6,-400.0,0.0600006103515625
2019-06-09,2019-06-15,-7.200012207031227,-7.0,2.5,8.0,-152.0,1.6
2019-06-16,2019-06-22,4.0999984741210245,-27.8,0.7,3.4,12.0,1.2
2019-06-23,2019-06-29,3.400001525878974,15.8,0.27999267578125,-2.2,-92.0,-1.2399993896484376
2019-06-30,2019-07-06,-4.8399925231933585,92.6,9.22000732421875,-6.0,0.0,0.0
2019-07-07,2019-07-13,-10.159997940063477,-2.6,-0.34000244140625,-5.2,-248.0,-0.9
2019-07-14,2019-07-20,-4.780006408691406,-30.4,1.95999755859375,4.0,-1640.0,0.4199981689453125
2019-07-21,2019-07-27,-1.1999988555908203,7.4,5.1800048828125,-14.8,552.0,-0.0199981689453125
2019-07-28,2019-08-03,-8.000001907348633,15.0,-5.82000732421875,-10.6,-190.0,-1.2800018310546875
2019-08-04,2019-08-10,-1.7199993133544695,-14.0,-3.47999267578125,-0.2,-822.0,2.2399993896484376
2019-08-11,2019-08-17,-1.219997406005882,-12.0,4.07999267578125,-3.4,-660.0,-1.15999755859375
2019-08-18,2019-08-24,-1.8000030517578351,57.2,32.3800048828125,17.4,168.0,4.779998779296875
2019-08-25,2019-08-31,15.500001907348654,-25.0,-5.8,11.2,512.0,-1.8600006103515625
2019-09-01,2019-09-07,-20.599994659423853,-8.8,-2.7,-12.6,-536.0,0.0600006103515625
2019-09-08,2019-09-14,1.3249993324280072,-31.6,6.5,8.4,-334.0,0.079998779296875
2019-09-15,2019-09-21,-3.5200023651122816,66.5,28.0,-4.5,300.0,-0.14999771118164062
2019-09-22,2019-09-28,-3.5500049591065586,56.4,-8.6,5.2,-1176.0,0.5199981689453125
2019-09-29,2019-10-05,-9.366671244303273,23.0,-5.5,-6.0,1250.0,-0.8499984741210938
2019-10-06,2019-10-12,-0.06666183471687266,34.666666666666664,25.333333333333332,8.333333333333334,-140.0,0.5666656494140625
