first_day_in_week,last_day_in_week,AICS_main_symb_weekly_mean_diff,TLRD.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,-4.2,4.560000610351563
2019-03-17,2019-03-23,-0.8,0.179998779296875
2019-03-24,2019-03-30,-2.6,-0.9199981689453182
2019-03-31,2019-04-06,-5.6,-7.8
2019-04-07,2019-04-13,0.8,1.9599975585937615
2019-04-14,2019-04-20,-2.2,-0.17999877929688068
2019-04-21,2019-04-27,0.4,0.6600006103515625
2019-04-28,2019-05-04,-1.0,-1.1800018310546818
2019-05-05,2019-05-11,-2.2,-0.3399993896484432
2019-05-12,2019-05-18,2.6,-2.0199981689453126
2019-05-19,2019-05-25,-0.8,-1.4800018310546874
2019-05-26,2019-06-01,-3.0,-8.439999389648438
2019-06-02,2019-06-08,-2.0,-1.3399993896484403
2019-06-09,2019-06-15,3.2,-1.1200012207031194
2019-06-16,2019-06-22,3.6,0.2
2019-06-23,2019-06-29,-3.4,0.08000030517577841
2019-06-30,2019-07-06,-1.8,-0.8399993896484375
2019-07-07,2019-07-13,-2.6,-1.2800003051757813
2019-07-14,2019-07-20,1.8,0.08000030517578124
2019-07-21,2019-07-27,0.4,0.25999908447265907
2019-07-28,2019-08-03,0.0,0.6200012207031194
2019-08-04,2019-08-10,-2.4,-0.18000030517577842
2019-08-11,2019-08-17,-0.4,-0.4199996948242216
2019-08-18,2019-08-24,-1.8,0.13999938964844033
2019-08-25,2019-08-31,0.2,-0.6600006103515597
2019-09-01,2019-09-07,-0.6,-1.3799987792968806
2019-09-08,2019-09-14,0.5,0.4599990844726591
2019-09-15,2019-09-21,-1.8,0.47500038146972656
2019-09-22,2019-09-28,-5.0,-0.33999938964844034
2019-09-29,2019-10-05,-5.333333333333333,-0.6000022888183523
2019-10-06,2019-10-12,-2.0,-0.09999847412109848
2019-10-13,2019-10-19,7.0,0.5
2019-10-20,2019-10-26,1.0,8.199999491373703
2019-10-27,2019-11-02,6.8,-1.0800003051757812
2019-11-03,2019-11-09,-0.8,2.479998779296875
2019-11-10,2019-11-16,-1.2,-0.3199981689453182
2019-11-17,2019-11-23,-3.2,-0.23999938964843182
2019-11-24,2019-11-30,-4.8,0.579998779296875
2019-12-01,2019-12-07,-0.4,-2.4399993896484404
2019-12-08,2019-12-14,-3.2,-1.9600006103515597
2019-12-15,2019-12-21,0.8,-2.0
2019-12-22,2019-12-28,2.0,-1.1199996948242188
2019-12-29,2020-01-04,-2.2,6.439999389648437
2020-01-05,2020-01-11,0.6,-1.0199996948242187
2020-01-12,2020-01-18,1.6,0.7600006103515596
2020-01-19,2020-01-25,-4.4,0.3199996948242216
2020-01-26,2020-02-01,2.0,-0.8
2020-02-02,2020-02-08,-0.8399993896484375,-0.5400009155273409
2020-02-09,2020-02-15,-1.8399993896484432,-0.8199996948242216
2020-02-16,2020-02-22,-1.0,-0.31999969482421875
2020-02-23,2020-02-29,-0.625,0.03999938964844034
2020-03-01,2020-03-07,-9.35000228881835,-1.125
2020-03-08,2020-03-14,-1.179998779296875,-8.899999618530277
2020-03-15,2020-03-21,-1.1600006103515623,-1.9399993896484404
2020-03-22,2020-03-28,-1.7600006103515569,-2.2999999999999985
2020-03-29,2020-04-04,0.2333323160807197,-0.06000061035156108
2020-04-05,2020-04-11,1.2000020345052085,1.7000007629394531
2020-04-12,2020-04-18,2.139999389648437,2.433333079020182
2020-04-19,2020-04-25,0.2333323160807292,0.9
2020-04-26,2020-05-02,1.1,1.8666661580403645
2020-05-03,2020-05-09,0.2800018310546875,0.6800003051757812
2020-05-10,2020-05-16,2.7199981689453123,1.6
2020-05-17,2020-05-23,5.5500030517578045,1.0600006103515596
2020-05-24,2020-05-30,13.359997558593767,11.474998474121104
2020-05-31,2020-06-06,2.3250045776367045,5.739999389648432
2020-06-07,2020-06-13,-3.0200012207031364,-0.125
2020-06-14,2020-06-20,0.2399963378906364,-0.4199981689453125
2020-06-21,2020-06-27,0.7800039291381949,-5.5200012207031195
2020-06-28,2020-07-04,-0.14000148773194496,1.0200002670288086
2020-07-05,2020-07-11,-4.879998779296881,-1.1399984359741269
2020-07-12,2020-07-18,-4.820001220703119,0.85999755859375
2020-07-19,2020-07-25,0.5999984741211009,-2.119998168945318
2020-07-26,2020-08-01,,0.299999237060554
