first_day_in_week,last_day_in_week,ARAN_main_symb_weekly_mean_diff,KNFM.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,0.8,-12.2
2019-03-17,2019-03-23,13.0,-11.0
2019-03-24,2019-03-30,-3.0,-9.2
2019-03-31,2019-04-06,0.2,16.0
2019-04-07,2019-04-13,4.0,8.8
2019-04-14,2019-04-20,-3.4,-8.0
2019-04-21,2019-04-27,-2.0,5.2
2019-04-28,2019-05-04,2.4,-17.0
2019-05-05,2019-05-11,0.6,0.0
2019-05-12,2019-05-18,8.4,-7.4
2019-05-19,2019-05-25,2.8,2.8
2019-05-26,2019-06-01,-9.0,2.2
2019-06-09,2019-06-15,0.6,3.4
2019-06-16,2019-06-22,-2.4,-9.4
2019-06-23,2019-06-29,5.0,-7.2
2019-06-30,2019-07-06,-6.0,-4.4
2019-07-07,2019-07-13,-2.4,-6.0
2019-07-14,2019-07-20,1.0,3.2
2019-07-21,2019-07-27,-14.4,4.8
2019-08-04,2019-08-10,4.2,4.8
2019-08-11,2019-08-17,-0.6,-4.0
2019-08-18,2019-08-24,-4.0,6.2
2019-08-25,2019-08-31,-1.2,0.0
2019-09-01,2019-09-07,5.2,13.0
2019-09-08,2019-09-14,-1.0,2.4
2019-09-15,2019-09-21,0.2,2.5
2019-09-22,2019-09-28,-18.5,2.2
2019-09-29,2019-10-05,5.0,-24.0
2019-10-06,2019-10-12,9.333333333333334,53.666666666666664
2019-10-13,2019-10-19,3.333333333333333,47.333333333333336
2019-10-20,2019-10-26,-2.6,-1.6666666666666667
2019-10-27,2019-11-02,1.0,15.8
2019-11-03,2019-11-09,-1.6,14.0
2019-11-10,2019-11-16,3.4,-9.4
2019-11-17,2019-11-23,-0.6,-8.4
2019-11-24,2019-11-30,-11.2,-27.0
2019-12-01,2019-12-07,2.2,-15.0
2019-12-08,2019-12-14,-5.2,-30.0
2019-12-15,2019-12-21,-8.0,-3.8
2019-12-22,2019-12-28,4.2,9.6
2019-12-29,2020-01-04,-4.2,4.0
2020-01-05,2020-01-11,5.8,2.6
2020-01-12,2020-01-18,-0.4,6.6
2020-01-19,2020-01-25,-0.5,1.4
2020-01-26,2020-02-01,-11.2,0.6
2020-02-09,2020-02-15,1.2,-12.4
2020-02-16,2020-02-22,3.4,-10.2
2020-02-23,2020-02-29,-15.75,-28.6
2020-03-01,2020-03-07,-33.0,-60.05000305175781
2020-03-08,2020-03-14,-4.4,-93.34999084472656
2020-03-15,2020-03-21,-23.98000488281248,-20.32000732421874
2020-03-22,2020-03-28,-30.219995117187523,-4.8
2020-03-29,2020-04-04,-9.76666259765625,11.220001220703114
2020-04-05,2020-04-11,6.433329264322918,15.43333943684892
2020-04-12,2020-04-18,12.0,36.33333333333337
2020-04-19,2020-04-25,23.133341471354125,-16.74000244140625
2020-04-26,2020-05-02,14.319995117187524,39.599995930989586
2020-05-03,2020-05-09,-4.85999755859375,-15.6199951171875
2020-05-10,2020-05-16,2.25999755859375,-25.68000488281249
2020-05-17,2020-05-23,1.5,10.480004882812466
2020-05-24,2020-05-30,1.2,6.500000000000028
2020-05-31,2020-06-06,1.0,-9.64000244140625
2020-06-14,2020-06-20,2.8,0.43999633789063636
2020-06-21,2020-06-27,-10.999991607666015,-8.0
2020-06-28,2020-07-04,-2.720003509521507,-12.859995651245129
2020-07-05,2020-07-11,0.6399902343750454,7.519999313354492
2020-07-12,2020-07-18,10.280004882812475,4.5
2020-07-19,2020-07-25,6.0,1.0
2020-07-26,2020-08-01,,-2.0500030517578125
