first_day_in_week,last_day_in_week,ATRY_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.36,KNFM.TA_weekly_mean_diff_0.4,PHOE.TA_weekly_mean_diff_0.4,RLCO.TA_weekly_mean_diff_0.41,MTRX.TA_weekly_mean_diff_0.43,ALRPR.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,11.4,1.839996337890625,-12.2,3.2739990234375,-1.0,3.8,64.0
2019-03-17,2019-03-23,22.8,0.820001220703125,-11.0,4.42998046875,-3.2,-16.4,0.0
2019-03-24,2019-03-30,17.0,1.64000244140625,-9.2,-51.233984375,1.2,10.8,46.0
2019-03-31,2019-04-06,30.0,0.6,16.0,26.5800048828125,27.6,43.2,12.0
2019-04-07,2019-04-13,16.4,0.879998779296875,8.8,14.63798828125,27.2,60.0,-14.0
2019-04-14,2019-04-20,-3.2,-0.479998779296875,-8.0,-5.9699951171875,-33.4,-24.0,90.0
2019-04-21,2019-04-27,-23.8,-0.320001220703125,5.2,7.126000976562454,-23.4,-1.0,14.0
2019-04-28,2019-05-04,11.2,1.4,-17.0,-7.319995117187455,22.6,-46.0,-70.0
2019-05-05,2019-05-11,7.2,-0.25999755859375,0.0,1.5419921875,-9.2,14.6,36.0
2019-05-12,2019-05-18,35.2,-1.160003662109375,-7.4,32.166015625,10.0,24.4,18.0
2019-05-19,2019-05-25,26.4,0.779998779296875,2.8,6.547998046875,0.0,48.0,64.0
2019-05-26,2019-06-01,-24.0,-0.879998779296875,2.2,-4.430029296875,9.8,38.6,-164.0
2019-06-02,2019-06-08,20.0,0.379998779296875,18.4,-16.177978515625,-9.8,-24.6,-30.0
2019-06-09,2019-06-15,18.2,-2.1,3.4,0.77001953125,-2.0,-7.0,148.0
2019-06-16,2019-06-22,8.2,-1.7,-9.4,20.223974609375,-0.8,-27.8,90.0
2019-06-23,2019-06-29,56.4,2.920001220703125,-7.2,-22.535986328125,4.2,15.8,-20.0
2019-06-30,2019-07-06,-1.0,-3.420001220703125,-4.4,8.089990234375,7.0,92.6,162.0
2019-07-07,2019-07-13,-39.0,-2.3,-6.0,-2.69599609375,-32.2,-2.6,66.0
2019-07-14,2019-07-20,61.6,-4.139996337890636,3.2,-1.733984375,-2.4,-30.4,-238.0
2019-07-21,2019-07-27,11.0,1.4599975585937728,4.8,0.961962890625,29.8,7.4,-34.0
2019-07-28,2019-08-03,-14.8,2.9400024414062385,5.2,3.08203125,-3.0,15.0,76.0
2019-08-04,2019-08-10,-9.4,-3.560003662109375,4.8,-20.802001953125,-8.0,-14.0,156.0
2019-08-11,2019-08-17,104.6,-0.05999755859375,-4.0,-5.7780029296875,10.2,-12.0,-114.0
2019-08-18,2019-08-24,23.0,-0.9,6.2,14.4459716796875,2.8,57.2,80.0
2019-08-25,2019-08-31,-28.8,1.9200012207031136,0.0,1.156005859375,11.8,-25.0,34.0
2019-09-01,2019-09-07,-26.0,-0.32000122070311365,13.0,4.622021484375,-23.2,-8.8,0.0
2019-09-08,2019-09-14,-51.0,0.4799987792968864,2.4,5.777978515625,-2.0,-31.6,36.0
2019-09-15,2019-09-21,24.8,0.125,2.5,12.52252197265625,21.5,66.5,95.0
2019-09-22,2019-09-28,-90.0,-1.5200012207031364,2.2,8.2,-1.0,56.4,-10.0
2019-09-29,2019-10-05,39.0,-3.149993896484375,-24.0,-20.5,-33.5,23.0,-20.0
2019-10-06,2019-10-12,112.33333333333331,3.6666666666666665,53.666666666666664,0.3333333333333333,24.666666666666668,34.666666666666664,250.0
2019-10-13,2019-10-19,115.33333333333331,3.466664632161477,47.333333333333336,22.333333333333332,0.3333333333333333,32.666666666666664,-6.666666666666667
2019-10-20,2019-10-26,-59.4,-2.466664632161477,-1.6666666666666667,-4.0,-32.333333333333336,58.0,-90.0
2019-10-27,2019-11-02,42.4,-1.25999755859375,15.8,-14.6,5.0,26.2,20.0
2019-11-03,2019-11-09,27.4,-1.74000244140625,14.0,-30.8,18.0,-77.8,-102.0
2019-11-10,2019-11-16,74.0,-1.2399993896484376,-9.4,1.2,-2.6,117.6,-54.0
2019-11-17,2019-11-23,7.4,2.0800018310546875,-8.4,3.6,19.2,45.2,52.0
2019-11-24,2019-11-30,48.6,6.439996337890625,-27.0,31.0,17.0,-104.2,132.0
2019-12-01,2019-12-07,45.4,-1.279998779296875,-15.0,-1.4,14.2,43.8,10.0
2019-12-08,2019-12-14,-54.2,1.04000244140625,-30.0,-9.2,5.8,49.4,20.0
2019-12-15,2019-12-21,36.0,1.239996337890625,-3.8,-13.4,-0.2,-26.0,68.0
2019-12-22,2019-12-28,104.4,1.660003662109375,9.6,6.4,-45.0,29.0,-42.0
2019-12-29,2020-01-04,37.2,-1.8800048828125,4.0,-0.8,-5.4,77.2,60.0
2020-01-05,2020-01-11,22.8,0.64000244140625,2.6,-20.0,28.6,-11.0,44.0
2020-01-12,2020-01-18,13.8,1.3,6.6,0.2,2.2,106.6,418.0
2020-01-19,2020-01-25,-94.0,-1.3,1.4,-0.6,-29.2,3.4,-84.0
2020-01-26,2020-02-01,20.0,-1.75999755859375,0.6,-16.2,-8.2,-101.2,-220.0
2020-02-02,2020-02-08,-37.6,-1.820001220703125,-11.6,-8.4,30.0,-70.4,-62.0
2020-02-09,2020-02-15,19.8,-0.34000244140623864,-12.4,15.2,9.6,-1.0,-30.0
2020-02-16,2020-02-22,-171.4,0.4999999999999886,-10.2,7.8,-3.6,18.4,166.0
2020-02-23,2020-02-29,-143.25,0.560003662109375,-28.6,-42.6,-64.0,-108.0,-438.0
2020-03-01,2020-03-07,-482.5,-8.925003051757812,-60.05000305175781,-60.5,-59.0,-163.25,-890.0
2020-03-08,2020-03-14,-44.8,-16.549999237060547,-93.34999084472656,-72.25,-85.25,-328.0,-1003.0
2020-03-15,2020-03-21,108.8,-4.380001831054687,-20.32000732421874,4.6,-35.2,127.0,-32.6
2020-03-22,2020-03-28,129.0,5.0800018310546875,-4.8,54.4,93.8,95.6,376.8
2020-03-29,2020-04-04,151.66666666666666,11.539999389648438,11.220001220703114,10.8,-7.2,77.4,184.2
2020-04-05,2020-04-11,-46.0,-4.799997965494801,15.43333943684892,7.666666666666667,20.0,93.0,-122.66666666666667
2020-04-12,2020-04-18,48.2,4.266662597656269,36.33333333333337,11.333333333333334,-43.666666666666664,2.6666666666666665,-285.0
2020-04-19,2020-04-25,154.33333333333334,-1.9199981689453183,-16.74000244140625,32.8,36.2,86.8,36.2
2020-04-26,2020-05-02,-23.6,3.899998982747396,39.599995930989586,12.666666666666666,-33.666666666666664,33.0,324.0
2020-05-03,2020-05-09,-187.6,-2.2,-15.6199951171875,-26.6,-16.8,-77.0,-190.2
2020-05-10,2020-05-16,44.6,-0.6799987792968807,-25.68000488281249,-34.2,-21.8,-20.2,-251.2
2020-05-17,2020-05-23,11.25,0.019998168945318185,10.480004882812466,16.0,18.0,128.2,81.4
2020-05-24,2020-05-30,168.2,-2.424999237060547,6.500000000000028,7.5,39.0,208.5,0.0
2020-05-31,2020-06-06,-16.75,0.4399993896484375,-9.64000244140625,-28.0,-22.8,-36.8,-16.0
2020-06-07,2020-06-13,-5.2,1.4500007629394531,-7.724998474121094,11.25,18.25,59.5,181.25
2020-06-14,2020-06-20,-9.8,-1.1399993896484375,0.43999633789063636,12.6,-12.2,50.0,110.4
2020-06-21,2020-06-27,50.6,2.079998779296875,-8.0,-44.2,-9.4,-103.0,-109.4
2020-06-28,2020-07-04,-148.6,-0.2200000762939453,-12.859995651245129,3.399999237060547,3.4000152587890624,-2.6,-70.39993286132812
2020-07-05,2020-07-11,135.2,0.02000007629394531,7.519999313354492,-5.599999237060547,1.7999847412109375,20.0,-21.800067138671874
2020-07-12,2020-07-18,-1.6,7.060000610351563,4.5,22.2,6.6,42.0,3.2
2020-07-19,2020-07-25,-81.25,2.120001220703114,1.0,4.2,1.0,58.0,-2.6
2020-07-26,2020-08-01,,-0.02500152587889204,-2.0500030517578125,5.0,-11.75,157.75,-123.0
