first_day_in_week,last_day_in_week,CLIS_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,-46.8,4.6
2019-03-17,2019-03-23,-54.2,27.8
2019-03-24,2019-03-30,33.8,-8.6
2019-03-31,2019-04-06,60.4,15.2
2019-04-07,2019-04-13,-41.0,1.0
2019-04-14,2019-04-20,-15.8,-1.0
2019-04-21,2019-04-27,94.0,4.4
2019-04-28,2019-05-04,155.0,-14.4
2019-05-05,2019-05-11,3.8,3.4
2019-05-12,2019-05-18,-47.6,-3.2
2019-05-19,2019-05-25,-50.4,-17.8
2019-05-26,2019-06-01,8.4,6.8
2019-06-02,2019-06-08,-16.6,3.6
2019-06-09,2019-06-15,62.2,8.0
2019-06-16,2019-06-22,-12.0,3.4
2019-06-23,2019-06-29,10.0,-2.2
2019-06-30,2019-07-06,3.2,-6.0
2019-07-07,2019-07-13,-56.0,-5.2
2019-07-14,2019-07-20,24.2,4.0
2019-07-21,2019-07-27,-36.6,-14.8
2019-07-28,2019-08-03,-54.8,-10.6
2019-08-04,2019-08-10,-56.0,-0.2
2019-08-11,2019-08-17,1.0,-3.4
2019-08-18,2019-08-24,26.6,17.4
2019-08-25,2019-08-31,-8.0,11.2
2019-09-01,2019-09-07,15.6,-12.6
2019-09-08,2019-09-14,-4.5,8.4
2019-09-15,2019-09-21,-3.6,-4.5
2019-09-22,2019-09-28,-44.0,5.2
2019-09-29,2019-10-05,-7.0,-6.0
2019-10-06,2019-10-12,66.33333333333333,8.333333333333334
2019-10-13,2019-10-19,19.33333333333333,17.333333333333332
2019-10-20,2019-10-26,6.4,-7.666666666666667
2019-10-27,2019-11-02,-21.6,-5.6
2019-11-03,2019-11-09,-16.6,-1.8
2019-11-10,2019-11-16,19.2,-6.2
2019-11-17,2019-11-23,71.0,2.2
2019-11-24,2019-11-30,-81.0,-21.6
2019-12-01,2019-12-07,13.2,-1.0
2019-12-08,2019-12-14,-49.4,-0.4
2019-12-15,2019-12-21,0.8,13.0
2019-12-22,2019-12-28,15.0,-1.4
2019-12-29,2020-01-04,-83.6,5.0
2020-01-05,2020-01-11,-37.0,7.8
2020-01-12,2020-01-18,33.6,-4.2
2020-01-19,2020-01-25,-73.6,2.4
2020-01-26,2020-02-01,-52.8,-9.8
2020-02-02,2020-02-08,-27.2,-17.2
2020-02-09,2020-02-15,45.6,14.8
2020-02-16,2020-02-22,-111.8,-8.8
2020-02-23,2020-02-29,-163.75,-20.0
2020-03-01,2020-03-07,-274.25,-31.074996948242188
2020-03-08,2020-03-14,42.6,-38.67500305175781
2020-03-15,2020-03-21,36.0,17.15999755859375
2020-03-22,2020-03-28,82.8,35.84000244140625
2020-03-29,2020-04-04,107.0,3.4
2020-04-05,2020-04-11,0.6666666666666666,-7.666666666666667
2020-04-12,2020-04-18,18.6,8.0
2020-04-19,2020-04-25,113.33333333333331,19.8
2020-04-26,2020-05-02,1.4,12.333333333333334
2020-05-03,2020-05-09,-69.2,-10.2
2020-05-10,2020-05-16,-22.2,-15.8
2020-05-17,2020-05-23,-20.5,14.0
2020-05-24,2020-05-30,-25.0,-11.5
2020-05-31,2020-06-06,51.5,2.2
2020-06-07,2020-06-13,76.2,-11.75
2020-06-14,2020-06-20,-85.2,-22.6
2020-06-21,2020-06-27,16.19998474121103,9.2
2020-06-28,2020-07-04,-44.399984741211036,3.400002288818359
2020-07-05,2020-07-11,-0.6,-3.2000022888183595
2020-07-12,2020-07-18,-4.0,45.0
2020-07-19,2020-07-25,27.5,16.8
2020-07-26,2020-08-01,,-17.5
