first_day_in_week,last_day_in_week,DISI_main_symb_weekly_mean_diff,ROTS.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,-25.94000244140625,-5.6
2019-03-17,2019-03-23,-5.94000244140625,-22.8
2019-03-24,2019-03-30,-1.87999267578125,-12.6
2019-03-31,2019-04-06,-8.8800048828125,16.8
2019-04-07,2019-04-13,-0.64000244140625,39.4
2019-04-14,2019-04-20,12.64000244140625,5.0
2019-04-21,2019-04-27,-6.3,2.4
2019-04-28,2019-05-04,1.4800048828125,10.2
2019-05-05,2019-05-11,4.7,-3.6
2019-05-12,2019-05-18,-3.060009765625,2.4
2019-05-19,2019-05-25,-5.07999267578125,15.6
2019-05-26,2019-06-01,-14.74000244140625,3.6
2019-06-02,2019-06-08,-10.44000244140625,-6.4
2019-06-09,2019-06-15,-17.6199951171875,2.2
2019-06-16,2019-06-22,6.05999755859375,-5.8
2019-06-23,2019-06-29,16.0199951171875,-33.8
2019-06-30,2019-07-06,-5.47999267578125,36.8
2019-07-07,2019-07-13,-5.4800048828125,-12.4
2019-07-14,2019-07-20,-2.6199951171875,20.0
2019-07-21,2019-07-27,-8.24000244140625,9.4
2019-07-28,2019-08-03,-8.759997558593772,3.8
2019-08-04,2019-08-10,-4.759997558593727,33.0
2019-08-11,2019-08-17,8.85999755859375,-0.2
2019-08-18,2019-08-24,-8.880004882812477,-12.6
2019-08-25,2019-08-31,10.480004882812477,5.8
2019-09-01,2019-09-07,-1.7800048828125,26.2
2019-09-08,2019-09-14,-0.4749908447265625,16.6
2019-09-15,2019-09-21,-2.160009765625,43.75
2019-09-22,2019-09-28,0.1500244140625,-20.4
2019-09-29,2019-10-05,-4.800008138020833,-58.5
2019-10-06,2019-10-12,4.833333333333333,-7.0
2019-10-13,2019-10-19,-1.0999959309896212,9.666666666666666
2019-10-20,2019-10-26,15.159997558593775,1.0
2019-10-27,2019-11-02,-2.9,-8.6
2019-11-03,2019-11-09,-9.5,-12.0
2019-11-10,2019-11-16,8.0,-40.4
2019-11-17,2019-11-23,-5.74000244140625,-2.0
2019-11-24,2019-11-30,4.9,52.2
2019-12-01,2019-12-07,-0.5,27.0
2019-12-08,2019-12-14,3.55999755859375,83.4
2019-12-15,2019-12-21,-4.2199951171875,-26.2
2019-12-22,2019-12-28,1.9800048828125,-14.8
2019-12-29,2020-01-04,-1.34000244140625,29.2
2020-01-05,2020-01-11,-1.1,34.0
2020-01-12,2020-01-18,8.55999755859375,12.4
2020-01-19,2020-01-25,1.1199951171875,32.6
2020-01-26,2020-02-01,17.7800048828125,-17.0
2020-02-02,2020-02-08,7.3,15.4
2020-02-09,2020-02-15,2.14000244140625,-27.2
2020-02-16,2020-02-22,-19.45999755859375,15.4
2020-02-23,2020-02-29,-21.95001220703125,-62.4
2020-03-01,2020-03-07,-59.32499694824219,-117.0
2020-03-08,2020-03-14,-9.839996337890623,-134.25
2020-03-15,2020-03-21,1.779998779296875,-28.0
2020-03-22,2020-03-28,12.9,62.0
2020-03-29,2020-04-04,6.400004069010418,23.6
2020-04-05,2020-04-11,10.56666056315104,58.333333333333336
2020-04-12,2020-04-18,10.979998779296887,40.666666666666664
2020-04-19,2020-04-25,19.966674804687447,15.2
2020-04-26,2020-05-02,-0.22000732421872726,63.0
2020-05-03,2020-05-09,-7.5199951171875,-54.8
2020-05-10,2020-05-16,-5.640002441406238,-7.2
2020-05-17,2020-05-23,5.225006103515612,-44.0
2020-05-24,2020-05-30,-9.860003662109373,-20.75
2020-05-31,2020-06-06,0.27500152587890625,4.4
2020-06-07,2020-06-13,-1.620001220703125,2.5
2020-06-14,2020-06-20,-2.039996337890625,28.0
2020-06-21,2020-06-27,5.719993591308594,19.0
2020-06-28,2020-07-04,-9.659996032714844,-17.799984741210938
2020-07-05,2020-07-11,4.9,-19.600015258789064
2020-07-12,2020-07-18,7.479998779296875,71.4
2020-07-19,2020-07-25,1.125,-13.0
2020-07-26,2020-08-01,,-5.25
