first_day_in_week,last_day_in_week,ELDAV_main_symb_weekly_mean_diff,HARL.TA_weekly_mean_diff_0.42_INT_PHOE.TA_weekly_mean_diff_0.44_corr_0.81
2019-03-10,2019-03-16,-0.579998779296875,-28.81119140625
2019-03-17,2019-03-23,0.0600006103515625,-22.14990234375
2019-03-24,2019-03-30,0.979998779296875,1537.01953125
2019-03-31,2019-04-06,-0.9,813.3481494140625
2019-04-07,2019-04-13,2.520001220703125,606.0127148437499
2019-04-14,2019-04-20,-1.120001220703125,40.595966796875
2019-04-21,2019-04-27,-0.7399993896484375,32.77960449218729
2019-04-28,2019-05-04,-0.3800018310546875,142.00790527343662
2019-05-05,2019-05-11,-0.679998779296875,-14.803125
2019-05-12,2019-05-18,1.1,1164.409765625
2019-05-19,2019-05-25,-2.4666646321614585,-72.027978515625
2019-06-02,2019-06-08,1.15999755859375,87.361083984375
2019-06-09,2019-06-15,0.520001220703125,-1.69404296875
2019-06-16,2019-06-22,-0.0399993896484375,84.940693359375
2019-06-23,2019-06-29,-0.4800018310546875,301.982216796875
2019-06-30,2019-07-06,-0.25999755859375,38.831953125
2019-07-07,2019-07-13,-0.520001220703125,-3.7743945312499996
2019-07-14,2019-07-20,2.8399993896484377,36.413671875
2019-07-21,2019-07-27,0.9399993896484377,19.431650390625
2019-07-28,2019-08-03,0.320001220703125,25.8890625
2019-08-04,2019-08-10,-0.1,174.73681640625
2019-08-11,2019-08-17,0.4,48.53522460937501
2019-08-18,2019-08-24,-1.4,228.24635253906249
2019-08-25,2019-08-31,-0.6399993896484375,2.7744140625
2019-09-01,2019-09-07,4.360000610351556,96.138046875
2019-09-08,2019-09-14,2.9249992370605535,54.312998046875
2019-09-15,2019-09-21,-0.7800018310546818,178.44593811035156
2019-09-22,2019-09-28,4.550003051757797,104.96
2019-09-29,2019-10-05,8.100001017252604,369.0
2019-10-06,2019-10-12,3.5,-3.0
2019-10-13,2019-10-19,-0.7000020345052084,245.66666666666666
2019-10-20,2019-10-26,0.620001220703125,22.666666666666668
2019-10-27,2019-11-02,3.3800018310546878,464.28
2019-11-03,2019-11-09,0.2399963378906364,-6.16
2019-11-10,2019-11-16,-1.7799987792968863,7.68
2019-11-17,2019-11-23,-2.2799987792968808,28.08
2019-11-24,2019-11-30,4.279998779296879,285.2
2019-12-01,2019-12-07,1.4799987792968865,37.519999999999996
2019-12-08,2019-12-14,0.3,121.43999999999998
2019-12-15,2019-12-21,4.640002441406238,88.44
2019-12-22,2019-12-28,6.439996337890625,15.36
2019-12-29,2020-01-04,1.4,4.960000000000001
2020-01-05,2020-01-11,0.14000244140625,628.0
2020-01-12,2020-01-18,-1.04000244140625,1.7600000000000002
2020-01-19,2020-01-25,-4.2,0.72
2020-01-26,2020-02-01,-1.439996337890625,651.24
2020-02-02,2020-02-08,-3.920001220703125,28.56
2020-02-09,2020-02-15,8.120001220703125,57.76
2020-02-16,2020-02-22,-7.4,168.48000000000002
2020-02-23,2020-02-29,-5.000000000000013,3467.6400000000003
2020-03-01,2020-03-07,-21.15000152587889,3977.875
2020-03-08,2020-03-14,-9.520001220703127,5978.6875
2020-03-15,2020-03-21,9.460000610351562,133.39999999999998
2020-03-22,2020-03-28,5.820001220703125,2012.8
2020-03-29,2020-04-04,1.1000010172525947,-92.88
2020-04-05,2020-04-11,-3.0333353678385317,69.0
2020-04-12,2020-04-18,1.5799987792968806,623.3333333333334
2020-04-19,2020-04-25,8.166666666666666,1266.08
2020-04-26,2020-05-02,-0.7799987792968807,434.8888888888889
2020-05-03,2020-05-09,-0.5,558.6
2020-05-10,2020-05-16,2.5799987792968806,1012.3200000000002
2020-05-17,2020-05-23,-1.549999237060554,521.6
2020-05-24,2020-05-30,0.9399993896484432,28.125
2020-05-31,2020-06-06,-2.099998474121101,638.4
2020-06-07,2020-06-13,-4.02000122070312,11.25
2020-06-14,2020-06-20,-0.2,211.68
2020-06-21,2020-06-27,1.2400016784667969,1370.2
2020-06-28,2020-07-04,-0.9999992370605584,60.5200331115621
2020-07-05,2020-07-11,-1.3,57.12006912230448
2020-07-12,2020-07-18,3.3399993896484435,-88.8
2020-07-19,2020-07-25,-1.299999237060554,89.88
2020-07-26,2020-08-01,,142.5
