first_day_in_week,last_day_in_week,ENOG_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,-19.0,1.839996337890625
2019-03-17,2019-03-23,5.8,0.820001220703125
2019-03-24,2019-03-30,-13.2,1.64000244140625
2019-03-31,2019-04-06,18.0,0.6
2019-04-07,2019-04-13,36.4,0.879998779296875
2019-04-14,2019-04-20,5.8,-0.479998779296875
2019-04-21,2019-04-27,-17.8,-0.320001220703125
2019-04-28,2019-05-04,-16.2,1.4
2019-05-05,2019-05-11,-9.2,-0.25999755859375
2019-05-12,2019-05-18,-14.4,-1.160003662109375
2019-05-19,2019-05-25,3.4,0.779998779296875
2019-05-26,2019-06-01,0.6,-0.879998779296875
2019-06-02,2019-06-08,12.8,0.379998779296875
2019-06-09,2019-06-15,32.4,-2.1
2019-06-16,2019-06-22,-29.8,-1.7
2019-06-23,2019-06-29,132.4,2.920001220703125
2019-06-30,2019-07-06,0.0,-3.420001220703125
2019-07-07,2019-07-13,-26.0,-2.3
2019-07-14,2019-07-20,56.4,-4.139996337890636
2019-07-21,2019-07-27,28.4,1.4599975585937728
2019-07-28,2019-08-03,-34.8,2.9400024414062385
2019-08-04,2019-08-10,-22.0,-3.560003662109375
2019-08-11,2019-08-17,5.0,-0.05999755859375
2019-08-18,2019-08-24,-27.0,-0.9
2019-08-25,2019-08-31,6.0,1.9200012207031136
2019-09-01,2019-09-07,-33.4,-0.32000122070311365
2019-09-08,2019-09-14,11.75,0.4799987792968864
2019-09-15,2019-09-21,-13.2,0.125
2019-09-22,2019-09-28,-88.0,-1.5200012207031364
2019-09-29,2019-10-05,-0.3333333333333333,-3.149993896484375
2019-10-06,2019-10-12,170.66666666666666,3.6666666666666665
2019-10-13,2019-10-19,-43.0,3.466664632161477
2019-10-20,2019-10-26,-52.0,-2.466664632161477
2019-10-27,2019-11-02,-12.0,-1.25999755859375
2019-11-03,2019-11-09,-4.8,-1.74000244140625
2019-11-10,2019-11-16,22.2,-1.2399993896484376
2019-11-17,2019-11-23,-6.0,2.0800018310546875
2019-11-24,2019-11-30,28.4,6.439996337890625
2019-12-01,2019-12-07,-10.8,-1.279998779296875
2019-12-08,2019-12-14,-9.4,1.04000244140625
2019-12-15,2019-12-21,1.4,1.239996337890625
2019-12-22,2019-12-28,21.8,1.660003662109375
2019-12-29,2020-01-04,-27.8,-1.8800048828125
2020-01-05,2020-01-11,-20.8,0.64000244140625
2020-01-12,2020-01-18,-45.4,1.3
2020-01-19,2020-01-25,-64.6,-1.3
2020-01-26,2020-02-01,-48.2,-1.75999755859375
2020-02-02,2020-02-08,42.8,-1.820001220703125
2020-02-09,2020-02-15,-18.4,-0.34000244140623864
2020-02-16,2020-02-22,-37.2,0.4999999999999886
2020-02-23,2020-02-29,-51.25,0.560003662109375
2020-03-01,2020-03-07,-318.25,-8.925003051757812
2020-03-08,2020-03-14,-46.4,-16.549999237060547
2020-03-15,2020-03-21,218.0,-4.380001831054687
2020-03-22,2020-03-28,37.8,5.0800018310546875
2020-03-29,2020-04-04,189.33333333333331,11.539999389648438
2020-04-05,2020-04-11,-111.0,-4.799997965494801
2020-04-12,2020-04-18,2.0,4.266662597656269
2020-04-19,2020-04-25,-25.66666666666667,-1.9199981689453183
2020-04-26,2020-05-02,-55.4,3.899998982747396
2020-05-03,2020-05-09,-31.6,-2.2
2020-05-10,2020-05-16,5.2,-0.6799987792968807
2020-05-17,2020-05-23,-31.25,0.019998168945318185
2020-05-24,2020-05-30,0.2,-2.424999237060547
2020-05-31,2020-06-06,-8.0,0.4399993896484375
2020-06-07,2020-06-13,-26.6,1.4500007629394531
2020-06-14,2020-06-20,-62.2,-1.1399993896484375
2020-06-21,2020-06-27,145.2,2.079998779296875
2020-06-28,2020-07-04,-95.4,-0.2200000762939453
2020-07-05,2020-07-11,26.6,0.02000007629394531
2020-07-12,2020-07-18,31.2,7.060000610351563
2020-07-19,2020-07-25,28.5,2.120001220703114
2020-07-26,2020-08-01,,-0.02500152587889204
