first_day_in_week,last_day_in_week,HAMAT_main_symb_weekly_mean_diff,SRFT.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,5.64000244140625,10.380004882812477
2019-03-17,2019-03-23,2.85999755859375,0.4399902343750455
2019-03-24,2019-03-30,-14.4,0.8
2019-03-31,2019-04-06,4.85999755859375,-11.539990234375045
2019-04-07,2019-04-13,-1.7400024414062272,18.11999511718752
2019-04-14,2019-04-20,-1.1199951171875226,14.0
2019-04-21,2019-04-27,-0.9800048828124772,0.0
2019-04-28,2019-05-04,-0.5199951171875228,-1.4
2019-05-05,2019-05-11,-1.1,-2.6
2019-05-12,2019-05-18,1.4,-1.2
2019-05-19,2019-05-25,-4.9199951171875,5.2
2019-05-26,2019-06-01,1.45999755859375,5.8
2019-06-02,2019-06-08,-3.24000244140625,-1.8
2019-06-09,2019-06-15,8.85999755859375,-1.4
2019-06-16,2019-06-22,-0.3199951171875,2.6
2019-06-23,2019-06-29,-4.22000732421875,1.8
2019-06-30,2019-07-06,1.1000000000000227,1.0
2019-07-07,2019-07-13,1.2200073242187273,2.8
2019-07-14,2019-07-20,6.079992675781273,33.0
2019-07-21,2019-07-27,-0.019995117187522737,17.8
2019-07-28,2019-08-03,-5.8,4.2
2019-08-04,2019-08-10,1.8199951171875228,-15.4
2019-08-11,2019-08-17,-2.419995117187523,16.4
2019-08-18,2019-08-24,2.25999755859375,37.2
2019-08-25,2019-08-31,14.34000244140625,-12.6
2019-09-01,2019-09-07,5.0,4.2
2019-09-08,2019-09-14,-5.7250061035155975,14.2
2019-09-15,2019-09-21,16.580004882812474,13.5
2019-09-22,2019-09-28,-12.0,0.6
2019-09-29,2019-10-05,0.3333333333333333,11.5
2019-10-06,2019-10-12,4.333333333333333,11.666666666666666
2019-10-13,2019-10-19,-8.333333333333334,7.666666666666667
2019-10-20,2019-10-26,-5.8,6.333333333333333
2019-10-27,2019-11-02,-7.0,-6.2
2019-11-03,2019-11-09,-1.2800048828124773,-4.6
2019-11-10,2019-11-16,1.3,-23.6
2019-11-17,2019-11-23,24.18000488281248,16.0
2019-11-24,2019-11-30,11.2,21.8
2019-12-01,2019-12-07,34.6,-25.0
2019-12-08,2019-12-14,-17.4,-25.6
2019-12-15,2019-12-21,5.0,1.2
2019-12-22,2019-12-28,14.6,-9.2
2019-12-29,2020-01-04,16.4,21.8
2020-01-05,2020-01-11,-1.4,8.4
2020-01-12,2020-01-18,-2.0,30.6
2020-01-19,2020-01-25,-7.6,6.0
2020-01-26,2020-02-01,-11.8,-28.8
2020-02-02,2020-02-08,7.8,-17.4
2020-02-09,2020-02-15,8.0,14.4
2020-02-16,2020-02-22,-18.8,20.6
2020-02-23,2020-02-29,-14.5,-17.4
2020-03-01,2020-03-07,-74.875,-45.25
2020-03-08,2020-03-14,-18.14000244140625,-91.75
2020-03-15,2020-03-21,-9.35999755859375,-22.0
2020-03-22,2020-03-28,-23.2,-9.6
2020-03-29,2020-04-04,20.400004069010414,16.4
2020-04-05,2020-04-11,33.099995930989586,65.33333333333333
2020-04-12,2020-04-18,1.7,32.666666666666664
2020-04-19,2020-04-25,16.833333333333332,0.2
2020-04-26,2020-05-02,-5.7,1.6666666666666667
2020-05-03,2020-05-09,-7.94000244140625,-61.2
2020-05-10,2020-05-16,5.94000244140625,4.8
2020-05-17,2020-05-23,-5.350006103515625,-1.6
2020-05-24,2020-05-30,-2.5199951171875,6.5
2020-05-31,2020-06-06,-2.3249969482421875,15.6
2020-06-07,2020-06-13,3.17999267578125,11.0
2020-06-14,2020-06-20,-3.25999755859375,-2.6
2020-06-21,2020-06-27,26.94000701904297,17.8
2020-06-28,2020-07-04,-5.019999694824241,10.400007629394532
2020-07-05,2020-07-11,2.2199951171875227,-31.00000762939453
2020-07-12,2020-07-18,-1.34000244140625,25.6
2020-07-19,2020-07-25,-0.3499908447265909,-7.8
2020-07-26,2020-08-01,,1.25
