first_day_in_week,last_day_in_week,HGG_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.56_INT_SHOM.TA_weekly_mean_diff_0.39_corr_0.72,CLIS.TA_weekly_mean_diff_0.39,ELCRE.TA_weekly_mean_diff_0.39,HOD.TA_weekly_mean_diff_0.39,SHOM.TA_weekly_mean_diff_0.39,ZUR.TA_weekly_mean_diff_0.39,LDER.TA_weekly_mean_diff_0.4,ROTS.TA_weekly_mean_diff_0.4,SHGR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.41,FIBI.TA_weekly_mean_diff_0.45,HARL.TA_weekly_mean_diff_0.45,FIBIH.TA_weekly_mean_diff_0.46,PHOE.TA_weekly_mean_diff_0.46,PIU.TA_weekly_mean_diff_0.46,IES.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_FIBIH.TA_weekly_mean_diff_0.46_corr_0.73,ALRPR.TA_weekly_mean_diff_0.56_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.71,PHOE.TA_weekly_mean_diff_0.46_INT_HARL.TA_weekly_mean_diff_0.45_corr_0.83,BSEN.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.73,AZRM.TA_weekly_mean_diff_0.38_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.74
2019-03-10,2019-03-16,-2.3600006103515625,-38.4,40.6,1.6,7.999992370605469,-0.6,2.2,0.03999977111816477,-5.6,4.6,1.379998779296875,6.8,-8.8,32.0,3.2739990234375,5.1199951171875,-36.0,64.0,2048.0,140.8,-28.81119140625,-2355.2,290.559765625
2019-03-17,2019-03-23,-1.4599990844726562,0.0,-46.8,-2.8,-0.7999992370605469,1.44000244140625,1.8,0.04000015258789134,-22.8,27.8,7.8,16.4,-5.0,24.0,4.42998046875,3.4,-2.0,0.0,0.0,0.0,-22.14990234375,0.0,0.0
2019-03-24,2019-03-30,-1.7600059509277344,151.79999999999998,-54.2,-3.2,-11.599998474121094,3.3,-8.0,0.2999996185302713,-12.6,-8.6,-0.6599975585937727,-34.6,-30.0,-54.0,-51.233984375,0.75999755859375,16.0,46.0,-2484.0,-368.0,1537.01953125,-220.79999999999998,-90.16016845703074
2019-03-31,2019-04-06,-7.9400062561035165,60.719970703125,33.8,-2.8,-40.19998550415039,5.05999755859375,-6.0,0.24000015258789348,16.8,15.2,1.4799926757812727,67.0,30.6,24.0,26.5800048828125,15.64000244140625,-134.0,12.0,288.0,-72.0,813.3481494140625,-182.39999999999998,-35.51997070312514
2019-04-07,2019-04-13,4.3799972534178995,-88.76003417968751,60.4,8.0,-3.200016021728561,6.34000244140625,7.2,0.1,39.4,1.0,3.1800048828125,72.4,41.4,118.0,14.63798828125,-13.0,104.0,-14.0,-1652.0,-100.8,606.0127148437499,-285.59999999999997,-57.119982910156246
2019-04-14,2019-04-20,-3.639993667602471,223.19989013671878,-41.0,0.8,-4.200000762939408,2.479998779296875,2.6,0.1400001525878892,5.0,-1.0,1.7,-27.0,-6.8,-38.0,-5.9699951171875,7.7,-2.0,90.0,-3420.0,234.0,40.595966796875,558.0,39.6002197265625
2019-04-21,2019-04-27,-4.119997024536134,27.71998291015625,-15.8,1.2,1.4000129699706576,1.979998779296875,4.0,-0.01999969482421875,2.4,4.4,0.3199951171875,1.8,4.6,22.0,7.126000976562454,2.680004882812477,-44.0,14.0,308.0,56.0,32.77960449218729,70.0,14.8399658203125
2019-04-28,2019-05-04,3.3199946085612284,350.0,94.0,3.8,3.7999916076660156,-5.0,-7.4,-0.020000457763671875,10.2,-14.4,3.42000732421875,-48.6,-19.4,-88.0,-7.319995117187455,-10.2,-70.0,-70.0,6160.0,518.0,142.00790527343662,3514.0,256.1998291015625
2019-05-05,2019-05-11,-7.8199927012125965,166.3200439453125,155.0,11.8,5.7999992370606375,4.620001220703125,5.0,-0.059999847412109376,-3.6,3.4,-0.85999755859375,8.4,-9.6,6.0,1.5419921875,1.7599975585937728,84.0,36.0,216.0,180.0,-14.803125,1526.3999999999999,-48.96013183593709
2019-05-12,2019-05-18,16.379995346069336,-29.16002197265625,3.8,-5.0,0.2000045776366733,-1.620001220703125,-2.2,-0.1400001525878892,2.4,-3.2,0.4199951171875,10.8,36.2,38.0,32.166015625,-6.84000244140625,78.0,18.0,684.0,-39.6,1164.409765625,309.59999999999997,9.360021972656044
