first_day_in_week,last_day_in_week,IMCO_main_symb_weekly_mean_diff,LUZN.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,-1.9250030517578125,-0.28000030517578123
2019-03-17,2019-03-23,-7.333333333333332,0.1
2019-03-31,2019-04-06,-0.0800048828125,-0.4400001525878906
2019-04-07,2019-04-13,-1.7199951171875,-0.14000015258789061
2019-04-14,2019-04-20,-2.4800048828125,-0.21999969482421874
2019-04-21,2019-04-27,4.04000244140625,0.019999694824217328
2019-05-19,2019-05-25,-4.25999755859375,0.3200004577636733
2019-05-26,2019-06-01,1.524993896484375,0.01999969482421875
2019-06-02,2019-06-08,-1.6666666666666667,-0.07999954223632813
2019-06-23,2019-06-29,-0.34000244140625,0.09999999999999858
2019-06-30,2019-07-06,0.9800048828125,-0.15999984741210938
2019-07-21,2019-07-27,5.04998779296875,0.1599998474121108
2019-07-28,2019-08-03,-12.65999755859375,-0.4000000000000007
2019-08-11,2019-08-17,-0.25999755859375,-0.1
2019-08-18,2019-08-24,18.75999755859375,0.6
2019-08-25,2019-08-31,19.05999755859375,0.5000003814697266
2019-09-01,2019-09-07,15.3,-0.48000030517578124
2019-09-08,2019-09-14,-4.0,-0.4200000762939453
2019-09-15,2019-09-21,0.0,0.0
2019-09-22,2019-09-28,-15.0,-0.2
2019-09-29,2019-10-05,6.666666666666668,0.5500001907348633
2019-10-06,2019-10-12,-14.199991861979205,0.0
2019-10-13,2019-10-19,14.199991861979205,-0.09999974568685015
2019-10-20,2019-10-26,-4.6,-0.6666666666666666
2019-10-27,2019-11-02,3.4,-0.14000015258788992
2019-11-03,2019-11-09,4.0,-0.17999992370605397
2019-11-10,2019-11-16,-5.4,0.020000076293943892
2019-11-17,2019-11-23,9.2,0.11999969482422017
2019-11-24,2019-11-30,-3.8,-0.01999969482422017
2019-12-01,2019-12-07,4.4,-0.24000015258788993
2019-12-08,2019-12-14,-4.6,-0.17999992370605397
2019-12-15,2019-12-21,1.4,-0.12000007629394602
2019-12-22,2019-12-28,94.8,0.9799999237060547
2019-12-29,2020-01-04,17.8,0.34000015258789135
2020-01-05,2020-01-11,12.6,0.4
2020-01-12,2020-01-18,19.6,0.039999771118164065
2020-01-19,2020-01-25,-21.6,-0.1599998474121101
2020-01-26,2020-02-01,-4.4,0.9400001525878906
2020-02-02,2020-02-08,-14.0,0.1
2020-02-09,2020-02-15,5.4,0.07999954223632813
2020-02-16,2020-02-22,-16.0,0.020000457763671875
2020-02-23,2020-02-29,-20.5,0.04000015258789062
2020-03-01,2020-03-07,-75.5,-0.4500007629394549
2020-03-08,2020-03-14,-18.2,-0.27499961853027166
2020-03-15,2020-03-21,33.0,-0.04000015258788921
2020-03-22,2020-03-28,6.8,-0.07999954223632955
2020-03-29,2020-04-04,23.0,0.5199996948242187
2020-04-05,2020-04-11,-7.666666666666668,0.16666666666666666
2020-04-12,2020-04-18,1.6,0.8333333333333334
2020-04-19,2020-04-25,-32.333333333333336,-0.14000015258789061
2020-04-26,2020-05-02,-12.6,0.1333338419596354
2020-05-03,2020-05-09,-13.2,0.15999984741210938
2020-05-10,2020-05-16,17.4,0.38000030517578126
2020-05-17,2020-05-23,-11.25,-0.4200004577636719
2020-05-24,2020-05-30,-11.4,-0.19999980926513672
2020-05-31,2020-06-06,21.75,0.5199996948242187
2020-06-07,2020-06-13,48.4,0.6000003814697266
2020-06-14,2020-06-20,-18.0,0.9400001525878906
2020-06-21,2020-06-27,17.800000762939455,0.6400001525878892
2020-06-28,2020-07-04,-11.000000762939454,0.13999915122986123
2020-07-05,2020-07-11,20.0,-0.6999997615814223
2020-07-12,2020-07-18,11.4,0.12000045776367188
2020-07-19,2020-07-25,-30.25,-0.0599998474121108
2020-07-26,2020-08-01,,0.0
