first_day_in_week,last_day_in_week,LVPR_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.46,PCBT.TA_weekly_mean_diff_0.47,CMDR.TA_weekly_mean_diff_0.5,SNEL.TA_weekly_mean_diff_0.45_INT_KNFM.TA_weekly_mean_diff_0.35_corr_0.71
2019-03-10,2019-03-16,62.6,1.839996337890625,1.379998779296875,-78.0,-197.64
2019-03-17,2019-03-23,-56.4,0.820001220703125,7.8,78.0,-66.0
2019-03-24,2019-03-30,34.2,1.64000244140625,-0.6599975585937727,-62.0,106.71999999999998
2019-03-31,2019-04-06,120.2,0.6,1.4799926757812727,134.0,323.2
2019-04-07,2019-04-13,-5.6,0.879998779296875,3.1800048828125,-22.0,-241.12
2019-04-14,2019-04-20,-7.8,-0.479998779296875,1.7,46.0,140.8
2019-04-21,2019-04-27,-12.4,-0.320001220703125,0.3199951171875,-24.0,85.28
2019-04-28,2019-05-04,25.0,1.4,3.42000732421875,-10.0,34.0
2019-05-05,2019-05-11,-40.4,-0.25999755859375,-0.85999755859375,-14.0,0.0
2019-05-12,2019-05-18,-0.6,-1.160003662109375,0.4199951171875,86.0,-125.80000000000001
2019-05-19,2019-05-25,47.0,0.779998779296875,0.9199951171875,214.0,47.599999999999994
2019-05-26,2019-06-01,-22.6,-0.879998779296875,0.72000732421875,48.0,23.32
2019-06-02,2019-06-08,-30.4,0.379998779296875,-0.85999755859375,-108.0,-51.519999999999996
2019-06-09,2019-06-15,-39.6,-2.1,-0.52000732421875,2.0,46.239999999999995
2019-06-16,2019-06-22,20.8,-1.7,-0.0199951171875,40.0,-107.16000000000001
2019-06-23,2019-06-29,10.6,2.920001220703125,-7.52000732421875,186.0,21.6
2019-06-30,2019-07-06,46.4,-3.420001220703125,2.060009765625,160.0,-51.04
2019-07-07,2019-07-13,-0.2,-2.3,0.7,-18.0,260.4
2019-07-14,2019-07-20,20.0,-4.139996337890636,-3.8400024414062726,146.0,0.6400000000000001
2019-07-21,2019-07-27,54.8,1.4599975585937728,-0.6800048828124545,140.0,27.84
2019-07-28,2019-08-03,167.4,2.9400024414062385,-4.419995117187545,140.0,59.28
2019-08-04,2019-08-10,-134.4,-3.560003662109375,-4.540002441406227,-176.0,99.84
2019-08-11,2019-08-17,96.6,-0.05999755859375,-2.25999755859375,-36.0,20.8
2019-08-18,2019-08-24,-29.6,-0.9,2.0199951171875115,192.0,174.84
2019-08-25,2019-08-31,-73.8,1.9200012207031136,-4.879998779296886,22.0,-0.0
2019-09-01,2019-09-07,47.2,-0.32000122070311365,-5.0,-136.0,166.4
2019-09-08,2019-09-14,68.75,0.4799987792968864,-5.079998779296875,188.0,9.6
2019-09-15,2019-09-21,53.6,0.125,2.6750030517578125,90.0,55.0
2019-09-22,2019-09-28,-255.0,-1.5200012207031364,3.579998779296875,-110.0,-9.240000000000002
2019-09-29,2019-10-05,127.0,-3.149993896484375,8.699996948242188,-275.0,504.0
2019-10-06,2019-10-12,119.66666666666669,3.6666666666666665,5.466664632161458,-86.66666666666667,894.4444444444445
2019-10-13,2019-10-19,-5.666666666666668,3.466664632161477,0.100006103515625,-260.0,5664.222222222223
2019-10-20,2019-10-26,149.8,-2.466664632161477,1.1999918619791856,333.3333333333333,-143.88888888888889
2019-10-27,2019-11-02,-45.8,-1.25999755859375,-3.2399963378906365,-40.0,398.16
2019-11-03,2019-11-09,-23.0,-1.74000244140625,0.920001220703125,-64.0,926.8000000000001
2019-11-10,2019-11-16,20.4,-1.2399993896484376,-2.820001220703125,-78.0,511.36
2019-11-17,2019-11-23,80.6,2.0800018310546875,-8.679998779296875,140.0,-278.88000000000005
2019-11-24,2019-11-30,-33.4,6.439996337890625,-2.620001220703125,46.0,1890.0
2019-12-01,2019-12-07,25.4,-1.279998779296875,-0.720001220703125,-90.0,1071.0
2019-12-08,2019-12-14,-41.4,1.04000244140625,1.3,-16.0,-30.0
2019-12-15,2019-12-21,-2.4,1.239996337890625,-2.4400024414062385,66.0,35.72
2019-12-22,2019-12-28,31.4,1.660003662109375,12.5,-64.0,40.32
2019-12-29,2020-01-04,-25.2,-1.8800048828125,-3.379998779296886,116.0,1.6
2020-01-05,2020-01-11,40.2,0.64000244140625,-0.32000122070311365,148.0,-24.96
2020-01-12,2020-01-18,52.0,1.3,4.7,32.0,141.23999999999998
2020-01-19,2020-01-25,-12.6,-1.3,2.5400024414062385,-64.0,42.839999999999996
2020-01-26,2020-02-01,146.0,-1.75999755859375,-0.979998779296875,94.0,-21.0
2020-02-02,2020-02-08,-90.0,-1.820001220703125,-1.920001220703125,-122.0,301.59999999999997
2020-02-09,2020-02-15,66.0,-0.34000244140623864,2.84000244140625,146.0,-42.16
2020-02-16,2020-02-22,-262.0,0.4999999999999886,1.079998779296875,-186.0,-140.76
2020-02-23,2020-02-29,-193.0,0.560003662109375,-6.279998779296875,-218.0,1275.5600000000002
2020-03-01,2020-03-07,-447.0,-8.925003051757812,-13.200004577636719,-315.0,4864.050247192383
2020-03-08,2020-03-14,-309.8,-16.549999237060547,-19.875,-918.5,23150.797729492188
2020-03-15,2020-03-21,170.4,-4.380001831054687,-10.879998779296875,-60.6,914.4003295898433
2020-03-22,2020-03-28,257.2,5.0800018310546875,5.6,247.4,-258.23999999999995
2020-03-29,2020-04-04,374.33333333333326,11.539999389648438,21.3,346.0,608.1240661621089
2020-04-05,2020-04-11,116.33333333333331,-4.799997965494801,2.3333333333333335,293.3333333333333,658.4891493055538
2020-04-12,2020-04-18,-78.0,4.266662597656269,-0.3333333333333333,440.0,2979.3333333333367
2020-04-19,2020-04-25,-191.0,-1.9199981689453183,2.5599975585937615,-122.0,281.23204101562504
2020-04-26,2020-05-02,-185.6,3.899998982747396,1.1000061035156061,350.0,-263.9999728732639
2020-05-03,2020-05-09,-132.2,-2.2,3.1399963378906364,-54.0,974.6876953125
2020-05-10,2020-05-16,113.6,-0.6799987792968807,1.6800048828124887,36.0,-1058.0162011718746
2020-05-17,2020-05-23,31.5,0.019998168945318185,4.539996337890625,192.0,270.3841259765616
2020-05-24,2020-05-30,-20.6,-2.424999237060547,4.625,-147.5,-100.75000000000044
2020-05-31,2020-06-06,-48.5,0.4399993896484375,-0.32000122070311365,14.0,-158.09604003906247
2020-06-07,2020-06-13,-2.6,1.4500007629394531,1.2000045776367045,-140.0,-38.62499237060547
2020-06-14,2020-06-20,-101.8,-1.1399993896484375,-1.820001220703125,170.0,-14.783876953125382
2020-06-21,2020-06-27,27.20001525878907,2.079998779296875,1.64000244140625,-196.0,134.4
2020-06-28,2020-07-04,-60.200015258789065,-0.2200000762939453,-3.0400062561035157,-79.9998779296875,259.7719121551516
2020-07-05,2020-07-11,32.8,0.02000007629394531,0.46000137329102697,97.9998779296875,-130.84798805236815
2020-07-12,2020-07-18,-56.4,7.060000610351563,-9.959997558593761,10.0,59.4
2020-07-19,2020-07-25,136.25,2.120001220703114,10.120001220703125,-40.0,1.4
2020-07-26,2020-08-01,,-0.02500152587889204,-0.7750015258789062,72.5,-34.85005187988281
