first_day_in_week,last_day_in_week,MMAN_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.44,HARL.TA_weekly_mean_diff_0.49
2019-03-10,2019-03-16,3.0,3.8,-8.8
2019-03-17,2019-03-23,-8.6,-16.4,-5.0
2019-03-24,2019-03-30,-3.44000244140625,10.8,-30.0
2019-03-31,2019-04-06,1.1800048828125,43.2,30.6
2019-04-07,2019-04-13,-1.32000732421875,60.0,41.4
2019-04-14,2019-04-20,1.1800048828125,-24.0,-6.8
2019-04-21,2019-04-27,-1.75999755859375,-1.0,4.6
2019-04-28,2019-05-04,-0.94000244140625,-46.0,-19.4
2019-05-05,2019-05-11,-6.1800048828125,14.6,-9.6
2019-05-12,2019-05-18,3.460009765625,24.4,36.2
2019-05-19,2019-05-25,0.0199951171875,48.0,-11.0
2019-05-26,2019-06-01,-1.8199951171875,38.6,7.4
2019-06-02,2019-06-08,-2.54000244140625,-24.6,-5.4
2019-06-09,2019-06-15,0.64000244140625,-7.0,-2.2
2019-06-16,2019-06-22,6.1199951171875,-27.8,4.2
2019-06-23,2019-06-29,3.14000244140625,15.8,-13.4
2019-06-30,2019-07-06,-2.12000732421875,92.6,4.8
2019-07-07,2019-07-13,3.22000732421875,-2.6,1.4
2019-07-14,2019-07-20,-0.25999755859375,-30.4,-21.0
2019-07-21,2019-07-27,-1.32000732421875,7.4,20.2
2019-07-28,2019-08-03,0.34000244140625,15.0,8.4
2019-08-04,2019-08-10,-2.94000244140625,-14.0,-8.4
2019-08-11,2019-08-17,-2.05999755859375,-12.0,-8.4
2019-08-18,2019-08-24,-0.5199951171875,57.2,15.8
2019-08-25,2019-08-31,-0.0800048828125,-25.0,2.4
2019-09-01,2019-09-07,1.8800048828125,-8.8,20.8
2019-09-08,2019-09-14,-0.600006103515625,-31.6,9.4
2019-09-15,2019-09-21,-4.8,66.5,14.25
2019-09-22,2019-09-28,0.0,56.4,12.8
2019-09-29,2019-10-05,-1.5,23.0,-18.0
2019-10-06,2019-10-12,1.9333292643229167,34.666666666666664,-9.0
2019-10-13,2019-10-19,9.23333740234375,32.666666666666664,11.0
2019-10-20,2019-10-26,3.0,58.0,-5.666666666666667
2019-10-27,2019-11-02,2.05999755859375,26.2,-31.8
2019-11-03,2019-11-09,-4.14000244140625,-77.8,0.2
2019-11-10,2019-11-16,10.42000732421875,117.6,6.4
2019-11-17,2019-11-23,-4.3,45.2,7.8
2019-11-24,2019-11-30,-0.6800048828125,-104.2,9.2
2019-12-01,2019-12-07,-1.1,43.8,-26.8
2019-12-08,2019-12-14,-0.14000244140625,49.4,-13.2
2019-12-15,2019-12-21,2.94000244140625,-26.0,-6.6
2019-12-22,2019-12-28,-1.65999755859375,29.0,2.4
2019-12-29,2020-01-04,-0.3800048828125,77.2,-6.2
2020-01-05,2020-01-11,3.44000244140625,-11.0,-31.4
2020-01-12,2020-01-18,-0.87999267578125,106.6,8.8
2020-01-19,2020-01-25,-4.04000244140625,3.4,-1.2
2020-01-26,2020-02-01,-5.34000244140625,-101.2,-40.2
2020-02-02,2020-02-08,4.1800048828125,-70.4,-3.4
2020-02-09,2020-02-15,0.9,-1.0,3.8
2020-02-16,2020-02-22,-9.4800048828125,18.4,21.6
2020-02-23,2020-02-29,-14.725006103515625,-108.0,-81.4
2020-03-01,2020-03-07,-46.44999694824219,-163.25,-65.75
2020-03-08,2020-03-14,-10.479998779296864,-328.0,-82.75
2020-03-15,2020-03-21,24.54000244140624,127.0,29.0
2020-03-22,2020-03-28,-1.520001220703125,95.6,37.0
2020-03-29,2020-04-04,3.033335367838541,77.4,-8.6
2020-04-05,2020-04-11,2.733327229817727,93.0,9.0
2020-04-12,2020-04-18,9.340002441406238,2.6666666666666665,55.0
2020-04-19,2020-04-25,29.0,86.8,38.6
2020-04-26,2020-05-02,-1.1199951171875,33.0,34.333333333333336
2020-05-03,2020-05-09,-4.5,-77.0,-21.0
2020-05-10,2020-05-16,3.0199951171875,-20.2,-29.6
2020-05-17,2020-05-23,-3.0,128.2,32.6
2020-05-24,2020-05-30,-0.6400024414062273,208.5,3.75
2020-05-31,2020-06-06,14.350006103515597,-36.8,-22.8
2020-06-07,2020-06-13,-1.62000732421875,59.5,1.0
2020-06-14,2020-06-20,-0.7,50.0,16.8
2020-06-21,2020-06-27,-3.7399967193603754,-103.0,-31.0
2020-06-28,2020-07-04,-2.379998397827125,-2.6,17.800013732910248
2020-07-05,2020-07-11,1.5,20.0,-10.200013732910246
2020-07-12,2020-07-18,0.3,42.0,-4.0
2020-07-19,2020-07-25,5.600006103515625,58.0,21.4
2020-07-26,2020-08-01,,157.75,28.5
