first_day_in_week,last_day_in_week,PERI_main_symb_weekly_mean_diff,DLEKG.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,-2.8,-10.0
2019-03-17,2019-03-23,-11.0,-50.0
2019-03-24,2019-03-30,14.2,-352.0
2019-03-31,2019-04-06,14.4,256.0
2019-04-07,2019-04-13,-4.0,686.0
2019-04-14,2019-04-20,-5.8,-202.0
2019-04-21,2019-04-27,-7.0,448.0
2019-04-28,2019-05-04,8.4,64.0
2019-05-05,2019-05-11,-4.6,-398.0
2019-05-12,2019-05-18,13.8,-1128.0
2019-05-19,2019-05-25,1.4,620.0
2019-05-26,2019-06-01,-2.2,-14.0
2019-06-02,2019-06-08,-16.2,-400.0
2019-06-09,2019-06-15,0.6,-152.0
2019-06-16,2019-06-22,-6.0,12.0
2019-06-23,2019-06-29,6.4,-92.0
2019-06-30,2019-07-06,41.0,0.0
2019-07-07,2019-07-13,19.6,-248.0
2019-07-14,2019-07-20,37.0,-1640.0
2019-07-21,2019-07-27,6.6,552.0
2019-07-28,2019-08-03,32.2,-190.0
2019-08-04,2019-08-10,36.0,-822.0
2019-08-11,2019-08-17,96.4,-660.0
2019-08-18,2019-08-24,-18.8,168.0
2019-08-25,2019-08-31,4.6,512.0
2019-09-01,2019-09-07,-77.4,-536.0
2019-09-08,2019-09-14,-69.75,-334.0
2019-09-15,2019-09-21,17.2,300.0
2019-09-22,2019-09-28,-81.0,-1176.0
2019-09-29,2019-10-05,-4.666666666666667,1250.0
2019-10-06,2019-10-12,66.0,-140.0
2019-10-13,2019-10-19,52.33333333333334,803.3333333333334
2019-10-20,2019-10-26,-4.2,-10.0
2019-10-27,2019-11-02,5.0,-206.0
2019-11-03,2019-11-09,-28.2,1128.0
2019-11-10,2019-11-16,-9.2,52.0
2019-11-17,2019-11-23,25.4,-134.0
2019-11-24,2019-11-30,-7.8,-28.0
2019-12-01,2019-12-07,5.6,-560.0
2019-12-08,2019-12-14,56.2,182.0
2019-12-15,2019-12-21,14.6,300.0
2019-12-22,2019-12-28,4.8,-200.0
2019-12-29,2020-01-04,140.6,1900.0
2020-01-05,2020-01-11,35.0,-262.0
2020-01-12,2020-01-18,5.8,-440.0
2020-01-19,2020-01-25,-79.2,-228.0
2020-01-26,2020-02-01,19.6,-1572.0
2020-02-02,2020-02-08,15.0,60.0
2020-02-09,2020-02-15,16.0,-288.0
2020-02-16,2020-02-22,-100.0,-142.0
2020-02-23,2020-02-29,-16.5,-1732.0
2020-03-01,2020-03-07,-123.25,-1590.0
2020-03-08,2020-03-14,-114.0,-5595.0
2020-03-15,2020-03-21,86.0,2190.0
2020-03-22,2020-03-28,-44.0,-1332.6
2020-03-29,2020-04-04,60.33333333333334,256.6
2020-04-05,2020-04-11,-2.0,1833.3333333333333
2020-04-12,2020-04-18,-6.4,63.333333333333336
2020-04-19,2020-04-25,11.333333333333336,-106.0
2020-04-26,2020-05-02,2.2,-56.666666666666664
2020-05-03,2020-05-09,-42.6,-512.0
2020-05-10,2020-05-16,53.2,-786.0
2020-05-17,2020-05-23,51.5,28.0
2020-05-24,2020-05-30,-3.6,-37.5
2020-05-31,2020-06-06,-25.0,1.0
2020-06-07,2020-06-13,1.2,91.25
2020-06-14,2020-06-20,-6.4,176.0
2020-06-21,2020-06-27,-24.199986267089844,-468.0
2020-06-28,2020-07-04,14.199986267089846,-122.39993286132812
2020-07-05,2020-07-11,22.6,-204.4000671386719
2020-07-12,2020-07-18,47.6,52.0
2020-07-19,2020-07-25,-14.75,148.2
2020-07-26,2020-08-01,,-57.0
