first_day_in_week,last_day_in_week,PTBL_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.48_INT_MRIN.TA_weekly_mean_diff_0.36_corr_0.72,ZUR.TA_weekly_mean_diff_0.44_INT_MRIN.TA_weekly_mean_diff_0.36_corr_0.72,FIBIH.TA_weekly_mean_diff_0.41_INT_FIBI.TA_weekly_mean_diff_0.37_corr_0.92
2019-03-10,2019-03-16,169.580078125,-2.087995605468764,7.655983886718801,217.6
2019-03-17,2019-03-23,-204.6,-0.86400146484375,-1.08,393.59999999999997
2019-03-24,2019-03-30,-270.96015625,-25.080000000000034,60.80000000000009,1868.4
2019-03-31,2019-04-06,409.2,35.217570654302776,-41.759985351562435,1608.0
2019-04-07,2019-04-13,-147.46015625,-6.34000244140625,-7.2,8543.2
2019-04-14,2019-04-20,300.46015625,9.027201611325202,9.46400634765631,1026.0
2019-04-21,2019-04-27,-287.56015625,5.583611059561327,11.28002929687491,39.6
2019-04-28,2019-05-04,125.340234375,0.5,0.7400000000000001,4276.8
2019-05-05,2019-05-11,199.080078125,-14.784003906250001,-16.0,50.400000000000006
2019-05-12,2019-05-18,169.5796875,1.9764133545010913,2.6840161132812,410.40000000000003
2019-05-19,2019-05-25,-258.059765625,22.374384912103217,-59.39194335937447,33.6
2019-05-26,2019-06-01,516.119921875,85.93560812987387,144.5399597167969,2228.7999999999997
2019-06-02,2019-06-08,38.719921875,18.432011718749997,-0.76800048828125,544.0
2019-06-09,2019-06-15,357.600390625,13.82840908203274,31.8560107421875,-170.79999999999998
2019-06-16,2019-06-22,-429.500390625,-2.431986083984375,1.52,499.20000000000005
2019-06-23,2019-06-29,-105.059765625,-10.48319648437202,-15.600006103515625,3174.4
2019-06-30,2019-07-06,-282.0203125,6.126784594729632,15.027996826171936,-147.2
2019-07-07,2019-07-13,-160.359765625,-0.95,-15.959999999999999,1769.6000000000001
2019-07-14,2019-07-20,1.83984375,-0.20480351559816698,-4.358498193323309,2640.0
2019-07-21,2019-07-27,661.740234375,14.6615794433652,13.825174267589976,2150.4
2019-07-28,2019-08-03,-440.56015625,-7.29440444335337,11.27999267578118,4103.2
2019-08-04,2019-08-10,-241.46015625,16.091220898441968,16.660834521502178,-44.0
2019-08-11,2019-08-17,674.640234375,-0.5471997802704572,3.3983878418058264,33.6
2019-08-18,2019-08-24,-278.340234375,-1.713628515601095,-1.0864168944954495,-237.6
2019-08-25,2019-08-31,309.68046875,-14.138423608392257,-126.47839858397856,216.0
