first_day_in_week,last_day_in_week,RMLI_main_symb_weekly_mean_diff,GOHO.TA_weekly_mean_diff_-0.36,ELTR.TA_weekly_mean_diff_-0.37,ELWS.TA_weekly_mean_diff_-0.38,RSEL.TA_weekly_mean_diff_-0.38,GOHO.TA_weekly_mean_diff_-0.36_INT_ISRS.TA_weekly_mean_diff_-0.39_corr_0.81,INRM.TA_weekly_mean_diff_-0.39,ISRS.TA_weekly_mean_diff_-0.39,HLAN.TA_weekly_mean_diff_-0.4,PSTI.TA_weekly_mean_diff_0.4,RMLI.TA_weekly_mean_diff_-0.42,VCTR.TA_weekly_mean_diff_-0.41,KRUR.TA_weekly_mean_diff_-0.42,ORA.TA_weekly_mean_diff_-0.42,SPEN.TA_weekly_mean_diff_-0.35,ELCO.TA_weekly_mean_diff_-0.47,FOX.TA_weekly_mean_diff_-0.49,RIT1.TA_weekly_mean_diff_-0.4
2019-03-10,2019-03-16,-114.0,-5.6,-502.0,-48.2,-0.8200012207031193,-1500.8,3.4,268.0,13.0,-21.6,60.0,4.8,-84.2,-14.0,7.2,-14.2,90.0,3.0
2019-03-17,2019-03-23,-18.0,4.6,332.0,25.8,-0.21999816894531818,2833.6,0.4,616.0,96.4,4.4,-114.0,-23.8,-37.2,-28.0,-3.2,58.6,300.0,7.0
2019-03-24,2019-03-30,62.0,9.2,480.0,46.6,2.279998779296875,1876.8,0.4,204.0,17.2,-1.6,-18.0,5.6,-29.2,20.0,0.2,-11.0,-104.0,5.2
2019-03-31,2019-04-06,66.0,-2.4,48.0,32.6,-1.1,700.8,-10.2,-292.0,58.6,-275.0,62.0,11.6,-6.6,10.0,3.4,-31.2,-70.0,1.0
2019-04-07,2019-04-13,94.0,4.0,1552.0,139.8,-1.1399993896484375,1464.0,5.8,366.0,148.0,12.0,66.0,60.2,82.4,8.0,15.0,111.4,-72.0,10.8
2019-04-14,2019-04-20,-20.0,5.4,-200.0,437.4,0.5399993896484375,993.6,4.0,184.0,-148.0,-54.0,94.0,6.2,6.4,64.0,-5.0,-2.6,16.0,-4.6
2019-04-21,2019-04-27,-142.0,-2.4,-244.0,101.6,3.7,-187.2,10.0,78.0,-2.0,28.2,-20.0,-27.2,41.4,98.0,5.0,-23.6,-10.0,3.4
2019-04-28,2019-05-04,40.0,-9.2,-96.0,-217.2,-1.1,2668.0,-7.6,-290.0,-46.0,56.4,-142.0,-15.2,23.4,-42.0,-8.0,6.6,-144.0,-4.4
2019-05-05,2019-05-11,-8.0,7.6,-78.0,131.2,-0.11999816894531819,425.59999999999997,-2.0,56.0,40.0,16.6,40.0,25.0,-38.4,174.0,2.8,44.8,1.8,1.2
2019-05-12,2019-05-18,-76.0,0.0,550.0,270.4,-2.680001831054682,-0.0,-0.4,-102.0,-54.0,-20.6,-8.0,4.6,23.4,86.0,2.8,1.6,2.0,10.0
