first_day_in_week,last_day_in_week,SPIR_main_symb_weekly_mean_diff,MLTM.TA_weekly_mean_diff_0.38,PEN.TA_weekly_mean_diff_0.38,PLRM.TA_weekly_mean_diff_0.43
2019-03-03,2019-03-09,6.8,-24.0,0.7800018310546875,16.2
2019-03-10,2019-03-16,-3.27999267578125,194.0,0.7399993896484375,1.6
2019-03-17,2019-03-23,0.65999755859375,316.0,3.9200012207031194,3.6
2019-03-24,2019-03-30,-4.74000244140625,-16.0,0.11999816894531819,-4.8
2019-03-31,2019-04-06,1.7199951171875,170.0,1.420001220703125,-17.2
2019-04-07,2019-04-13,-0.639990234375,580.0,0.2399993896484375,-1.0
2019-04-14,2019-04-20,2.5,290.0,-0.3,15.0
2019-04-21,2019-04-27,-4.1800048828125,-16.0,0.0399993896484375,-8.4
2019-04-28,2019-05-04,-8.8,-618.0,-1.8,3.0
2019-05-05,2019-05-11,-3.0199951171875,116.0,0.820001220703125,-3.6
2019-05-12,2019-05-18,8.6,140.0,-0.2600006103515625,1.4
2019-05-19,2019-05-25,3.6,1066.0,6.560000610351563,-3.6
2019-05-26,2019-06-01,-4.6,-232.0,1.679998779296875,1.0
2019-06-02,2019-06-08,-7.7,-158.0,-3.4399993896484373,-34.6
2019-06-09,2019-06-15,-1.0800048828125,-526.0,1.9200012207031194,13.0
2019-06-16,2019-06-22,-2.1,380.0,3.8599975585937614,-6.4
2019-06-23,2019-06-29,-5.9199951171875,28.0,-1.719998168945318,0.6
2019-06-30,2019-07-06,-6.1800048828125,156.0,5.219998168945324,-4.4
2019-07-07,2019-07-13,-0.05999755859377274,-2.0,1.8,-15.0
2019-07-14,2019-07-20,-2.9,-334.0,-1.8399963378906363,-11.4
2019-07-21,2019-07-27,-1.8600036621093523,-46.0,3.9199951171875,-9.8
2019-07-28,2019-08-03,-8.279998779296875,54.0,-1.279998779296875,-11.2
2019-08-04,2019-08-10,-1.0,-146.0,0.7,-0.6
2019-08-11,2019-08-17,-1.1,380.0,0.120001220703125,-9.8
2019-08-18,2019-08-24,-0.24000244140623864,2310.0,1.579998779296875,8.4
2019-08-25,2019-08-31,4.1,72.0,-2.55999755859375,-4.2
2019-09-01,2019-09-07,3.4200012207031136,-114.0,4.95999755859375,32.2
2019-09-08,2019-09-14,-1.0999984741210938,-476.0,2.020001220703125,-3.6
2019-09-15,2019-09-21,-4.0,145.0,-2.5500030517578125,-3.0
2019-09-22,2019-09-28,-16.399993896484375,-120.0,-2.739996337890625,-1.8
2019-09-29,2019-10-05,7.26666259765625,-245.0,0.9499969482421875,8.5
2019-10-06,2019-10-12,11.433329264322937,916.6666666666666,-2.0666707356770835,26.333333333333332
2019-10-13,2019-10-19,-5.599995930989604,500.0,1.73333740234375,1.0
2019-10-20,2019-10-26,8.2199951171875,380.0,3.9666646321614585,-8.0
2019-10-27,2019-11-02,-1.17999267578125,120.0,2.079998779296875,2.2
2019-11-03,2019-11-09,-7.74000244140625,-418.0,4.0,2.0
2019-11-10,2019-11-16,6.779998779296875,312.0,-0.279998779296875,-4.8
2019-11-17,2019-11-23,0.620001220703125,1104.0,3.0,-3.4
2019-11-24,2019-11-30,-18.8,52.0,-3.120001220703125,5.2
2019-12-01,2019-12-07,0.0,-182.0,-2.139996337890625,21.6
2019-12-08,2019-12-14,0.079998779296875,32.0,-3.179998779296875,9.8
2019-12-15,2019-12-21,-0.75999755859375,116.0,-0.8,-5.8
2019-12-22,2019-12-28,-2.120001220703125,152.0,-1.1800048828125,0.4
2019-12-29,2020-01-04,-3.720001220703125,408.0,2.14000244140625,-2.2
2020-01-05,2020-01-11,8.060003662109375,220.0,-2.1,-2.2
2020-01-12,2020-01-18,-3.960003662109375,-78.0,6.94000244140625,-4.8
2020-01-19,2020-01-25,2.0799987792968864,1782.0,6.85999755859375,2.8
2020-01-26,2020-02-01,-5.519995117187512,-566.0,-1.74000244140625,-7.0
2020-02-02,2020-02-08,1.15999755859375,604.0,0.14000244140625,-8.2
2020-02-09,2020-02-15,-1.65999755859375,-400.0,-0.8,13.8
2020-02-16,2020-02-22,-3.1800048828124887,-236.0,1.1,4.6
2020-02-23,2020-02-29,-11.224998474121108,-1396.0,-10.95999755859375,-19.8
2020-03-01,2020-03-07,-21.27499771118164,-1357.5,-9.175003051757812,-13.25
2020-03-08,2020-03-14,-3.4600006103515626,-3262.5,-21.825000762939453,-56.0
2020-03-15,2020-03-21,-4.620001220703119,-80.0,-7.339999389648438,-39.8
2020-03-22,2020-03-28,6.5,1470.0,11.82000122070312,13.8
2020-03-29,2020-04-04,9.200002034505196,1488.0,2.379998779296881,25.2
2020-04-05,2020-04-11,4.599995930989583,553.3333333333334,3.399998982747396,31.0
2020-04-12,2020-04-18,-0.07999877929686364,-1210.0,-2.8333333333333335,37.333333333333336
2020-04-19,2020-04-25,3.1333312988281063,896.0,-1.2399993896484376,6.6
2020-04-26,2020-05-02,-4.149993896484375,880.0,11.966664632161468,11.333333333333334
2020-05-03,2020-05-09,26.04999542236328,380.0,8.12000122070312,40.4
2020-05-17,2020-05-23,1.724998474121108,472.0,7.719998168945324,-5.8
2020-05-24,2020-05-30,0.9,-692.5,-0.724998474121108,34.0
2020-05-31,2020-06-06,0.0,384.0,0.2,42.2
2020-06-07,2020-06-13,,-325.0,-1.625,15.5
