first_day_in_week,last_day_in_week,SRAC_main_symb_weekly_mean_diff,PRGO.TA_weekly_mean_diff_-0.38_INT_JBNK.TA_weekly_mean_diff_-0.37_corr_0.92
2019-03-10,2019-03-16,0.8,205.19970703125
2019-03-17,2019-03-23,-5.6,124.80078125
2019-03-24,2019-03-30,-8.2,247.1601806640625
2019-03-31,2019-04-06,18.4,41.519970703125
2019-04-07,2019-04-13,19.6,192.9195556640625
2019-04-14,2019-04-20,6.2,-1276.7608642578125
2019-04-21,2019-04-27,-27.6,217.43964843749998
2019-04-28,2019-05-04,23.0,127.799560546875
2019-05-05,2019-05-11,3.0,-13.639892578125
2019-05-12,2019-05-18,100.6,39.9601318359375
2019-05-19,2019-05-25,-23.6,-21.199951171875
2019-05-26,2019-06-01,13.0,2740.0
2019-06-02,2019-06-08,-5.0,1019.2
2019-06-09,2019-06-15,1.0,-0.2801025390625
2019-06-16,2019-06-22,20.2,973.55888671875
2019-06-23,2019-06-29,18.0,257.0408203125
2019-06-30,2019-07-06,11.2,593.91875
2019-07-07,2019-07-13,13.0,42.4799560546875
2019-07-14,2019-07-20,67.4,-34.4399658203125
2019-07-21,2019-07-27,52.0,-2899.19921875
2019-07-28,2019-08-03,-49.6,-314.879296875
2019-08-04,2019-08-10,64.8,-11.284130859375
2019-08-11,2019-08-17,40.0,153.35991210937502
2019-08-18,2019-08-24,9.4,443.9996337890625
2019-08-25,2019-08-31,18.4,481.2796875
2019-09-01,2019-09-07,5.2,12.560009765625
2019-09-08,2019-09-14,23.75,-60.6
2019-09-15,2019-09-21,57.4,-250.24978637695312
2019-09-22,2019-09-28,16.0,-320.0
2019-09-29,2019-10-05,-20.33333333333333,2337.5
2019-10-06,2019-10-12,109.66666666666669,680.3338623046875
2019-10-13,2019-10-19,10.666666666666666,793.3298746744791
2019-10-20,2019-10-26,80.6,2.88818359375
2019-10-27,2019-11-02,64.2,161.1600830078125
2019-11-03,2019-11-09,15.8,-328.6795166015625
2019-11-10,2019-11-16,29.4,47.958935546875004
2019-11-17,2019-11-23,97.2,-9.520068359375001
2019-11-24,2019-11-30,2.0,-951.7207519531249
2019-12-01,2019-12-07,-77.4,132.840087890625
2019-12-08,2019-12-14,-7.8,890.8
2019-12-15,2019-12-21,14.8,-138.919775390625
2019-12-22,2019-12-28,136.6,-435.120361328125
2019-12-29,2020-01-04,173.6,858.880859375
2020-01-05,2020-01-11,-71.4,-622.440380859375
2020-01-12,2020-01-18,-65.8,852.8000000000001
2020-01-19,2020-01-25,68.2,3.439990234375
2020-01-26,2020-02-01,57.0,75.6
2020-02-02,2020-02-08,-21.2,-421.519677734375
2020-02-09,2020-02-15,59.2,-51.199951171875
2020-02-16,2020-02-22,-187.4,-34.400146484375
2020-02-23,2020-02-29,-86.5,3640.0
2020-03-01,2020-03-07,-709.5,-3214.7464752197266
2020-03-08,2020-03-14,-140.2,26930.129928588867
2020-03-15,2020-03-21,153.8,-4958.240649414062
2020-03-22,2020-03-28,301.0,-643.8
2020-03-29,2020-04-04,-80.66666666666667,-3771.5232421875
2020-04-05,2020-04-11,-88.33333333333331,4641.328531901041
2020-04-12,2020-04-18,9.4,1750.99860297309
2020-04-19,2020-04-25,203.0,-241.60009765625
2020-04-26,2020-05-02,31.0,-786.7787679036459
2020-05-03,2020-05-09,-119.4,-30.799999999999997
2020-05-10,2020-05-16,7.2,283.20000000000005
2020-05-17,2020-05-23,41.0,1199.0
2020-05-24,2020-05-30,14.2,244.12513732910156
2020-05-31,2020-06-06,-114.5,34.880078125
2020-06-07,2020-06-13,5.4,-1942.9991149902344
2020-06-14,2020-06-20,-35.2,-826.439306640625
2020-06-21,2020-06-27,-878.6279998779297,-47.519677734374994
2020-06-28,2020-07-04,884.2279998779297,554183.4658309554
2020-07-05,2020-07-11,5.4,507416.9984430313
2020-07-12,2020-07-18,-12.8,879.1194580078125
2020-07-19,2020-07-25,17.0,-130.24072265625
2020-07-26,2020-08-01,,124.000244140625
