first_day_in_week,last_day_in_week,TEDE_main_symb_weekly_mean_diff,MDTR.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,0.8,5.9
2019-03-17,2019-03-23,12.2,2.0199951171875
2019-03-24,2019-03-30,-10.6,-7.9199951171875
2019-03-31,2019-04-06,3.4,-0.8
2019-04-07,2019-04-13,-5.8,3.4
2019-04-14,2019-04-20,11.4,-1.4199951171875
2019-04-21,2019-04-27,-2.4,4.25999755859375
2019-04-28,2019-05-04,3.0,-2.04000244140625
2019-05-05,2019-05-11,5.2,0.84000244140625
2019-05-26,2019-06-01,-11.4,4.839990234375
2019-06-02,2019-06-08,-7.4,1.560009765625
2019-06-09,2019-06-15,-2.6,-1.7
2019-06-16,2019-06-22,-7.6,-0.2800048828125
2019-06-23,2019-06-29,3.8,0.54000244140625
2019-06-30,2019-07-06,-16.6,-3.15999755859375
2019-07-07,2019-07-13,8.4,2.2199951171875
2019-07-14,2019-07-20,0.8,4.2800048828125
2019-07-21,2019-07-27,0.8,4.5
2019-07-28,2019-08-03,6.4,8.2199951171875
2019-08-04,2019-08-10,34.2,16.0
2019-08-11,2019-08-17,10.2,-2.05999755859375
2019-08-18,2019-08-24,-12.0,0.35999755859375
2019-08-25,2019-08-31,-12.8,6.55999755859375
2019-09-01,2019-09-07,-9.8,2.94000244140625
2019-09-08,2019-09-14,10.25,-5.54000244140625
2019-09-15,2019-09-21,-5.2,4.600006103515625
2019-09-22,2019-09-28,9.0,1.05999755859375
2019-09-29,2019-10-05,5.0,-4.5
2019-10-06,2019-10-12,15.666666666666664,17.333333333333332
2019-10-13,2019-10-19,0.0,-0.36665852864587123
2019-10-20,2019-10-26,-21.8,1.0
2019-10-27,2019-11-02,-15.0,8.619995117187523
2019-11-03,2019-11-09,5.2,4.6
2019-11-10,2019-11-16,6.4,1.6
2019-11-17,2019-11-23,-3.2,13.2
2019-11-24,2019-11-30,-9.4,1.4
2019-12-01,2019-12-07,20.2,-9.8
2019-12-08,2019-12-14,8.6,-0.6
2019-12-15,2019-12-21,30.8,-0.2
2019-12-22,2019-12-28,-24.8,0.2
2019-12-29,2020-01-04,-20.4,-3.4
2020-01-05,2020-01-11,8.6,12.0
2020-01-12,2020-01-18,-2.0,-1.6
2020-01-19,2020-01-25,12.2,-5.0
2020-01-26,2020-02-01,-15.8,-0.4
2020-02-02,2020-02-08,-7.6,4.6
2020-02-09,2020-02-15,8.0,20.6
2020-02-16,2020-02-22,-7.0,-10.4
2020-02-23,2020-02-29,-16.75,-22.4
2020-03-01,2020-03-07,-9.5,-14.975006103515597
2020-03-08,2020-03-14,-12.8,-42.5249938964844
2020-03-15,2020-03-21,-22.6,-11.44000244140625
2020-03-22,2020-03-28,-6.0,-12.55999755859375
2020-03-29,2020-04-04,17.333333333333332,-4.7800048828125
2020-04-05,2020-04-11,56.33333333333334,52.9666748046875
2020-04-12,2020-04-18,-22.8,-4.9666748046875
2020-04-19,2020-04-25,3.333333333333333,-0.639990234375
2020-04-26,2020-05-02,-15.2,12.699991861979166
2020-05-03,2020-05-09,-6.0,-4.15999755859375
2020-05-10,2020-05-16,2.6,-21.04000244140625
2020-05-17,2020-05-23,29.5,10.04000244140625
2020-05-24,2020-05-30,5.0,-9.5
2020-05-31,2020-06-06,0.0,-2.64000244140625
2020-06-07,2020-06-13,-7.0,-8.25
2020-06-14,2020-06-20,0.2,10.75999755859375
2020-06-21,2020-06-27,7.629394576724736e-06,4.0800048828125
2020-06-28,2020-07-04,-26.400007629394572,5.9599967956542965
2020-07-05,2020-07-11,2.4,-20.740001678466797
2020-07-12,2020-07-18,4.6,-3.04000244140625
2020-07-19,2020-07-25,-7.0,-0.85999755859375
2020-07-26,2020-08-01,,6.0500030517578125
