first_day_in_week,last_day_in_week,VTNA_main_symb_weekly_mean_diff,ASHG.TA_weekly_mean_diff_0.39,ALHE.TA_weekly_mean_diff_0.4,MTRX.TA_weekly_mean_diff_0.41,PHOE.TA_weekly_mean_diff_0.41,ENOG.TA_weekly_mean_diff_0.42,MMHD.TA_weekly_mean_diff_0.45
2019-03-10,2019-03-16,6.4,15.0,5.0,3.8,3.2739990234375,55.2,1.4
2019-03-17,2019-03-23,-4.8,8.8,1.4,-16.4,4.42998046875,-19.0,20.4
2019-03-24,2019-03-30,15.4,51.2,14.8,10.8,-51.233984375,5.8,-29.4
2019-03-31,2019-04-06,22.8,-19.4,23.2,43.2,26.5800048828125,-13.2,33.8
2019-04-07,2019-04-13,-23.0,29.6,33.6,60.0,14.63798828125,18.0,9.6
2019-04-14,2019-04-20,-15.2,17.8,-0.8,-24.0,-5.9699951171875,36.4,-12.6
2019-04-21,2019-04-27,-5.4,17.8,-4.8,-1.0,7.126000976562454,5.8,2.8
2019-04-28,2019-05-04,3.6,-32.6,-13.4,-46.0,-7.319995117187455,-17.8,26.2
2019-05-05,2019-05-11,6.0,40.2,4.2,14.6,1.5419921875,-16.2,15.6
2019-05-12,2019-05-18,17.6,60.6,19.2,24.4,32.166015625,-9.2,68.0
2019-05-19,2019-05-25,-0.6,-16.2,1.6,48.0,6.547998046875,-14.4,-41.4
2019-05-26,2019-06-01,26.8,67.6,44.4,38.6,-4.430029296875,3.4,65.4
2019-06-02,2019-06-08,4.2,-43.2,-34.0,-24.6,-16.177978515625,0.6,25.6
2019-06-09,2019-06-15,9.2,0.0,28.0,-7.0,0.77001953125,12.8,-37.4
2019-06-16,2019-06-22,-23.6,-7.6,10.8,-27.8,20.223974609375,32.4,36.8
2019-06-23,2019-06-29,13.8,-0.2,-3.6,15.8,-22.535986328125,-29.8,5.2
2019-06-30,2019-07-06,-9.2,-9.8,-20.2,92.6,8.089990234375,132.4,16.0
2019-07-07,2019-07-13,-21.2,42.0,14.6,-2.6,-2.69599609375,0.0,-21.4
2019-07-14,2019-07-20,13.0,-7.8,15.4,-30.4,-1.733984375,-26.0,-7.0
2019-07-21,2019-07-27,27.0,28.6,15.2,7.4,0.961962890625,56.4,14.0
2019-07-28,2019-08-03,26.6,-15.8,15.8,15.0,3.08203125,28.4,42.4
2019-08-04,2019-08-10,6.0,-0.8,44.2,-14.0,-20.802001953125,-34.8,-88.0
2019-08-11,2019-08-17,10.4,40.2,-38.2,-12.0,-5.7780029296875,-22.0,23.4
2019-08-18,2019-08-24,-6.0,34.4,49.6,57.2,14.4459716796875,5.0,-36.0
2019-08-25,2019-08-31,-32.8,14.2,-5.8,-25.0,1.156005859375,-27.0,6.0
2019-09-01,2019-09-07,10.6,5.6,-34.0,-8.8,4.622021484375,6.0,-35.2
2019-09-08,2019-09-14,7.0,-9.8,-35.6,-31.6,5.777978515625,-33.4,61.4
2019-09-15,2019-09-21,22.6,32.75,37.25,66.5,12.52252197265625,11.75,9.0
2019-09-22,2019-09-28,-15.0,12.0,41.0,56.4,8.2,-13.2,-15.8
2019-09-29,2019-10-05,19.0,6.5,-53.5,23.0,-20.5,-88.0,-7.0
2019-10-06,2019-10-12,6.333333333333332,52.333333333333336,23.666666666666668,34.666666666666664,0.3333333333333333,-0.3333333333333333,53.666666666666664
2019-10-13,2019-10-19,29.33333333333333,60.0,17.0,32.666666666666664,22.333333333333332,170.66666666666666,132.66666666666666
2019-10-20,2019-10-26,4.0,33.333333333333336,16.0,58.0,-4.0,-43.0,-36.666666666666664
2019-10-27,2019-11-02,5.4,-5.2,-12.6,26.2,-14.6,-52.0,-7.8
2019-11-03,2019-11-09,-11.8,26.0,-21.0,-77.8,-30.8,-12.0,-67.2
2019-11-10,2019-11-16,32.4,-7.8,-24.6,117.6,1.2,-4.8,-50.4
2019-11-17,2019-11-23,39.0,7.8,18.4,45.2,3.6,22.2,85.2
2019-11-24,2019-11-30,-30.8,70.2,49.4,-104.2,31.0,-6.0,-30.2
2019-12-01,2019-12-07,-2.4,-3.8,-19.2,43.8,-1.4,28.4,-28.6
2019-12-08,2019-12-14,3.2,110.4,51.4,49.4,-9.2,-10.8,-27.0
2019-12-15,2019-12-21,9.6,45.2,-24.0,-26.0,-13.4,-9.4,-46.0
2019-12-22,2019-12-28,14.6,-6.8,32.4,29.0,6.4,1.4,16.6
2019-12-29,2020-01-04,45.0,1.2,18.2,77.2,-0.8,21.8,68.0
2020-01-05,2020-01-11,24.0,60.8,31.0,-11.0,-20.0,-27.8,-50.4
2020-01-12,2020-01-18,19.0,36.0,55.6,106.6,0.2,-20.8,7.4
2020-01-19,2020-01-25,1.4,-7.0,-22.6,3.4,-0.6,-45.4,-25.0
2020-01-26,2020-02-01,-1.0,-94.8,-17.8,-101.2,-16.2,-64.6,-62.6
2020-02-02,2020-02-08,-50.6,-54.2,0.0,-70.4,-8.4,-48.2,-77.2
2020-02-09,2020-02-15,33.6,60.6,25.8,-1.0,15.2,42.8,28.0
2020-02-16,2020-02-22,-57.4,112.4,-8.8,18.4,7.8,-18.4,29.6
2020-02-23,2020-02-29,8.0,-128.0,-11.2,-108.0,-42.6,-37.2,-81.6
2020-03-01,2020-03-07,-163.0,-80.0,-66.25,-163.25,-60.5,-51.25,-56.25
2020-03-08,2020-03-14,-100.2,-447.5,-283.75,-328.0,-72.25,-318.25,-204.75
2020-03-15,2020-03-21,45.0,-30.0,-70.0,127.0,4.6,-46.4,-49.4
2020-03-22,2020-03-28,50.4,170.0,-42.0,95.6,54.4,218.0,79.6
2020-03-29,2020-04-04,50.66666666666666,64.6,37.6,77.4,10.8,37.8,122.8
2020-04-05,2020-04-11,-12.0,125.33333333333333,5.666666666666667,93.0,7.666666666666667,189.33333333333334,95.0
2020-04-12,2020-04-18,-8.4,2.3333333333333335,-37.333333333333336,2.6666666666666665,11.333333333333334,-111.0,0.3333333333333333
2020-04-19,2020-04-25,101.66666666666669,91.8,-40.6,86.8,32.8,2.0,77.8
2020-04-26,2020-05-02,-20.2,107.66666666666667,179.33333333333334,33.0,12.666666666666666,-25.666666666666668,63.333333333333336
2020-05-03,2020-05-09,-52.4,-53.6,-24.6,-77.0,-26.6,-55.4,-49.8
