first_day_in_week,last_day_in_week,ZNKL_main_symb_weekly_mean_diff,ECP.TA_weekly_mean_diff_0.4,SHOM.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,0.6,23.8,-0.6
2019-03-17,2019-03-23,3.6,-25.0,1.44000244140625
2019-03-24,2019-03-30,13.6,15.0,3.3
2019-03-31,2019-04-06,11.6,-6.8,5.05999755859375
2019-04-07,2019-04-13,11.0,91.8,6.34000244140625
2019-04-14,2019-04-20,5.6,21.8,2.479998779296875
2019-04-21,2019-04-27,-15.0,2.8,1.979998779296875
2019-04-28,2019-05-04,-8.8,-16.4,-5.0
2019-05-05,2019-05-11,-6.4,-14.0,4.620001220703125
2019-05-12,2019-05-18,25.8,27.6,-1.620001220703125
2019-05-19,2019-05-25,-11.6,6.0,8.74000244140625
2019-05-26,2019-06-01,-5.2,-43.8,-6.54000244140625
2019-06-02,2019-06-08,-2.6,-16.2,4.8
2019-06-09,2019-06-15,-13.8,6.2,-3.820001220703125
2019-06-16,2019-06-22,0.2,-12.8,-0.639996337890625
2019-06-23,2019-06-29,8.8,-18.4,3.35999755859375
2019-06-30,2019-07-06,11.2,59.0,1.0599975585937613
2019-07-07,2019-07-13,0.0,-52.0,-0.5
2019-07-14,2019-07-20,-3.6,32.6,-0.6399963378906364
2019-07-21,2019-07-27,-16.8,21.2,5.95999755859375
2019-07-28,2019-08-03,8.8,79.4,1.94000244140625
2019-08-04,2019-08-10,-0.8,40.6,-4.520001220703125
2019-08-11,2019-08-17,4.2,47.4,1.14000244140625
2019-08-18,2019-08-24,-3.4,12.8,6.119995117187523
2019-08-25,2019-08-31,-5.0,-41.0,2.5800048828124544
2019-09-01,2019-09-07,-0.2,87.0,6.159997558593773
2019-09-08,2019-09-14,-9.25,-21.2,4.15999755859375
2019-09-15,2019-09-21,0.6,-69.0,-0.649993896484375
2019-09-22,2019-09-28,3.0,92.4,-1.94000244140625
2019-09-29,2019-10-05,9.333333333333334,-44.5,4.79998779296875
2019-10-06,2019-10-12,-0.6666666666666666,-10.333333333333334,6.900004069010417
2019-10-13,2019-10-19,-2.333333333333333,95.33333333333333,2.20001220703125
2019-10-20,2019-10-26,4.6,-83.33333333333333,4.133321126302083
2019-10-27,2019-11-02,9.6,30.6,8.05999755859375
2019-11-03,2019-11-09,-8.0,-28.6,6.6800048828125
2019-11-10,2019-11-16,27.0,20.8,5.4199951171875
2019-11-17,2019-11-23,8.4,86.2,4.7800048828125
2019-11-24,2019-11-30,-1.6,8.0,-6.0
2019-12-01,2019-12-07,15.4,-27.2,-5.7800048828125
2019-12-08,2019-12-14,28.4,-25.4,-5.1
2019-12-15,2019-12-21,-20.0,22.6,13.24000244140625
2019-12-22,2019-12-28,28.4,10.0,3.6800048828125
2019-12-29,2020-01-04,-15.4,-2.0,12.07999267578125
2020-01-05,2020-01-11,-4.6,69.2,23.00000000000002
2020-01-12,2020-01-18,-29.8,-68.4,-10.739990234375023
2020-01-19,2020-01-25,-0.8,5.4,-0.84000244140625
2020-01-26,2020-02-01,-2.6,107.6,-3.3800048828125
2020-02-02,2020-02-08,1.0,32.8,15.34000244140625
2020-02-09,2020-02-15,24.2,45.8,-6.5199951171875
2020-02-16,2020-02-22,-6.0,-69.8,19.27999267578125
2020-02-23,2020-02-29,24.25,-86.6,-20.4
2020-03-01,2020-03-07,-61.5,-112.5,-40.44999694824219
2020-03-08,2020-03-14,-39.6,-242.75,-62.275001525878906
2020-03-15,2020-03-21,47.4,48.2,-2.179998779296875
2020-03-22,2020-03-28,65.0,215.4,37.6
2020-03-29,2020-04-04,-64.33333333333333,-131.6,-6.44000244140625
2020-04-05,2020-04-11,3.0,170.33333333333334,11.599995930989584
2020-04-12,2020-04-18,22.8,-13.333333333333334,12.5
2020-04-19,2020-04-25,16.333333333333332,66.0,10.52000732421875
2020-04-26,2020-05-02,2.0,68.33333333333333,27.133321126302082
2020-05-03,2020-05-09,-10.2,-25.0,-9.2199951171875
2020-05-10,2020-05-16,9.0,2.2,-23.2800048828125
2020-05-17,2020-05-23,2.5,75.4,13.8
2020-05-24,2020-05-30,-6.2,260.5,-8.17498779296875
2020-05-31,2020-06-06,-6.5,4.2,1.1199951171875
2020-06-07,2020-06-13,-22.0,-35.25,-11.524993896484375
2020-06-14,2020-06-20,11.6,78.0,-0.72000732421875
2020-06-21,2020-06-27,-18.0,-26.0,-5.55999755859375
2020-06-28,2020-07-04,-3.2,25.99993896484375,11.500001144409179
2020-07-05,2020-07-11,1.6,-122.39993896484376,-13.440003585815429
2020-07-12,2020-07-18,1.8,282.6,1.32000732421875
2020-07-19,2020-07-25,37.25,-46.2,8.639990234375
2020-07-26,2020-08-01,,10.25,-4.75
