,open,high,low,close,adjclose,volume,ticker
2018-09-30,4216.0,4216.0,4216.0,4216.0,4216.0,0,ALBA.TA
2018-10-01,4216.0,4216.0,4216.0,4216.0,4216.0,0,ALBA.TA
2018-10-02,4216.0,4256.0,4150.0,4254.0,4254.0,3816,ALBA.TA
2018-10-03,4254.0,4360.0,4233.0,4331.0,4331.0,6437,ALBA.TA
2018-10-04,4331.0,4357.0,4222.0,4342.0,4342.0,2197,ALBA.TA
2018-10-07,4342.0,4319.0,4247.0,4318.0,4318.0,1568,ALBA.TA
2018-10-08,4318.0,4319.0,4225.0,4255.0,4255.0,9812,ALBA.TA
2018-10-09,4255.0,4320.0,4221.0,4281.0,4281.0,55022,ALBA.TA
2018-10-10,4281.0,4315.0,4268.0,4311.0,4311.0,17709,ALBA.TA
2018-10-11,4300.0,4300.0,4153.0,4294.0,4294.0,5119,ALBA.TA
2018-10-14,4294.0,4305.0,4281.0,4293.0,4293.0,2822,ALBA.TA
2018-10-15,4293.0,4270.0,4222.0,4230.0,4230.0,1721,ALBA.TA
2018-10-16,4170.0,4243.0,4170.0,4236.0,4236.0,5582,ALBA.TA
2018-10-17,4170.0,4199.0,4157.0,4186.0,4186.0,7526,ALBA.TA
2018-10-18,4186.0,4243.0,4191.0,4221.0,4221.0,4921,ALBA.TA
2018-10-21,4221.0,4211.0,4151.0,4177.0,4177.0,4932,ALBA.TA
2018-10-22,4177.0,4199.0,4177.0,4187.0,4187.0,3900,ALBA.TA
2018-10-23,4187.0,4161.0,4068.0,4086.0,4086.0,2838,ALBA.TA
2018-10-24,4081.0,4101.0,4075.0,4086.0,4086.0,2609,ALBA.TA
2018-10-25,4000.0,4089.0,3826.0,4042.0,4042.0,4763,ALBA.TA
2018-10-28,3869.0,4035.0,3868.0,3994.0,3994.0,2025,ALBA.TA
2018-10-29,3994.0,3975.0,3936.0,3957.0,3957.0,1801,ALBA.TA
2018-10-30,3957.0,3957.0,3957.0,3957.0,3957.0,0,ALBA.TA
2018-10-31,3957.0,3958.0,3881.0,3896.0,3896.0,10634,ALBA.TA
2018-11-01,3896.0,3943.0,3855.0,3860.0,3860.0,10156,ALBA.TA
2018-11-04,3860.0,3925.0,3894.0,3920.0,3920.0,15719,ALBA.TA
2018-11-05,3920.0,3955.0,3841.0,3932.0,3932.0,4196,ALBA.TA
2018-11-06,3932.0,3921.0,3886.0,3901.0,3901.0,3043,ALBA.TA
2018-11-07,3901.0,3920.0,3887.0,3900.0,3900.0,1701,ALBA.TA
2018-11-08,3822.0,3864.0,3800.0,3801.0,3801.0,4357,ALBA.TA
2018-11-11,3801.0,3849.0,3794.0,3839.0,3839.0,6505,ALBA.TA
2018-11-12,3862.0,3894.0,3839.0,3873.0,3873.0,5956,ALBA.TA
2018-11-13,3873.0,3999.0,3894.0,3941.0,3941.0,3861,ALBA.TA
2018-11-14,3941.0,4008.0,3960.0,3986.0,3986.0,2380,ALBA.TA
2018-11-15,3986.0,4150.0,4028.0,4052.0,4052.0,1359,ALBA.TA
2018-11-18,4090.0,4118.0,4090.0,4105.0,4105.0,1386,ALBA.TA
2018-11-19,4105.0,4189.0,4100.0,4171.0,4171.0,1391,ALBA.TA
2018-11-20,4171.0,4187.0,4140.0,4155.0,4155.0,3547,ALBA.TA
2018-11-21,4155.0,4177.0,4128.0,4137.0,4137.0,2966,ALBA.TA
2018-11-22,4137.0,4143.0,4050.0,4131.0,4131.0,2419,ALBA.TA
2018-11-25,4131.0,4139.0,4048.0,4107.0,4107.0,871,ALBA.TA
2018-11-26,4107.0,4139.0,4086.0,4098.0,4098.0,729,ALBA.TA
2018-11-27,4098.0,4130.0,4037.0,4094.0,4094.0,1229,ALBA.TA
2018-11-28,4094.0,4101.0,3621.0,3701.0,3701.0,16219,ALBA.TA
2018-11-29,3701.0,3701.0,3578.0,3604.0,3604.0,43242,ALBA.TA
2018-12-02,3604.0,3701.0,3604.0,3695.0,3695.0,17302,ALBA.TA
2018-12-03,3695.0,3707.0,3695.0,3700.0,3700.0,6739,ALBA.TA
2018-12-04,3700.0,3725.0,3683.0,3710.0,3710.0,5944,ALBA.TA
2018-12-05,3710.0,3725.0,3694.0,3707.0,3707.0,1255,ALBA.TA
2018-12-06,3707.0,3749.0,3650.0,3749.0,3749.0,7876,ALBA.TA
2018-12-09,3749.0,3796.0,3748.0,3780.0,3780.0,1027,ALBA.TA
2018-12-10,3780.0,3697.0,3652.0,3666.0,3666.0,1160,ALBA.TA
2018-12-11,3654.0,3666.0,3582.0,3623.0,3623.0,3392,ALBA.TA
2018-12-12,3580.0,3655.0,3580.0,3600.0,3600.0,4279,ALBA.TA
2018-12-13,3580.0,3586.0,3531.0,3547.0,3547.0,4083,ALBA.TA
2018-12-16,3547.0,3488.0,3430.0,3436.0,3436.0,1017,ALBA.TA
2018-12-17,3436.0,3421.0,3260.0,3299.0,3299.0,5826,ALBA.TA
2018-12-18,3299.0,3260.0,3244.0,3253.0,3253.0,5335,ALBA.TA
2018-12-19,3253.0,3252.0,3198.0,3213.0,3213.0,3132,ALBA.TA
2018-12-20,3213.0,3212.0,3182.0,3196.0,3196.0,6874,ALBA.TA
2018-12-23,3196.0,3172.0,2998.0,3089.0,3089.0,6872,ALBA.TA
2018-12-24,3000.0,3150.0,3000.0,3066.0,3066.0,11163,ALBA.TA
2018-12-25,2976.0,3046.0,2926.0,2986.0,2986.0,8615,ALBA.TA
2018-12-26,2986.0,3016.0,2920.0,2984.0,2984.0,14829,ALBA.TA
2018-12-27,3000.0,3000.0,2940.0,2949.0,2949.0,13901,ALBA.TA
2018-12-30,2877.0,3000.0,2877.0,2988.0,2988.0,8470,ALBA.TA
2018-12-31,2988.0,3041.0,2988.0,3016.0,3016.0,10436,ALBA.TA
2019-01-01,3016.0,3197.0,3016.0,3126.0,3126.0,4833,ALBA.TA
2019-01-02,3126.0,3405.0,3150.0,3335.0,3335.0,14224,ALBA.TA
2019-01-03,3335.0,3339.0,3304.0,3335.0,3335.0,5145,ALBA.TA
2019-01-06,3335.0,3469.0,3331.0,3345.0,3345.0,6477,ALBA.TA
2019-01-07,3345.0,3393.0,3341.0,3344.0,3344.0,9361,ALBA.TA
2019-01-08,3385.0,3385.0,3383.0,3384.0,3384.0,3025,ALBA.TA
2019-01-09,3384.0,3409.0,3352.0,3396.0,3396.0,5777,ALBA.TA
2019-01-10,3352.0,3532.0,3350.0,3366.0,3366.0,9533,ALBA.TA
2019-01-13,3366.0,3366.0,3326.0,3366.0,3366.0,5580,ALBA.TA
2019-01-14,3366.0,3379.0,3316.0,3369.0,3369.0,2625,ALBA.TA
2019-01-15,3400.0,3425.0,3399.0,3402.0,3402.0,8054,ALBA.TA
