,open,high,low,close,adjclose,volume,ticker
2018-09-30,11450.0,11450.0,11450.0,11450.0,11153.0693359375,0,ALRPR.TA
2018-10-01,11450.0,11450.0,11450.0,11450.0,11153.0693359375,0,ALRPR.TA
2018-10-02,11600.0,11610.0,11410.0,11570.0,11269.9580078125,22444,ALRPR.TA
2018-10-03,11570.0,11650.0,11480.0,11590.0,11289.439453125,2860,ALRPR.TA
2018-10-04,11590.0,11590.0,11400.0,11400.0,11104.3662109375,9112,ALRPR.TA
2018-10-07,11400.0,11390.0,11290.0,11360.0,11065.404296875,2577,ALRPR.TA
2018-10-08,11360.0,11350.0,11230.0,11270.0,10977.7373046875,8445,ALRPR.TA
2018-10-09,11300.0,11300.0,10940.0,11230.0,10938.775390625,8468,ALRPR.TA
2018-10-10,11200.0,11300.0,10970.0,11050.0,10763.4423828125,42468,ALRPR.TA
2018-10-11,10720.0,11020.0,10720.0,10900.0,10617.33203125,9727,ALRPR.TA
2018-10-14,10930.0,11100.0,10900.0,10940.0,10656.2958984375,2653,ALRPR.TA
2018-10-15,10940.0,11150.0,10820.0,11010.0,10724.4794921875,3177,ALRPR.TA
2018-10-16,10790.0,11290.0,10790.0,11230.0,10938.775390625,3650,ALRPR.TA
2018-10-17,10970.0,11310.0,10970.0,11300.0,11006.9599609375,2316,ALRPR.TA
2018-10-18,11300.0,11370.0,11290.0,11310.0,11016.7001953125,3104,ALRPR.TA
2018-10-21,11340.0,11360.0,11300.0,11320.0,11026.44140625,2102,ALRPR.TA
2018-10-22,11320.0,11400.0,11280.0,11390.0,11094.625,3940,ALRPR.TA
2018-10-23,11140.0,11320.0,11070.0,11150.0,10860.849609375,11389,ALRPR.TA
2018-10-24,11150.0,11280.0,11160.0,11220.0,10929.0341796875,3547,ALRPR.TA
2018-10-25,10860.0,11370.0,10860.0,11340.0,11045.9228515625,7166,ALRPR.TA
2018-10-28,11310.0,11350.0,11250.0,11270.0,10977.7373046875,5120,ALRPR.TA
2018-10-29,11300.0,11470.0,11290.0,11390.0,11094.625,4487,ALRPR.TA
2018-10-30,11390.0,11390.0,11390.0,11390.0,11094.625,0,ALRPR.TA
2018-10-31,11100.0,11490.0,11100.0,11440.0,11143.330078125,4710,ALRPR.TA
2018-11-01,11560.0,11560.0,11420.0,11530.0,11230.9951171875,3728,ALRPR.TA
2018-11-04,11530.0,11530.0,11460.0,11520.0,11221.2548828125,3331,ALRPR.TA
2018-11-05,11570.0,11570.0,11350.0,11380.0,11084.8857421875,3408,ALRPR.TA
2018-11-06,11380.0,11390.0,11200.0,11220.0,10929.0341796875,1971,ALRPR.TA
2018-11-07,11220.0,11360.0,11090.0,11320.0,11026.44140625,2611,ALRPR.TA
2018-11-08,11320.0,11500.0,11290.0,11430.0,11133.5888671875,4895,ALRPR.TA
2018-11-11,11430.0,11370.0,11120.0,11320.0,11026.44140625,1721,ALRPR.TA
2018-11-12,11320.0,11380.0,11120.0,11190.0,10899.8115234375,4672,ALRPR.TA
2018-11-13,11190.0,11250.0,11100.0,11240.0,10948.515625,2745,ALRPR.TA
2018-11-14,11430.0,11430.0,11220.0,11400.0,11104.3662109375,2422,ALRPR.TA
2018-11-15,11400.0,11430.0,11270.0,11320.0,11026.44140625,3941,ALRPR.TA
2018-11-18,11310.0,11340.0,11250.0,11280.0,10987.4775390625,1014,ALRPR.TA
2018-11-19,11280.0,11310.0,11170.0,11240.0,10948.515625,2054,ALRPR.TA
2018-11-20,11490.0,11490.0,10980.0,11070.0,10782.9248046875,5011,ALRPR.TA
2018-11-21,11070.0,11220.0,10900.0,11010.0,10724.4794921875,4561,ALRPR.TA
2018-11-22,11010.0,11060.0,10900.0,10980.0,10695.259765625,3402,ALRPR.TA
2018-11-25,10980.0,11050.0,10900.0,11000.0,10714.7392578125,1596,ALRPR.TA
2018-11-26,11000.0,11040.0,10690.0,10790.0,10510.185546875,2762,ALRPR.TA
2018-11-27,11000.0,11000.0,10530.0,10580.0,10305.6318359375,5946,ALRPR.TA
2018-11-28,10810.0,11150.0,10670.0,11080.0,10792.6640625,10242,ALRPR.TA
2018-11-29,11100.0,11250.0,11100.0,11210.0,10919.2939453125,4683,ALRPR.TA
2018-12-02,11210.0,11420.0,11290.0,11390.0,11094.625,2614,ALRPR.TA
2018-12-03,11390.0,11560.0,11400.0,11430.0,11133.5888671875,4061,ALRPR.TA
2018-12-04,11430.0,11430.0,11270.0,11310.0,11016.7001953125,6274,ALRPR.TA
2018-12-05,11210.0,11550.0,11120.0,11550.0,11351.8505859375,14175,ALRPR.TA
2018-12-06,11520.0,11540.0,11400.0,11500.0,11302.708984375,16149,ALRPR.TA
2018-12-09,11490.0,11640.0,11460.0,11570.0,11371.5068359375,3413,ALRPR.TA
2018-12-10,11580.0,11580.0,11350.0,11410.0,11214.251953125,6591,ALRPR.TA
2018-12-11,11410.0,11480.0,11410.0,11430.0,11233.91015625,4180,ALRPR.TA
2018-12-12,11520.0,11520.0,11160.0,11160.0,10968.5419921875,10997,ALRPR.TA
2018-12-13,11180.0,11200.0,11080.0,11100.0,10909.5703125,3125,ALRPR.TA
2018-12-16,11100.0,11130.0,10940.0,11020.0,10830.9423828125,6180,ALRPR.TA
2018-12-17,10860.0,11080.0,10860.0,10980.0,10791.62890625,9820,ALRPR.TA
2018-12-18,11000.0,11000.0,10810.0,10850.0,10663.859375,4927,ALRPR.TA
2018-12-19,10850.0,11110.0,10830.0,10990.0,10801.4580078125,13451,ALRPR.TA
2018-12-20,10750.0,10950.0,10750.0,10820.0,10634.375,10264,ALRPR.TA
2018-12-23,10720.0,10880.0,10120.0,10650.0,10467.291015625,13646,ALRPR.TA
2018-12-24,10650.0,10780.0,10230.0,10400.0,10221.580078125,11320,ALRPR.TA
2018-12-25,10000.0,10630.0,10000.0,10510.0,10329.6923828125,8489,ALRPR.TA
2018-12-26,10480.0,10800.0,10480.0,10730.0,10545.91796875,15549,ALRPR.TA
2018-12-27,10980.0,11010.0,10670.0,10730.0,10545.91796875,13867,ALRPR.TA
2018-12-30,10740.0,11110.0,10710.0,10990.0,10801.4580078125,13427,ALRPR.TA
2018-12-31,10890.0,11560.0,10930.0,11300.0,11211.6240234375,15423,ALRPR.TA
2019-01-01,11300.0,11630.0,11280.0,11550.0,11459.6689453125,12462,ALRPR.TA
2019-01-02,11110.0,11530.0,11110.0,11240.0,11152.0927734375,33156,ALRPR.TA
2019-01-03,11210.0,11260.0,11050.0,11240.0,11152.0927734375,16502,ALRPR.TA
2019-01-06,11270.0,11530.0,11270.0,11380.0,11290.9990234375,29088,ALRPR.TA
2019-01-07,11380.0,11540.0,11070.0,11480.0,11390.216796875,5541,ALRPR.TA
2019-01-08,11480.0,11790.0,11480.0,11610.0,11519.19921875,5220,ALRPR.TA
2019-01-09,11610.0,11640.0,11380.0,11380.0,11290.9990234375,5149,ALRPR.TA
2019-01-10,11380.0,11390.0,11030.0,11140.0,11052.8759765625,4458,ALRPR.TA
2019-01-13,11500.0,11500.0,10840.0,11050.0,10963.5791015625,4441,ALRPR.TA
2019-01-14,11050.0,11050.0,10720.0,10730.0,10646.08203125,2575,ALRPR.TA
2019-01-15,10730.0,10830.0,10750.0,10810.0,10725.4560546875,3347,ALRPR.TA
2019-01-16,11000.0,11000.0,10730.0,10770.0,10685.76953125,4564,ALRPR.TA
2019-01-17,10770.0,10860.0,10610.0,10700.0,10616.3173828125,3567,ALRPR.TA
2019-01-20,10940.0,10940.0,10550.0,10620.0,10536.9423828125,5361,ALRPR.TA
2019-01-21,10630.0,10670.0,10530.0,10560.0,10477.4111328125,1516,ALRPR.TA
2019-01-22,10560.0,10650.0,10420.0,10470.0,10388.115234375,5469,ALRPR.TA
2019-01-23,10470.0,10570.0,10350.0,10380.0,10298.8193359375,3247,ALRPR.TA
2019-01-24,10380.0,10530.0,10330.0,10380.0,10298.8193359375,3678,ALRPR.TA
2019-01-27,10380.0,10510.0,10350.0,10350.0,10269.0537109375,4531,ALRPR.TA
2019-01-28,10350.0,10500.0,10310.0,10320.0,10239.2880859375,6671,ALRPR.TA
2019-01-29,10320.0,10450.0,10300.0,10320.0,10239.2880859375,13211,ALRPR.TA
2019-01-30,10320.0,10580.0,10350.0,10550.0,10467.490234375,7967,ALRPR.TA
2019-01-31,10600.0,10830.0,10590.0,10760.0,10675.84765625,9330,ALRPR.TA
2019-02-03,10760.0,10810.0,10500.0,10770.0,10685.76953125,4506,ALRPR.TA
2019-02-04,10840.0,11170.0,10810.0,11090.0,11003.2666015625,8766,ALRPR.TA
2019-02-05,11090.0,11500.0,11140.0,11300.0,11211.6240234375,12668,ALRPR.TA
2019-02-06,11450.0,11450.0,11200.0,11320.0,11231.4677734375,12296,ALRPR.TA
2019-02-07,11320.0,11370.0,11300.0,11300.0,11211.6240234375,327372,ALRPR.TA
2019-02-10,11500.0,11630.0,11340.0,11480.0,11390.216796875,18755,ALRPR.TA
2019-02-11,11300.0,11560.0,11300.0,11540.0,11449.7470703125,5951,ALRPR.TA
2019-02-12,11540.0,11790.0,11540.0,11730.0,11638.2607421875,8930,ALRPR.TA
2019-02-13,11730.0,11820.0,11500.0,11700.0,11608.4951171875,5020,ALRPR.TA
2019-02-14,11790.0,11790.0,11570.0,11630.0,11539.04296875,1926,ALRPR.TA
2019-02-17,11860.0,11860.0,11640.0,11720.0,11628.33984375,1899,ALRPR.TA
2019-02-18,11850.0,11850.0,11610.0,11660.0,11568.80859375,5591,ALRPR.TA
2019-02-19,11660.0,11690.0,11390.0,11680.0,11588.65234375,8962,ALRPR.TA
2019-02-20,11650.0,11840.0,11650.0,11830.0,11737.4794921875,9060,ALRPR.TA
2019-02-21,11900.0,11900.0,11660.0,11730.0,11638.2607421875,4708,ALRPR.TA
2019-02-24,11730.0,11880.0,11730.0,11830.0,11737.4794921875,4794,ALRPR.TA
2019-02-25,11850.0,12040.0,11800.0,12010.0,11916.0712890625,12924,ALRPR.TA
2019-02-26,12130.0,12130.0,11790.0,11910.0,11816.853515625,4804,ALRPR.TA
2019-02-27,11910.0,11920.0,11820.0,11880.0,11787.087890625,1769,ALRPR.TA
2019-02-28,11880.0,11950.0,11750.0,11870.0,11777.166015625,5092,ALRPR.TA
2019-03-03,11710.0,11970.0,11710.0,11920.0,11826.775390625,637,ALRPR.TA
2019-03-04,11880.0,12070.0,11880.0,12030.0,11935.9150390625,4849,ALRPR.TA
2019-03-05,12080.0,12100.0,11880.0,12000.0,11906.1494140625,3517,ALRPR.TA
2019-03-06,12060.0,12060.0,11880.0,11970.0,11876.3837890625,4578,ALRPR.TA
2019-03-07,11970.0,11970.0,11760.0,11880.0,11787.087890625,7358,ALRPR.TA
2019-03-10,11920.0,11920.0,11730.0,11850.0,11757.322265625,1285,ALRPR.TA
2019-03-11,11850.0,12030.0,11800.0,12020.0,11925.9931640625,2570,ALRPR.TA
2019-03-12,12100.0,12190.0,11950.0,12020.0,11925.9931640625,9696,ALRPR.TA
2019-03-13,12020.0,12190.0,11880.0,12160.0,12064.8974609375,12902,ALRPR.TA
2019-03-14,12000.0,12250.0,12000.0,12240.0,12144.2724609375,8490,ALRPR.TA
2019-03-17,12320.0,12370.0,12230.0,12250.0,12154.1943359375,4153,ALRPR.TA
2019-03-18,12430.0,12430.0,12090.0,12200.0,12104.5859375,3347,ALRPR.TA
2019-03-19,12200.0,12350.0,12200.0,12250.0,12154.1943359375,7716,ALRPR.TA
2019-03-20,12480.0,12480.0,12180.0,12240.0,12144.2724609375,3176,ALRPR.TA
2019-03-21,12240.0,12240.0,12240.0,12240.0,12144.2724609375,0,ALRPR.TA
2019-03-24,12390.0,12390.0,11950.0,12160.0,12064.8974609375,4344,ALRPR.TA
2019-03-25,12020.0,12100.0,11960.0,12010.0,11916.0712890625,3571,ALRPR.TA
2019-03-26,12110.0,12340.0,12090.0,12270.0,12174.0380859375,3373,ALRPR.TA
2019-03-27,12350.0,12410.0,12300.0,12390.0,12293.099609375,6316,ALRPR.TA
2019-03-28,12310.0,12590.0,12310.0,12470.0,12372.4736328125,9491,ALRPR.TA
2019-03-31,12670.0,12670.0,12460.0,12550.0,12451.84765625,1945,ALRPR.TA
2019-04-01,12690.0,12910.0,12690.0,12880.0,12779.267578125,12692,ALRPR.TA
2019-04-02,12940.0,12940.0,12700.0,12770.0,12670.126953125,2512,ALRPR.TA
2019-04-03,12630.0,12910.0,12630.0,12880.0,12779.267578125,3605,ALRPR.TA
2019-04-04,12940.0,12940.0,12530.0,12530.0,12432.00390625,14227,ALRPR.TA
2019-04-07,12650.0,12780.0,12460.0,12590.0,12491.53515625,4676,ALRPR.TA
2019-04-08,12920.0,12920.0,12340.0,12630.0,12531.22265625,5835,ALRPR.TA
2019-04-09,12630.0,12630.0,12630.0,12630.0,12531.22265625,0,ALRPR.TA
2019-04-10,12700.0,12730.0,12450.0,12580.0,12543.6865234375,6104,ALRPR.TA
2019-04-11,12600.0,12760.0,12370.0,12460.0,12424.033203125,7284,ALRPR.TA
2019-04-14,12810.0,12830.0,12610.0,12800.0,12763.0517578125,1962,ALRPR.TA
2019-04-15,12860.0,12890.0,12530.0,12640.0,12603.513671875,4204,ALRPR.TA
2019-04-16,12640.0,13120.0,12640.0,13090.0,13052.21484375,6338,ALRPR.TA
2019-04-17,13090.0,13280.0,12960.0,13100.0,13062.185546875,3521,ALRPR.TA
2019-04-18,13290.0,13290.0,12850.0,12910.0,12872.734375,4224,ALRPR.TA
2019-04-21,13250.0,13250.0,12910.0,13020.0,12982.4169921875,1053,ALRPR.TA
2019-04-22,13290.0,13290.0,12980.0,13010.0,12972.4453125,850,ALRPR.TA
2019-04-23,13010.0,13090.0,12910.0,12990.0,12952.5029296875,2533,ALRPR.TA
2019-04-24,13270.0,13270.0,12760.0,12980.0,12942.5322265625,2003,ALRPR.TA
2019-04-25,12980.0,12980.0,12980.0,12980.0,12942.5322265625,0,ALRPR.TA
