,open,high,low,close,adjclose,volume,ticker
2018-09-30,175.0,175.0,175.0,175.0,127.68267822265625,0,ARYT.TA
2018-10-01,175.0,175.0,175.0,175.0,127.68267822265625,0,ARYT.TA
2018-10-02,175.0,176.0,174.10000610351562,174.3000030517578,127.17195892333984,48078,ARYT.TA
2018-10-03,174.3000030517578,174.3000030517578,172.39999389648438,172.6999969482422,126.00456237792969,46364,ARYT.TA
2018-10-04,172.89999389648438,173.0,171.0,172.0,125.49384307861328,56077,ARYT.TA
2018-10-07,168.5,169.89999389648438,168.5,168.6999969482422,123.08610534667969,40836,ARYT.TA
2018-10-08,168.6999969482422,171.0,166.0,168.8000030517578,123.15907287597656,120555,ARYT.TA
2018-10-09,168.10000610351562,175.0,166.5,172.39999389648438,125.78568267822266,152317,ARYT.TA
2018-10-10,172.39999389648438,176.89999389648438,170.5,172.89999389648438,126.15048217773438,56099,ARYT.TA
2018-10-11,172.89999389648438,176.5,166.0,171.3000030517578,124.98310852050781,83197,ARYT.TA
2018-10-14,171.3000030517578,176.6999969482422,170.0,172.89999389648438,126.15048217773438,16951,ARYT.TA
2018-10-15,172.89999389648438,170.8000030517578,166.1999969482422,168.10000610351562,122.64834594726562,69492,ARYT.TA
2018-10-16,168.10000610351562,171.3000030517578,168.10000610351562,170.5,124.39940643310547,151339,ARYT.TA
2018-10-17,170.0,170.5,168.5,169.6999969482422,123.81571197509766,49241,ARYT.TA
2018-10-18,161.0,167.89999389648438,161.0,164.5,120.021728515625,90851,ARYT.TA
2018-10-21,164.1999969482422,165.0,162.6999969482422,163.6999969482422,119.43801879882812,29666,ARYT.TA
2018-10-22,163.6999969482422,170.89999389648438,164.89999389648438,167.5,122.21055603027344,82366,ARYT.TA
2018-10-23,167.5,167.0,162.1999969482422,162.89999389648438,118.85433197021484,76402,ARYT.TA
2018-10-24,163.0,166.3000030517578,163.0,163.8000030517578,119.51099395751953,45869,ARYT.TA
2018-10-25,163.8000030517578,165.5,161.8000030517578,164.10000610351562,119.72987365722656,29568,ARYT.TA
2018-10-28,162.89999389648438,164.0,161.10000610351562,163.5,119.2921142578125,36217,ARYT.TA
2018-10-29,163.5,163.39999389648438,161.0,161.5,117.83287811279297,47127,ARYT.TA
2018-10-30,161.5,161.5,161.5,161.5,117.83287811279297,0,ARYT.TA
2018-10-31,161.5,163.10000610351562,160.1999969482422,160.60000610351562,117.17623138427734,24628,ARYT.TA
2018-11-01,161.5,161.5,159.0,159.3000030517578,116.22772216796875,51158,ARYT.TA
2018-11-04,157.0,158.8000030517578,157.0,158.0,115.27922058105469,85618,ARYT.TA
2018-11-05,158.0,168.0,158.6999969482422,164.0,119.65691375732422,221233,ARYT.TA
2018-11-06,164.0,164.10000610351562,162.5,163.39999389648438,119.2191390991211,7861,ARYT.TA
2018-11-07,163.39999389648438,163.6999969482422,162.0,162.8000030517578,118.7813720703125,55435,ARYT.TA
2018-11-08,162.0,162.10000610351562,161.10000610351562,161.6999969482422,117.97879791259766,50244,ARYT.TA
2018-11-11,160.5,160.89999389648438,159.0,160.10000610351562,116.81141662597656,71316,ARYT.TA
2018-11-12,160.10000610351562,159.39999389648438,158.1999969482422,159.0,116.00883483886719,17234,ARYT.TA
2018-11-13,157.8000030517578,159.39999389648438,157.0,157.89999389648438,115.20624542236328,62718,ARYT.TA
2018-11-14,157.89999389648438,157.10000610351562,155.3000030517578,156.39999389648438,114.11182403564453,60721,ARYT.TA
2018-11-15,156.39999389648438,158.6999969482422,156.6999969482422,157.3000030517578,114.76849365234375,7618,ARYT.TA
2018-11-18,157.3000030517578,157.89999389648438,155.1999969482422,157.10000610351562,114.62257385253906,63870,ARYT.TA
2018-11-19,157.10000610351562,156.60000610351562,155.3000030517578,155.60000610351562,113.52814483642578,37773,ARYT.TA
2018-11-20,155.0,155.0,151.3000030517578,152.0,110.90152740478516,61044,ARYT.TA
2018-11-21,150.0,152.8000030517578,149.0,151.1999969482422,110.31783294677734,40948,ARYT.TA
2018-11-22,150.5,150.5,148.39999389648438,149.39999389648438,109.00453186035156,128814,ARYT.TA
