,open,high,low,close,adjclose,volume,ticker
2018-09-30,2345.0,2345.0,2345.0,2345.0,2345.0,0,AYAL.TA
2018-10-01,2345.0,2345.0,2345.0,2345.0,2345.0,0,AYAL.TA
2018-10-02,2345.0,2404.0,2358.0,2372.0,2372.0,2100,AYAL.TA
2018-10-03,2372.0,2395.0,2306.0,2355.0,2355.0,3785,AYAL.TA
2018-10-04,2355.0,2323.0,2299.0,2299.0,2299.0,31440,AYAL.TA
2018-10-07,2299.0,2312.0,2301.0,2308.0,2308.0,1516,AYAL.TA
2018-10-08,2308.0,2325.0,2291.0,2309.0,2309.0,198,AYAL.TA
2018-10-09,2309.0,2302.0,2260.0,2297.0,2297.0,9010,AYAL.TA
2018-10-10,2297.0,2316.0,2264.0,2296.0,2296.0,504,AYAL.TA
2018-10-11,2215.0,2294.0,2200.0,2252.0,2252.0,5925,AYAL.TA
2018-10-14,2252.0,2349.0,2252.0,2274.0,2274.0,5863,AYAL.TA
2018-10-15,2274.0,2267.0,2241.0,2248.0,2248.0,3022,AYAL.TA
2018-10-16,2248.0,2267.0,2220.0,2251.0,2251.0,502,AYAL.TA
2018-10-17,2249.0,2286.0,2184.0,2238.0,2238.0,310,AYAL.TA
2018-10-18,2238.0,2237.0,2235.0,2236.0,2236.0,1676,AYAL.TA
2018-10-21,2236.0,2215.0,2215.0,2215.0,2215.0,867,AYAL.TA
2018-10-22,2215.0,2254.0,2213.0,2235.0,2235.0,481,AYAL.TA
2018-10-23,2235.0,2217.0,2156.0,2177.0,2177.0,653,AYAL.TA
2018-10-24,2177.0,2236.0,2152.0,2190.0,2190.0,8743,AYAL.TA
2018-10-25,2190.0,2200.0,2102.0,2154.0,2154.0,4382,AYAL.TA
2018-10-28,2154.0,2214.0,2117.0,2186.0,2186.0,649,AYAL.TA
2018-10-29,2210.0,2210.0,2175.0,2203.0,2203.0,659,AYAL.TA
2018-10-30,2203.0,2203.0,2203.0,2203.0,2203.0,0,AYAL.TA
2018-10-31,2203.0,2263.0,2155.0,2229.0,2229.0,2712,AYAL.TA
2018-11-01,2380.0,2380.0,2235.0,2239.0,2239.0,1895,AYAL.TA
2018-11-04,2239.0,2311.0,2127.0,2268.0,2268.0,1395,AYAL.TA
2018-11-05,2268.0,2268.0,2265.0,2266.0,2266.0,218,AYAL.TA
2018-11-06,2266.0,2308.0,2249.0,2284.0,2284.0,434,AYAL.TA
2018-11-07,2284.0,2351.0,2284.0,2306.0,2306.0,9974,AYAL.TA
2018-11-08,2306.0,2400.0,2322.0,2378.0,2378.0,8883,AYAL.TA
2018-11-11,2378.0,2378.0,2378.0,2378.0,2378.0,196,AYAL.TA
2018-11-12,2430.0,2430.0,2298.0,2393.0,2393.0,2245,AYAL.TA
2018-11-13,2393.0,2374.0,2286.0,2334.0,2334.0,1539,AYAL.TA
2018-11-14,2365.0,2369.0,2280.0,2347.0,2347.0,3046,AYAL.TA
2018-11-15,2367.0,2367.0,2356.0,2356.0,2356.0,121,AYAL.TA
2018-11-18,2356.0,2356.0,2354.0,2354.0,2354.0,238,AYAL.TA
2018-11-19,2366.0,2366.0,2366.0,2366.0,2366.0,144,AYAL.TA
2018-11-20,2366.0,2360.0,2248.0,2267.0,2267.0,6382,AYAL.TA
2018-11-21,2350.0,2350.0,2266.0,2276.0,2276.0,23,AYAL.TA
2018-11-22,2344.0,2344.0,2344.0,2293.0,2293.0,22,AYAL.TA
2018-11-25,2293.0,2324.0,2301.0,2307.0,2307.0,329,AYAL.TA
2018-11-26,2324.0,2363.0,2262.0,2330.0,2330.0,33071,AYAL.TA
2018-11-27,2354.0,2359.0,2305.0,2325.0,2325.0,5914,AYAL.TA
2018-11-28,2325.0,2500.0,2271.0,2462.0,2462.0,34719,AYAL.TA
2018-11-29,2540.0,2540.0,2440.0,2471.0,2471.0,6178,AYAL.TA
2018-12-02,2510.0,2575.0,2482.0,2498.0,2498.0,29765,AYAL.TA
2018-12-03,2535.0,2535.0,2466.0,2481.0,2481.0,3529,AYAL.TA
2018-12-04,2481.0,2481.0,2433.0,2456.0,2456.0,3356,AYAL.TA
2018-12-05,2459.0,2459.0,2390.0,2418.0,2418.0,7101,AYAL.TA
2018-12-06,2420.0,2420.0,2361.0,2399.0,2399.0,4058,AYAL.TA
2018-12-09,2465.0,2465.0,2351.0,2377.0,2377.0,2852,AYAL.TA
2018-12-10,2415.0,2415.0,2232.0,2306.0,2306.0,41697,AYAL.TA
2018-12-11,2347.0,2347.0,2260.0,2290.0,2290.0,4398,AYAL.TA
2018-12-12,2315.0,2315.0,2246.0,2291.0,2291.0,6313,AYAL.TA
2018-12-13,2315.0,2320.0,2253.0,2287.0,2287.0,7381,AYAL.TA
2018-12-16,2326.0,2326.0,2260.0,2269.0,2269.0,5413,AYAL.TA
2018-12-17,2295.0,2295.0,2237.0,2275.0,2275.0,1938,AYAL.TA
2018-12-18,2275.0,2297.0,2220.0,2279.0,2279.0,3464,AYAL.TA
2018-12-19,2297.0,2345.0,2204.0,2291.0,2291.0,3773,AYAL.TA
2018-12-20,2291.0,2300.0,2227.0,2275.0,2275.0,1036,AYAL.TA
2018-12-23,2275.0,2239.0,2081.0,2166.0,2166.0,8027,AYAL.TA
2018-12-24,2166.0,2209.0,2065.0,2173.0,2173.0,3604,AYAL.TA
2018-12-25,2173.0,2169.0,2013.0,2163.0,2163.0,3699,AYAL.TA
2018-12-26,2212.0,2212.0,2181.0,2193.0,2193.0,467,AYAL.TA
2018-12-27,2212.0,2212.0,2089.0,2163.0,2163.0,3777,AYAL.TA
2018-12-30,2177.0,2199.0,2114.0,2163.0,2163.0,2061,AYAL.TA
2018-12-31,2210.0,2210.0,2165.0,2185.0,2185.0,1175,AYAL.TA
2019-01-01,2290.0,2300.0,2274.0,2283.0,2283.0,1033,AYAL.TA
2019-01-02,2276.0,2276.0,2211.0,2246.0,2246.0,2734,AYAL.TA
2019-01-03,2270.0,2276.0,2182.0,2253.0,2253.0,4664,AYAL.TA
2019-01-06,2276.0,2276.0,2260.0,2262.0,2262.0,1908,AYAL.TA
2019-01-07,2262.0,2259.0,2200.0,2225.0,2225.0,1465,AYAL.TA
2019-01-08,2275.0,2275.0,2171.0,2231.0,2231.0,4711,AYAL.TA
2019-01-09,2265.0,2265.0,2245.0,2248.0,2248.0,4375,AYAL.TA
2019-01-10,2276.0,2276.0,2255.0,2258.0,2258.0,4341,AYAL.TA
2019-01-13,2258.0,2256.0,2247.0,2250.0,2250.0,4562,AYAL.TA
2019-01-14,2250.0,2250.0,2238.0,2242.0,2242.0,2822,AYAL.TA
2019-01-15,2242.0,2380.0,2200.0,2268.0,2268.0,17481,AYAL.TA
2019-01-16,2295.0,2326.0,2240.0,2254.0,2254.0,8093,AYAL.TA
2019-01-17,2300.0,2300.0,2250.0,2272.0,2272.0,2024,AYAL.TA
2019-01-20,2359.0,2359.0,2322.0,2328.0,2328.0,2209,AYAL.TA
