,open,high,low,close,adjclose,volume,ticker
2018-09-30,143.10000610351562,143.10000610351562,143.10000610351562,143.10000610351562,143.10000610351562,0,BBYL.TA
2018-10-01,143.10000610351562,143.10000610351562,143.10000610351562,143.10000610351562,143.10000610351562,0,BBYL.TA
2018-10-02,142.0,148.0,140.0,146.5,146.5,223431,BBYL.TA
2018-10-03,146.89999389648438,148.89999389648438,143.3000030517578,145.0,145.0,23265,BBYL.TA
2018-10-04,147.0,147.0,141.0,143.3000030517578,143.3000030517578,105446,BBYL.TA
2018-10-07,143.3000030517578,140.6999969482422,140.6999969482422,141.5,141.5,987,BBYL.TA
2018-10-08,141.5,145.60000610351562,141.10000610351562,142.39999389648438,142.39999389648438,25673,BBYL.TA
2018-10-09,144.5,147.0,143.10000610351562,145.10000610351562,145.10000610351562,21596,BBYL.TA
2018-10-10,145.10000610351562,145.10000610351562,141.6999969482422,143.6999969482422,143.6999969482422,6780,BBYL.TA
2018-10-11,141.39999389648438,142.5,139.60000610351562,141.60000610351562,141.60000610351562,17840,BBYL.TA
2018-10-14,141.60000610351562,146.0,141.60000610351562,145.8000030517578,145.8000030517578,3070,BBYL.TA
2018-10-15,145.8000030517578,144.8000030517578,141.89999389648438,144.0,144.0,9413,BBYL.TA
2018-10-16,144.0,147.5,143.0,144.8000030517578,144.8000030517578,75959,BBYL.TA
2018-10-17,144.0,146.8000030517578,142.89999389648438,143.89999389648438,143.89999389648438,35987,BBYL.TA
2018-10-18,146.8000030517578,146.8000030517578,143.89999389648438,144.60000610351562,144.60000610351562,41382,BBYL.TA
2018-10-21,145.89999389648438,145.89999389648438,141.0,141.60000610351562,141.60000610351562,79449,BBYL.TA
2018-10-22,144.0,148.39999389648438,139.89999389648438,140.3000030517578,140.3000030517578,160887,BBYL.TA
2018-10-23,139.89999389648438,142.0,139.10000610351562,139.6999969482422,139.6999969482422,35301,BBYL.TA
2018-10-24,145.10000610351562,145.10000610351562,141.8000030517578,141.8000030517578,141.8000030517578,9776,BBYL.TA
2018-10-25,141.8000030517578,142.10000610351562,140.8000030517578,141.3000030517578,141.3000030517578,4209,BBYL.TA
2018-10-28,145.6999969482422,145.6999969482422,142.0,142.1999969482422,142.1999969482422,5292,BBYL.TA
2018-10-29,145.0,145.0,141.10000610351562,142.5,142.5,2361,BBYL.TA
2018-10-30,142.5,142.5,142.5,142.5,142.5,0,BBYL.TA
2018-10-31,142.5,142.5,140.0,140.10000610351562,140.10000610351562,20358,BBYL.TA
2018-11-01,140.10000610351562,139.10000610351562,135.3000030517578,135.60000610351562,135.60000610351562,304544,BBYL.TA
2018-11-04,135.60000610351562,146.0,135.60000610351562,144.5,144.5,794961,BBYL.TA
2018-11-05,144.5,147.5,141.0,142.39999389648438,142.39999389648438,106492,BBYL.TA
2018-11-06,142.39999389648438,141.3000030517578,140.0,140.39999389648438,140.39999389648438,24192,BBYL.TA
2018-11-07,144.1999969482422,145.0,141.39999389648438,144.0,144.0,67231,BBYL.TA
2018-11-08,144.0,145.39999389648438,143.10000610351562,143.8000030517578,143.8000030517578,29575,BBYL.TA
2018-11-11,143.8000030517578,145.8000030517578,141.60000610351562,143.5,143.5,34120,BBYL.TA
2018-11-12,144.89999389648438,146.0,140.89999389648438,143.39999389648438,143.39999389648438,43207,BBYL.TA
2018-11-13,143.39999389648438,148.60000610351562,141.5,145.10000610351562,145.10000610351562,152439,BBYL.TA
2018-11-14,145.10000610351562,144.60000610351562,142.0,144.1999969482422,144.1999969482422,4055,BBYL.TA
2018-11-15,144.1999969482422,146.89999389648438,139.10000610351562,140.89999389648438,140.89999389648438,208769,BBYL.TA
2018-11-18,143.0,143.0,138.1999969482422,139.39999389648438,139.39999389648438,40872,BBYL.TA
