,open,high,low,close,adjclose,volume,ticker
2018-09-30,4997.0,4997.0,4997.0,4997.0,4443.36328125,0,CLBV.TA
2018-10-01,4997.0,4997.0,4997.0,4997.0,4443.36328125,0,CLBV.TA
2018-10-02,4997.0,4967.0,4914.0,4935.0,4388.232421875,3220,CLBV.TA
2018-10-03,4935.0,4952.0,4933.0,4944.0,4396.23583984375,754,CLBV.TA
2018-10-04,4944.0,4939.0,4900.0,4900.0,4357.1103515625,4195,CLBV.TA
2018-10-07,4900.0,4901.0,4900.0,4900.0,4357.1103515625,1422,CLBV.TA
2018-10-08,4900.0,4903.0,4889.0,4895.0,4352.66455078125,220,CLBV.TA
2018-10-09,4895.0,4851.0,4851.0,4851.0,4313.5390625,353,CLBV.TA
2018-10-10,4851.0,4883.0,4826.0,4856.0,4317.98583984375,2244,CLBV.TA
2018-10-11,4826.0,4834.0,4762.0,4778.0,4248.6279296875,2456,CLBV.TA
2018-10-14,4778.0,4817.0,4780.0,4812.0,4278.8603515625,1692,CLBV.TA
2018-10-15,4812.0,4846.0,4725.0,4776.0,4246.84912109375,1063,CLBV.TA
2018-10-16,4776.0,4899.0,4802.0,4818.0,4284.19580078125,1730,CLBV.TA
2018-10-17,4765.0,4826.0,4765.0,4819.0,4285.0849609375,2715,CLBV.TA
2018-10-18,4819.0,4829.0,4823.0,4824.0,4289.53076171875,895,CLBV.TA
2018-10-21,4824.0,4848.0,4839.0,4842.0,4305.53662109375,1316,CLBV.TA
2018-10-22,4842.0,4938.0,4858.0,4891.0,4349.107421875,1607,CLBV.TA
2018-10-23,4891.0,4920.0,4821.0,4870.0,4330.4345703125,3607,CLBV.TA
2018-10-24,4870.0,4927.0,4850.0,4927.0,4381.119140625,8002,CLBV.TA
2018-10-25,4927.0,4932.0,4884.0,4928.0,4382.00830078125,5066,CLBV.TA
2018-10-28,4928.0,4980.0,4924.0,4973.0,4422.02294921875,6149,CLBV.TA
2018-10-29,4973.0,5032.0,4973.0,4998.0,4444.2529296875,972,CLBV.TA
2018-10-30,4998.0,4998.0,4998.0,4998.0,4444.2529296875,0,CLBV.TA
2018-10-31,4998.0,5027.0,4900.0,5003.0,4448.6982421875,92928,CLBV.TA
2018-11-01,5003.0,4994.0,4966.0,4970.0,4419.35498046875,15960,CLBV.TA
2018-11-04,4935.0,4966.0,4935.0,4966.0,4415.7978515625,326,CLBV.TA
2018-11-05,4966.0,4949.0,4880.0,4921.0,4375.78369140625,2646,CLBV.TA
2018-11-06,4921.0,4892.0,4800.0,4841.0,4304.64697265625,47351,CLBV.TA
2018-11-07,4841.0,4844.0,4822.0,4829.0,4293.97705078125,1474,CLBV.TA
2018-11-08,4829.0,4863.0,4861.0,4861.0,4322.431640625,749,CLBV.TA
2018-11-11,4861.0,4907.0,4852.0,4888.0,4346.43994140625,2256,CLBV.TA
2018-11-12,4888.0,5042.0,4895.0,4941.0,4393.56787109375,2854,CLBV.TA
2018-11-13,4941.0,4962.0,4891.0,4933.0,4386.4541015625,2493,CLBV.TA
2018-11-14,4933.0,4955.0,4909.0,4936.0,4389.1220703125,1479,CLBV.TA
2018-11-15,4936.0,4932.0,4932.0,4932.0,4385.5654296875,2866,CLBV.TA
2018-11-18,4932.0,4950.0,4732.0,4794.0,4262.8544921875,2804,CLBV.TA
2018-11-19,4794.0,4762.0,4728.0,4739.0,4213.9482421875,4056,CLBV.TA
2018-11-20,4739.0,4800.0,4730.0,4737.0,4212.17041015625,5929,CLBV.TA
2018-11-21,4737.0,4786.0,4692.0,4739.0,4213.9482421875,2141,CLBV.TA
2018-11-22,4739.0,4741.0,4709.0,4726.0,4202.38818359375,1244,CLBV.TA
2018-11-25,4726.0,4784.0,4743.0,4769.0,4240.6240234375,795,CLBV.TA
2018-11-26,4769.0,4815.0,4751.0,4792.0,4261.07666015625,737,CLBV.TA
2018-11-27,4792.0,4780.0,4722.0,4772.0,4243.2919921875,688,CLBV.TA
2018-11-28,4772.0,4777.0,4731.0,4769.0,4240.6240234375,13603,CLBV.TA
2018-11-29,4769.0,4731.0,4550.0,4619.0,4107.24365234375,1063,CLBV.TA
2018-12-02,4619.0,4769.0,4614.0,4708.0,4186.38330078125,2135,CLBV.TA
2018-12-03,4708.0,4717.0,4706.0,4713.0,4190.82861328125,1539,CLBV.TA
2018-12-04,4713.0,4740.0,4685.0,4711.0,4189.05029296875,2926,CLBV.TA
2018-12-05,4711.0,4744.0,4711.0,4738.0,4213.05908203125,461,CLBV.TA
2018-12-06,4738.0,4721.0,4685.0,4685.0,4165.9306640625,8051,CLBV.TA
2018-12-09,4685.0,4685.0,4595.0,4639.0,4125.02783203125,758,CLBV.TA
2018-12-10,4501.0,4850.0,4501.0,4797.0,4265.52197265625,5633,CLBV.TA
2018-12-11,4797.0,4930.0,4830.0,4845.0,4308.2041015625,535,CLBV.TA
2018-12-12,4845.0,4950.0,4883.0,4913.0,4368.67041015625,2973,CLBV.TA
2018-12-13,4913.0,4994.0,4912.0,4942.0,4394.45751953125,557,CLBV.TA
2018-12-16,4942.0,4965.0,4800.0,4863.0,4324.2099609375,386,CLBV.TA
2018-12-17,4863.0,4863.0,4763.0,4837.0,4301.0908203125,2038,CLBV.TA
2018-12-18,4837.0,4819.0,4790.0,4798.0,4266.41162109375,920,CLBV.TA
2018-12-19,4798.0,4884.0,4798.0,4799.0,4267.30078125,12543,CLBV.TA
2018-12-20,4770.0,4770.0,4710.0,4715.0,4192.607421875,2673,CLBV.TA
2018-12-23,4715.0,4663.0,4539.0,4592.0,4083.23486328125,3494,CLBV.TA
2018-12-24,4592.0,4751.0,4527.0,4571.0,4064.561767578125,4180,CLBV.TA
2018-12-25,4571.0,4900.0,4476.0,4793.0,4261.9658203125,3369,CLBV.TA
2018-12-26,4793.0,5183.0,4745.0,4978.0,4426.46826171875,3802,CLBV.TA
2018-12-27,4981.0,5164.0,4811.0,4888.0,4346.43994140625,5731,CLBV.TA
2018-12-30,4888.0,4987.0,4744.0,4784.0,4253.962890625,2035,CLBV.TA
2018-12-31,4784.0,4869.0,4764.0,4809.0,4276.19287109375,5686,CLBV.TA
2019-01-01,4809.0,4910.0,4814.0,4848.0,4310.8720703125,2467,CLBV.TA
2019-01-02,4848.0,4844.0,4789.0,4819.0,4285.0849609375,1387,CLBV.TA
2019-01-03,4819.0,4849.0,4761.0,4849.0,4311.76123046875,36432,CLBV.TA
2019-01-06,4849.0,4849.0,4777.0,4836.0,4300.201171875,3301,CLBV.TA
2019-01-07,4836.0,4939.0,4836.0,4837.0,4301.0908203125,1818,CLBV.TA
2019-01-08,4837.0,4841.0,4839.0,4840.0,4303.75830078125,1789,CLBV.TA
2019-01-09,4840.0,5004.0,4754.0,4791.0,4260.18701171875,4464,CLBV.TA
2019-01-10,4791.0,4872.0,4770.0,4843.0,4306.42578125,99169,CLBV.TA
2019-01-13,4843.0,4865.0,4814.0,4846.0,4309.09375,3740,CLBV.TA
2019-01-14,4846.0,4950.0,4846.0,4898.0,4355.33203125,4261,CLBV.TA
2019-01-15,4898.0,4987.0,4893.0,4983.0,4430.9150390625,4331,CLBV.TA
2019-01-16,4983.0,4991.0,4986.0,4989.0,4436.25,4222,CLBV.TA
2019-01-17,4989.0,5048.0,4968.0,4996.0,4442.474609375,2288,CLBV.TA
2019-01-20,4996.0,5034.0,4960.0,4993.0,4439.80712890625,2557,CLBV.TA
2019-01-21,4993.0,4999.0,4980.0,4999.0,4445.14208984375,13960,CLBV.TA
2019-01-22,4999.0,4990.0,4952.0,4971.0,4420.24462890625,2182,CLBV.TA
2019-01-23,4971.0,4965.0,4920.0,4956.0,4406.90576171875,3918,CLBV.TA
2019-01-24,4956.0,5015.0,4957.0,5005.0,4450.47705078125,1600,CLBV.TA
2019-01-27,5018.0,5018.0,5000.0,5006.0,4451.3662109375,2297,CLBV.TA
2019-01-28,5006.0,5010.0,4860.0,4942.0,4394.45751953125,9369,CLBV.TA
2019-01-29,4942.0,4969.0,4880.0,4906.0,4362.4453125,2371,CLBV.TA
2019-01-30,4906.0,4969.0,4906.0,4921.0,4375.78369140625,2329,CLBV.TA
2019-01-31,4921.0,4990.0,4906.0,4920.0,4374.89453125,1198,CLBV.TA
2019-02-03,4920.0,4930.0,4920.0,4927.0,4381.119140625,1320,CLBV.TA
2019-02-04,4927.0,4938.0,4920.0,4921.0,4375.78369140625,1548,CLBV.TA
2019-02-05,4921.0,5037.0,4898.0,4997.0,4443.36328125,590,CLBV.TA
2019-02-06,4997.0,4996.0,4920.0,4931.0,4384.67578125,1024,CLBV.TA
2019-02-07,4771.0,4772.0,4680.0,4680.0,4301.04443359375,7306,CLBV.TA
2019-02-10,4610.0,4680.0,4610.0,4663.0,4285.4208984375,4855,CLBV.TA
2019-02-11,4663.0,4631.0,4501.0,4533.0,4165.947265625,10316,CLBV.TA
2019-02-12,4533.0,4537.0,4532.0,4534.0,4166.86669921875,870,CLBV.TA
2019-02-13,4534.0,4788.0,4600.0,4732.0,4348.83349609375,1861,CLBV.TA
2019-02-14,4732.0,4794.0,4684.0,4732.0,4348.83349609375,1306,CLBV.TA
2019-02-17,4732.0,4811.0,4706.0,4775.0,4388.35205078125,443,CLBV.TA
2019-02-18,4775.0,4751.0,4751.0,4751.0,4366.29541015625,114,CLBV.TA
2019-02-19,4751.0,4767.0,4752.0,4757.0,4371.8095703125,1047,CLBV.TA
2019-02-20,4780.0,4827.0,4768.0,4779.0,4392.02783203125,213,CLBV.TA
2019-02-21,4779.0,4781.0,4760.0,4779.0,4392.02783203125,1761,CLBV.TA
2019-02-24,4779.0,4753.0,4751.0,4752.0,4367.21435546875,1993,CLBV.TA
2019-02-25,4752.0,4930.0,4750.0,4899.0,4502.3115234375,1370,CLBV.TA
2019-02-26,4899.0,4959.0,4891.0,4933.0,4533.55810546875,3499,CLBV.TA
2019-02-27,4898.0,4981.0,4898.0,4935.0,4535.39599609375,3211,CLBV.TA
2019-02-28,4935.0,5040.0,4981.0,5022.0,4615.3515625,1004,CLBV.TA
2019-03-03,5022.0,5100.0,5022.0,5061.0,4651.19384765625,1555,CLBV.TA
2019-03-04,5061.0,5138.0,5036.0,5070.0,4659.46484375,709,CLBV.TA
2019-03-05,5070.0,5123.0,4932.0,5030.0,4622.7041015625,2791,CLBV.TA
2019-03-06,5030.0,5030.0,5014.0,5023.0,4616.2705078125,1749,CLBV.TA
2019-03-07,5023.0,5022.0,4890.0,4931.0,4531.7197265625,21534,CLBV.TA
2019-03-10,4931.0,4882.0,4882.0,4882.0,4486.6875,230,CLBV.TA
