,open,high,low,close,adjclose,volume,ticker
2018-09-30,10730.0,10730.0,10730.0,10730.0,8828.939453125,0,CMDR.TA
2018-10-01,10730.0,10730.0,10730.0,10730.0,8828.939453125,0,CMDR.TA
2018-10-02,10730.0,11000.0,11000.0,11000.0,9051.1025390625,55,CMDR.TA
2018-10-03,11000.0,10950.0,10600.0,10830.0,8911.22265625,179,CMDR.TA
2018-10-04,10830.0,10620.0,10620.0,10620.0,8738.427734375,138,CMDR.TA
2018-10-07,10620.0,10990.0,10980.0,10990.0,9042.8759765625,133,CMDR.TA
2018-10-08,10990.0,10990.0,10990.0,10990.0,9042.8759765625,50,CMDR.TA
2018-10-09,10990.0,10920.0,10920.0,10920.0,8985.2763671875,102,CMDR.TA
2018-10-10,10920.0,10990.0,10920.0,10960.0,9018.189453125,92,CMDR.TA
2018-10-11,10960.0,10720.0,10450.0,10600.0,8721.9716796875,487,CMDR.TA
2018-10-14,10600.0,10600.0,10310.0,10470.0,8615.0048828125,709,CMDR.TA
2018-10-15,10470.0,10470.0,10470.0,10470.0,8615.0048828125,0,CMDR.TA
2018-10-16,10470.0,10470.0,10390.0,10470.0,8615.0048828125,2,CMDR.TA
2018-10-17,10470.0,10550.0,10470.0,10470.0,8615.0048828125,8,CMDR.TA
2018-10-18,10470.0,10750.0,10380.0,10630.0,8746.65625,712,CMDR.TA
2018-10-21,10630.0,10770.0,10630.0,10640.0,8754.884765625,7,CMDR.TA
2018-10-22,10640.0,10980.0,10550.0,10910.0,8977.048828125,146,CMDR.TA
2018-10-23,10910.0,10750.0,10500.0,10520.0,8656.146484375,806,CMDR.TA
2018-10-24,10520.0,10600.0,10520.0,10590.0,8713.744140625,67,CMDR.TA
2018-10-25,10590.0,10650.0,10590.0,10630.0,8746.65625,175,CMDR.TA
2018-10-28,10630.0,10750.0,10700.0,10750.0,8845.396484375,193,CMDR.TA
2018-10-29,10750.0,10500.0,10500.0,10710.0,8812.4833984375,3,CMDR.TA
2018-10-30,10710.0,10710.0,10710.0,10710.0,8812.4833984375,0,CMDR.TA
2018-10-31,10710.0,10550.0,10550.0,10580.0,8705.515625,15,CMDR.TA
2018-11-01,10580.0,10440.0,10440.0,10440.0,8590.318359375,101,CMDR.TA
2018-11-04,10360.0,10360.0,10360.0,10360.0,8524.4931640625,52,CMDR.TA
2018-11-05,10360.0,10520.0,10400.0,10450.0,8598.5478515625,60,CMDR.TA
2018-11-06,10450.0,10910.0,10910.0,10910.0,8977.048828125,146,CMDR.TA
2018-11-07,10910.0,10980.0,10580.0,10790.0,8878.30859375,704,CMDR.TA
2018-11-08,10790.0,10890.0,10450.0,10710.0,8812.4833984375,169,CMDR.TA
2018-11-11,10800.0,10800.0,10740.0,10740.0,8837.16796875,72,CMDR.TA
2018-11-12,10740.0,10810.0,10700.0,10750.0,8845.396484375,310,CMDR.TA
2018-11-13,10750.0,10600.0,10560.0,10600.0,8721.9716796875,967,CMDR.TA
2018-11-14,10600.0,10530.0,10490.0,10520.0,8656.146484375,290,CMDR.TA
2018-11-15,10520.0,10750.0,10500.0,10600.0,8721.9716796875,103,CMDR.TA
2018-11-18,10600.0,10600.0,10500.0,10510.0,8647.91796875,162,CMDR.TA
2018-11-19,10510.0,10730.0,10730.0,10730.0,8828.939453125,20,CMDR.TA
2018-11-20,10730.0,10510.0,10440.0,10460.0,8606.775390625,162,CMDR.TA
2018-11-21,10460.0,10760.0,10460.0,10750.0,8845.396484375,20,CMDR.TA
2018-11-22,10750.0,10580.0,10580.0,10580.0,8705.515625,243,CMDR.TA
2018-11-25,10580.0,10690.0,10490.0,10490.0,8631.4609375,533,CMDR.TA
2018-11-26,10490.0,10680.0,10330.0,10420.0,8573.8623046875,862,CMDR.TA
2018-11-27,10420.0,10540.0,10200.0,10300.0,8475.123046875,2021,CMDR.TA
2018-11-28,10300.0,10250.0,10100.0,10190.0,8384.611328125,1362,CMDR.TA
2018-11-29,10180.0,10580.0,10180.0,10220.0,8409.2978515625,260,CMDR.TA
2018-12-02,10220.0,10670.0,10260.0,10470.0,8615.0048828125,39,CMDR.TA
2018-12-03,10500.0,10570.0,10470.0,10560.0,8689.05859375,259,CMDR.TA
2018-12-04,10560.0,10660.0,10620.0,10660.0,8771.341796875,28,CMDR.TA
2018-12-05,10660.0,10350.0,10350.0,10570.0,8697.287109375,6,CMDR.TA
2018-12-06,10570.0,10650.0,10240.0,10550.0,8680.830078125,439,CMDR.TA
2018-12-09,10420.0,10390.0,9600.0,9960.0,8293.8740234375,1018,CMDR.TA
2018-12-10,9907.0,9907.0,9871.0,9879.0,8226.423828125,159,CMDR.TA
2018-12-11,9879.0,9879.0,9878.0,9879.0,8226.423828125,88,CMDR.TA
2018-12-12,9879.0,9998.0,9870.0,9874.0,8222.2607421875,1363,CMDR.TA
2018-12-13,9874.0,10200.0,9875.0,10030.0,8352.1640625,108,CMDR.TA
2018-12-16,10500.0,10500.0,10150.0,10370.0,8635.2890625,85,CMDR.TA
2018-12-17,10370.0,10370.0,10100.0,10260.0,8543.689453125,57,CMDR.TA
2018-12-18,10260.0,9901.0,9901.0,9939.0,8276.3876953125,17,CMDR.TA
2018-12-19,9939.0,9946.0,9505.0,9760.0,8127.3310546875,821,CMDR.TA
2018-12-20,9760.0,9751.0,9740.0,9741.0,8111.50927734375,320,CMDR.TA
2018-12-23,9703.0,9740.0,9504.0,9635.0,8023.24072265625,703,CMDR.TA
2018-12-24,9635.0,9700.0,9501.0,9624.0,8014.08154296875,1077,CMDR.TA
2018-12-25,9500.0,9600.0,9500.0,9562.0,7962.45166015625,423,CMDR.TA
2018-12-26,9562.0,9564.0,9562.0,9562.0,7962.45166015625,504,CMDR.TA
2018-12-27,9820.0,9925.0,9642.0,9881.0,8228.0908203125,869,CMDR.TA
2018-12-30,10000.0,10000.0,9704.0,9917.0,8258.068359375,71,CMDR.TA
2018-12-31,9917.0,9917.0,9670.0,9675.0,8056.55029296875,927,CMDR.TA
2019-01-01,9675.0,9695.0,9649.0,9675.0,8056.55029296875,1059,CMDR.TA
2019-01-02,9675.0,9550.0,9550.0,9580.0,7977.44140625,16,CMDR.TA
2019-01-03,9580.0,9756.0,9580.0,9706.0,8082.36376953125,139,CMDR.TA
2019-01-06,9706.0,9850.0,9706.0,9756.0,8123.99951171875,736,CMDR.TA
2019-01-07,9756.0,9900.0,9766.0,9874.0,8222.2607421875,374,CMDR.TA
2019-01-08,10100.0,10100.0,9900.0,10050.0,8368.8193359375,541,CMDR.TA
2019-01-09,10050.0,10250.0,10000.0,10250.0,8535.36328125,1231,CMDR.TA
2019-01-10,10190.0,10230.0,10190.0,10190.0,8485.3984375,622,CMDR.TA
2019-01-13,10190.0,10280.0,10280.0,10280.0,8560.3447265625,434,CMDR.TA
2019-01-14,10280.0,10380.0,10290.0,10330.0,8601.9794921875,322,CMDR.TA
2019-01-15,10330.0,10350.0,10330.0,10340.0,8610.3076171875,225,CMDR.TA
2019-01-16,10340.0,10390.0,10350.0,10360.0,8626.9619140625,342,CMDR.TA
2019-01-17,10360.0,10480.0,10480.0,10480.0,8726.888671875,215,CMDR.TA
2019-01-20,10490.0,10490.0,10470.0,10480.0,8726.888671875,232,CMDR.TA
2019-01-21,10480.0,10480.0,10390.0,10430.0,8685.251953125,273,CMDR.TA
2019-01-22,10430.0,10500.0,10490.0,10500.0,8743.5419921875,85,CMDR.TA
2019-01-23,10500.0,10640.0,10500.0,10580.0,8810.16015625,204,CMDR.TA
2019-01-24,10580.0,10680.0,10600.0,10600.0,8826.814453125,177,CMDR.TA
2019-01-27,10600.0,12040.0,10750.0,11190.0,9318.1171875,272,CMDR.TA
2019-01-28,11190.0,11190.0,11190.0,11190.0,9318.1171875,54,CMDR.TA
2019-01-29,11190.0,11190.0,10970.0,11040.0,9193.2099609375,276,CMDR.TA
2019-01-30,11040.0,11040.0,11040.0,11040.0,9193.2099609375,30,CMDR.TA
2019-01-31,11040.0,11040.0,10990.0,10990.0,9151.5751953125,316,CMDR.TA
2019-02-03,10990.0,10990.0,10990.0,10990.0,9151.5751953125,22,CMDR.TA
2019-02-04,10990.0,10990.0,10990.0,10990.0,9151.5751953125,14,CMDR.TA
2019-02-05,10990.0,10900.0,10400.0,10840.0,9026.6650390625,102,CMDR.TA
2019-02-06,10840.0,10840.0,10840.0,10840.0,9026.6650390625,25,CMDR.TA
2019-02-07,10900.0,10900.0,10900.0,10900.0,9076.630859375,996,CMDR.TA
2019-02-10,10900.0,10660.0,10420.0,10520.0,8760.197265625,145,CMDR.TA
2019-02-11,10520.0,10700.0,10530.0,10620.0,8843.46875,160,CMDR.TA
2019-02-12,10620.0,10990.0,10990.0,10850.0,9034.994140625,11,CMDR.TA
2019-02-13,10850.0,10850.0,10820.0,10840.0,9026.6650390625,657,CMDR.TA
2019-02-14,10840.0,10880.0,10560.0,10800.0,8993.357421875,51,CMDR.TA
2019-02-17,10800.0,10880.0,10880.0,10840.0,9026.6650390625,10,CMDR.TA
2019-02-18,10840.0,10850.0,10850.0,10840.0,9026.6650390625,6,CMDR.TA
2019-02-19,10840.0,10650.0,10650.0,10650.0,8868.4501953125,152,CMDR.TA
2019-02-20,10650.0,10770.0,10350.0,10690.0,8901.7587890625,1137,CMDR.TA
2019-02-21,10690.0,10690.0,10690.0,10690.0,8901.7587890625,9,CMDR.TA
2019-02-24,10690.0,10680.0,10600.0,10670.0,8885.1044921875,831,CMDR.TA
2019-02-25,10670.0,10720.0,10670.0,10670.0,8885.1044921875,410,CMDR.TA
2019-02-26,10670.0,10700.0,10310.0,10470.0,8718.560546875,673,CMDR.TA
2019-02-27,10680.0,10680.0,10450.0,10470.0,8718.560546875,25,CMDR.TA
2019-02-28,10470.0,10450.0,10450.0,10450.0,8701.90625,373,CMDR.TA
2019-03-03,10450.0,10500.0,10450.0,10450.0,8701.90625,122,CMDR.TA
2019-03-04,10450.0,10730.0,10730.0,10730.0,8935.068359375,115,CMDR.TA
2019-03-05,10730.0,10730.0,10730.0,10730.0,8935.068359375,21,CMDR.TA
2019-03-06,10730.0,10740.0,10570.0,10670.0,8885.1044921875,133,CMDR.TA
2019-03-07,10670.0,10650.0,10270.0,10350.0,8618.634765625,348,CMDR.TA
