,open,high,low,close,adjclose,volume,ticker
2018-09-30,1213.0,1213.0,1213.0,1213.0,1186.2154541015625,0,DSCT.TA
2018-10-01,1213.0,1213.0,1213.0,1213.0,1186.2154541015625,0,DSCT.TA
2018-10-02,1244.0,1244.0,1226.0,1238.0,1210.6634521484375,4673593,DSCT.TA
2018-10-03,1240.0,1249.0,1230.0,1245.0,1217.5089111328125,7656017,DSCT.TA
2018-10-04,1233.0,1245.0,1231.0,1231.0,1203.818115234375,6365851,DSCT.TA
2018-10-07,1231.0,1235.0,1220.0,1228.0,1200.88427734375,524863,DSCT.TA
2018-10-08,1235.0,1239.0,1223.0,1228.0,1200.88427734375,2451189,DSCT.TA
2018-10-09,1223.0,1242.0,1223.0,1240.0,1212.619384765625,3069527,DSCT.TA
2018-10-10,1241.0,1253.0,1225.0,1228.0,1200.88427734375,4662600,DSCT.TA
2018-10-11,1203.0,1225.0,1189.0,1215.0,1188.1712646484375,4344980,DSCT.TA
2018-10-14,1228.0,1234.0,1218.0,1219.0,1192.0830078125,664177,DSCT.TA
2018-10-15,1216.0,1230.0,1210.0,1220.0,1193.0609130859375,3054430,DSCT.TA
2018-10-16,1220.0,1226.0,1211.0,1220.0,1193.0609130859375,2428260,DSCT.TA
2018-10-17,1220.0,1232.0,1209.0,1227.0,1199.9063720703125,2987690,DSCT.TA
2018-10-18,1224.0,1262.0,1220.0,1257.0,1229.243896484375,5157494,DSCT.TA
2018-10-21,1261.0,1262.0,1243.0,1246.0,1218.4869384765625,857616,DSCT.TA
2018-10-22,1259.0,1275.0,1253.0,1262.0,1234.133544921875,2387336,DSCT.TA
2018-10-23,1244.0,1253.0,1235.0,1235.0,1207.7298583984375,4259099,DSCT.TA
2018-10-24,1239.0,1244.0,1221.0,1226.0,1198.928466796875,2521698,DSCT.TA
2018-10-25,1198.0,1210.0,1193.0,1195.0,1168.6129150390625,6731877,DSCT.TA
2018-10-28,1199.0,1223.0,1193.0,1205.0,1178.3922119140625,1284641,DSCT.TA
2018-10-29,1205.0,1221.0,1201.0,1201.0,1174.4803466796875,2423710,DSCT.TA
2018-10-30,1201.0,1201.0,1201.0,1201.0,1174.4803466796875,0,DSCT.TA
2018-10-31,1214.0,1218.0,1205.0,1217.0,1190.127197265625,4301241,DSCT.TA
2018-11-01,1223.0,1240.0,1221.0,1240.0,1212.619384765625,4016582,DSCT.TA
2018-11-04,1236.0,1239.0,1228.0,1239.0,1211.6412353515625,678659,DSCT.TA
2018-11-05,1238.0,1243.0,1233.0,1240.0,1212.619384765625,1589058,DSCT.TA
2018-11-06,1245.0,1265.0,1242.0,1259.0,1231.199951171875,2667226,DSCT.TA
2018-11-07,1260.0,1288.0,1260.0,1288.0,1259.5594482421875,3364324,DSCT.TA
2018-11-08,1280.0,1300.0,1272.0,1296.0,1267.3826904296875,3835323,DSCT.TA
2018-11-11,1296.0,1309.0,1292.0,1309.0,1280.095703125,1109278,DSCT.TA
2018-11-12,1313.0,1326.0,1292.0,1292.0,1263.4710693359375,4322250,DSCT.TA
2018-11-13,1300.0,1307.0,1290.0,1296.0,1267.3826904296875,2841249,DSCT.TA
2018-11-14,1300.0,1302.0,1283.0,1284.0,1255.6475830078125,3777438,DSCT.TA
2018-11-15,1317.0,1320.0,1292.0,1292.0,1263.4710693359375,5403435,DSCT.TA
2018-11-18,1298.0,1304.0,1294.0,1299.0,1270.31640625,632440,DSCT.TA
2018-11-19,1300.0,1313.0,1283.0,1283.0,1254.669921875,3791562,DSCT.TA
2018-11-20,1264.0,1275.0,1241.0,1249.0,1221.420654296875,3658401,DSCT.TA
2018-11-21,1259.0,1261.0,1248.0,1255.0,1227.2882080078125,4062042,DSCT.TA
2018-11-22,1255.0,1259.0,1247.0,1250.0,1222.3985595703125,1499878,DSCT.TA
2018-11-25,1240.0,1248.0,1227.0,1236.0,1212.3656005859375,829507,DSCT.TA
2018-11-26,1245.0,1272.0,1241.0,1269.0,1244.7344970703125,3333691,DSCT.TA
2018-11-27,1282.0,1300.0,1276.0,1287.0,1262.3902587890625,4531405,DSCT.TA
2018-11-28,1298.0,1298.0,1284.0,1294.0,1269.2564697265625,2696602,DSCT.TA
2018-11-29,1286.0,1290.0,1283.0,1285.0,1260.428466796875,5388169,DSCT.TA
2018-12-02,1291.0,1303.0,1289.0,1300.0,1275.1417236328125,1197221,DSCT.TA
2018-12-03,1319.0,1319.0,1302.0,1305.0,1280.046142578125,2260177,DSCT.TA
2018-12-04,1304.0,1304.0,1288.0,1288.0,1263.3712158203125,2826568,DSCT.TA
2018-12-05,1278.0,1297.0,1276.0,1290.0,1265.3328857421875,5675128,DSCT.TA
2018-12-06,1273.0,1282.0,1265.0,1272.0,1247.67724609375,5114589,DSCT.TA
2018-12-09,1263.0,1273.0,1263.0,1270.0,1245.7152099609375,942288,DSCT.TA
2018-12-10,1271.0,1276.0,1254.0,1270.0,1245.7152099609375,2733047,DSCT.TA
2018-12-11,1274.0,1279.0,1253.0,1256.0,1231.9830322265625,3217800,DSCT.TA
2018-12-12,1263.0,1273.0,1249.0,1250.0,1226.097900390625,2683493,DSCT.TA
2018-12-13,1251.0,1268.0,1251.0,1257.0,1232.9638671875,2912709,DSCT.TA
2018-12-16,1250.0,1251.0,1223.0,1224.0,1200.594970703125,1056470,DSCT.TA
2018-12-17,1225.0,1244.0,1225.0,1237.0,1213.346435546875,3092862,DSCT.TA
2018-12-18,1244.0,1244.0,1229.0,1237.0,1213.346435546875,1628732,DSCT.TA
2018-12-19,1242.0,1265.0,1242.0,1263.0,1238.849365234375,3843773,DSCT.TA
2018-12-20,1244.0,1252.0,1234.0,1243.0,1219.231689453125,4382759,DSCT.TA
2018-12-23,1202.0,1218.0,1173.0,1200.0,1177.0537109375,4870686,DSCT.TA
2018-12-24,1203.0,1210.0,1128.0,1150.0,1128.010009765625,11301156,DSCT.TA
2018-12-25,1130.0,1195.0,1096.0,1188.0,1165.283203125,7176407,DSCT.TA
2018-12-26,1182.0,1207.0,1172.0,1173.0,1150.5701904296875,2376295,DSCT.TA
2018-12-27,1190.0,1198.0,1158.0,1162.0,1139.780517578125,6895182,DSCT.TA
2018-12-30,1165.0,1177.0,1155.0,1166.0,1143.7041015625,1520605,DSCT.TA
2018-12-31,1180.0,1180.0,1155.0,1156.0,1133.8951416015625,2288654,DSCT.TA
2019-01-01,1163.0,1190.0,1162.0,1185.0,1162.3406982421875,1664822,DSCT.TA
2019-01-02,1175.0,1182.0,1157.0,1167.0,1144.6849365234375,2129404,DSCT.TA
2019-01-03,1153.0,1161.0,1146.0,1146.0,1124.08642578125,4957005,DSCT.TA
2019-01-06,1169.0,1169.0,1161.0,1163.0,1140.761474609375,1629382,DSCT.TA
2019-01-07,1168.0,1181.0,1157.0,1163.0,1140.761474609375,3344751,DSCT.TA
2019-01-08,1168.0,1202.0,1168.0,1192.0,1169.206787109375,4158195,DSCT.TA
2019-01-09,1202.0,1222.0,1194.0,1217.0,1193.728759765625,4520425,DSCT.TA
2019-01-10,1216.0,1223.0,1206.0,1212.0,1188.824462890625,2486847,DSCT.TA
2019-01-13,1213.0,1217.0,1199.0,1200.0,1177.0537109375,985768,DSCT.TA
2019-01-14,1192.0,1210.0,1189.0,1203.0,1179.9964599609375,1824588,DSCT.TA
2019-01-15,1216.0,1217.0,1197.0,1198.0,1175.0921630859375,2613321,DSCT.TA
2019-01-16,1202.0,1212.0,1198.0,1210.0,1186.862548828125,1795331,DSCT.TA
2019-01-17,1214.0,1230.0,1209.0,1217.0,1193.728759765625,2727048,DSCT.TA
2019-01-20,1231.0,1247.0,1226.0,1230.0,1206.480224609375,1204064,DSCT.TA
2019-01-21,1231.0,1236.0,1218.0,1224.0,1200.594970703125,938917,DSCT.TA
2019-01-22,1222.0,1239.0,1219.0,1225.0,1201.5758056640625,1683028,DSCT.TA
2019-01-23,1217.0,1223.0,1209.0,1209.0,1185.8818359375,2520541,DSCT.TA
2019-01-24,1215.0,1220.0,1209.0,1215.0,1191.76708984375,3474735,DSCT.TA
2019-01-27,1225.0,1238.0,1224.0,1232.0,1208.4420166015625,1084795,DSCT.TA
2019-01-28,1226.0,1252.0,1225.0,1250.0,1226.097900390625,4966068,DSCT.TA
2019-01-29,1252.0,1284.0,1251.0,1273.0,1248.6578369140625,4796056,DSCT.TA
2019-01-30,1281.0,1290.0,1275.0,1286.0,1261.409423828125,2356044,DSCT.TA
2019-01-31,1295.0,1304.0,1273.0,1283.0,1258.466796875,4981992,DSCT.TA
