,open,high,low,close,adjclose,volume,ticker
2018-09-30,2552.0,2552.0,2552.0,2552.0,2473.59375,0,EMDV.TA
2018-10-01,2552.0,2552.0,2552.0,2552.0,2473.59375,0,EMDV.TA
2018-10-02,2552.0,2552.0,2552.0,2552.0,2473.59375,194,EMDV.TA
2018-10-03,2552.0,2552.0,2425.0,2499.0,2422.221923828125,261,EMDV.TA
2018-10-04,2499.0,2450.0,2450.0,2450.0,2374.7275390625,488,EMDV.TA
2018-10-07,2450.0,2404.0,2404.0,2438.0,2363.09619140625,20,EMDV.TA
2018-10-08,2438.0,2431.0,2431.0,2431.0,2356.311279296875,206,EMDV.TA
2018-10-09,2431.0,2431.0,2431.0,2431.0,2356.311279296875,3055,EMDV.TA
2018-10-10,2431.0,2441.0,2431.0,2439.0,2364.0654296875,1624,EMDV.TA
2018-10-11,2439.0,2511.0,2334.0,2452.0,2376.666015625,234,EMDV.TA
2018-10-14,2452.0,2452.0,2452.0,2452.0,2376.666015625,0,EMDV.TA
2018-10-15,2452.0,2452.0,2452.0,2452.0,2376.666015625,0,EMDV.TA
2018-10-16,2452.0,2501.0,2501.0,2501.0,2424.16064453125,1500,EMDV.TA
2018-10-17,2501.0,2501.0,2501.0,2501.0,2424.16064453125,27,EMDV.TA
2018-10-18,2501.0,2501.0,2501.0,2501.0,2424.16064453125,4,EMDV.TA
2018-10-21,2501.0,2502.0,2476.0,2500.0,2423.191162109375,472,EMDV.TA
2018-10-22,2500.0,2525.0,2525.0,2525.0,2447.42333984375,115,EMDV.TA
2018-10-23,2525.0,2525.0,2524.0,2525.0,2447.42333984375,358,EMDV.TA
2018-10-24,2525.0,2525.0,2525.0,2525.0,2447.42333984375,59,EMDV.TA
2018-10-25,2525.0,2525.0,2525.0,2525.0,2447.42333984375,224,EMDV.TA
2018-10-28,2525.0,2525.0,2525.0,2525.0,2447.42333984375,0,EMDV.TA
2018-10-29,2525.0,2525.0,2470.0,2523.0,2445.484619140625,412,EMDV.TA
2018-10-30,2523.0,2523.0,2523.0,2523.0,2445.484619140625,0,EMDV.TA
2018-10-31,2523.0,2523.0,2522.0,2523.0,2445.484619140625,2004,EMDV.TA
2018-11-01,2550.0,2550.0,2550.0,2538.0,2460.02392578125,44,EMDV.TA
2018-11-04,2538.0,2613.0,2613.0,2574.0,2494.917724609375,38,EMDV.TA
2018-11-05,2574.0,2574.0,2574.0,2574.0,2494.917724609375,7,EMDV.TA
2018-11-06,2574.0,2574.0,2574.0,2574.0,2494.917724609375,96,EMDV.TA
2018-11-07,2574.0,2497.0,2497.0,2516.0,2438.699951171875,59,EMDV.TA
2018-11-08,2516.0,2431.0,2431.0,2512.0,2434.822509765625,4,EMDV.TA
2018-11-11,2512.0,2512.0,2512.0,2512.0,2434.822509765625,1,EMDV.TA
2018-11-12,2512.0,2512.0,2512.0,2512.0,2434.822509765625,3,EMDV.TA
2018-11-13,2512.0,2512.0,2512.0,2512.0,2434.822509765625,3,EMDV.TA
2018-11-14,2512.0,2512.0,2512.0,2512.0,2434.822509765625,2,EMDV.TA
2018-11-15,2512.0,2512.0,2512.0,2512.0,2434.822509765625,29,EMDV.TA
2018-11-18,2512.0,2470.0,2470.0,2489.0,2412.529296875,43,EMDV.TA
2018-11-19,2489.0,2490.0,2489.0,2489.0,2412.529296875,20056,EMDV.TA
2018-11-20,2489.0,2494.0,2460.0,2487.0,2410.5908203125,1175,EMDV.TA
2018-11-21,2487.0,2450.0,2450.0,2477.0,2400.898193359375,22,EMDV.TA
2018-11-22,2477.0,2477.0,2472.0,2473.0,2397.02099609375,84,EMDV.TA
2018-11-25,2425.0,2425.0,2425.0,2461.0,2385.389404296875,20,EMDV.TA
2018-11-26,2461.0,2450.0,2450.0,2450.0,2374.7275390625,473,EMDV.TA
2018-11-27,2450.0,2470.0,2450.0,2450.0,2374.7275390625,14630,EMDV.TA
2018-11-28,2450.0,2658.0,2658.0,2487.0,2410.5908203125,14,EMDV.TA
2018-11-29,2487.0,2535.0,2500.0,2519.0,2441.607421875,722,EMDV.TA
2018-12-02,2519.0,2591.0,2591.0,2591.0,2511.3955078125,507,EMDV.TA
2018-12-03,2510.0,2589.0,2510.0,2585.0,2505.579833984375,398,EMDV.TA
2018-12-04,2585.0,2540.0,2540.0,2574.0,2494.917724609375,20,EMDV.TA
2018-12-05,2574.0,2574.0,2574.0,2574.0,2494.917724609375,7,EMDV.TA
2018-12-06,2574.0,2350.0,2350.0,2350.0,2277.7998046875,272,EMDV.TA
2018-12-09,2350.0,2350.0,2350.0,2350.0,2277.7998046875,69,EMDV.TA
2018-12-10,2350.0,2350.0,2350.0,2350.0,2277.7998046875,3,EMDV.TA
2018-12-11,2350.0,2280.0,2280.0,2338.0,2266.16845703125,14,EMDV.TA
2018-12-12,2338.0,2338.0,2202.0,2329.0,2257.445068359375,3694,EMDV.TA
2018-12-13,2329.0,2213.0,2213.0,2319.0,2247.752197265625,7,EMDV.TA
2018-12-16,2319.0,2319.0,2319.0,2319.0,2247.752197265625,1,EMDV.TA
2018-12-17,2319.0,2319.0,2319.0,2319.0,2247.752197265625,1,EMDV.TA
2018-12-18,2319.0,2319.0,2319.0,2319.0,2247.752197265625,0,EMDV.TA
2018-12-19,2319.0,2319.0,2319.0,2319.0,2247.752197265625,0,EMDV.TA
2018-12-20,2319.0,2319.0,2319.0,2319.0,2247.752197265625,0,EMDV.TA
2018-12-23,2319.0,2200.0,2112.0,2200.0,2132.408447265625,266315,EMDV.TA
2018-12-24,2200.0,2295.0,2200.0,2221.0,2152.76318359375,3751,EMDV.TA
2018-12-25,2221.0,2223.0,2199.0,2207.0,2139.193359375,722,EMDV.TA
2018-12-26,2207.0,2207.0,2207.0,2207.0,2139.193359375,9,EMDV.TA
2018-12-27,2207.0,2207.0,2207.0,2207.0,2139.193359375,28,EMDV.TA
2018-12-30,2207.0,2213.0,2164.0,2208.0,2140.16259765625,2790,EMDV.TA
2018-12-31,2208.0,2299.0,2230.0,2253.0,2183.780029296875,4816,EMDV.TA
2019-01-01,2253.0,2399.0,2200.0,2301.0,2230.305419921875,5328,EMDV.TA
2019-01-02,2301.0,2301.0,2210.0,2286.0,2215.76611328125,331,EMDV.TA
2019-01-03,2286.0,2455.0,2286.0,2380.0,2306.878173828125,296,EMDV.TA
2019-01-06,2380.0,2400.0,2382.0,2393.0,2319.478759765625,482,EMDV.TA
2019-01-07,2393.0,2393.0,2393.0,2393.0,2319.478759765625,43,EMDV.TA
2019-01-08,2393.0,2393.0,2393.0,2393.0,2319.478759765625,622,EMDV.TA
2019-01-09,2393.0,2469.0,2393.0,2393.0,2319.478759765625,566,EMDV.TA
2019-01-10,2393.0,2393.0,2393.0,2393.0,2319.478759765625,20,EMDV.TA
2019-01-13,2393.0,2393.0,2393.0,2393.0,2319.478759765625,104,EMDV.TA
2019-01-14,2393.0,2495.0,2495.0,2407.0,2333.048828125,12,EMDV.TA
2019-01-15,2407.0,2410.0,2410.0,2410.0,2335.956298828125,132,EMDV.TA
2019-01-16,2410.0,2425.0,2425.0,2425.0,2350.49560546875,2632,EMDV.TA
2019-01-17,2425.0,2496.0,2496.0,2496.0,2419.314208984375,1967,EMDV.TA
2019-01-20,2497.0,2497.0,2497.0,2497.0,2420.28369140625,1466,EMDV.TA
2019-01-21,2497.0,2593.0,2500.0,2577.0,2497.82568359375,1232,EMDV.TA
2019-01-22,2577.0,2600.0,2577.0,2581.0,2501.70263671875,315,EMDV.TA
2019-01-23,2581.0,2581.0,2581.0,2581.0,2501.70263671875,1331,EMDV.TA
2019-01-24,2581.0,2581.0,2581.0,2581.0,2501.70263671875,1019,EMDV.TA
2019-01-27,2581.0,2600.0,2581.0,2584.0,2504.610595703125,622,EMDV.TA
2019-01-28,2584.0,2600.0,2600.0,2594.0,2514.30322265625,54,EMDV.TA
2019-01-29,2594.0,2594.0,2594.0,2594.0,2514.30322265625,1580,EMDV.TA
2019-01-30,2594.0,2594.0,2594.0,2594.0,2514.30322265625,127,EMDV.TA
2019-01-31,2594.0,2593.0,2593.0,2593.0,2513.333984375,761,EMDV.TA
2019-02-03,2593.0,2593.0,2571.0,2589.0,2509.45703125,738,EMDV.TA
2019-02-04,2589.0,2589.0,2589.0,2589.0,2509.45703125,47,EMDV.TA
2019-02-05,2589.0,2591.0,2513.0,2520.0,2442.576904296875,296,EMDV.TA
2019-02-06,2520.0,2520.0,2470.0,2489.0,2412.529296875,197,EMDV.TA
2019-02-07,2489.0,2489.0,2489.0,2489.0,2412.529296875,4184,EMDV.TA
2019-02-10,2489.0,2489.0,2389.0,2427.0,2352.434326171875,480,EMDV.TA
2019-02-11,2427.0,2427.0,2427.0,2427.0,2352.434326171875,80,EMDV.TA
2019-02-12,2427.0,2427.0,2427.0,2427.0,2352.434326171875,166,EMDV.TA
2019-02-13,2427.0,2480.0,2480.0,2439.0,2364.0654296875,18,EMDV.TA
2019-02-14,2439.0,2439.0,2439.0,2439.0,2364.0654296875,115,EMDV.TA
2019-02-17,2439.0,2366.0,2366.0,2424.0,2349.5263671875,16,EMDV.TA
2019-02-18,2424.0,2424.0,2424.0,2424.0,2349.5263671875,21,EMDV.TA
