,open,high,low,close,adjclose,volume,ticker
2018-09-30,9104.0,9104.0,9104.0,9104.0,8927.48046875,0,FBRT.TA
2018-10-01,9104.0,9104.0,9104.0,9104.0,8927.48046875,0,FBRT.TA
2018-10-02,9050.0,9337.0,9042.0,9222.0,9043.19140625,4740,FBRT.TA
2018-10-03,9300.0,9686.0,9242.0,9671.0,9483.486328125,60043,FBRT.TA
2018-10-04,9671.0,9886.0,9571.0,9740.0,9551.1484375,9500,FBRT.TA
2018-10-07,9740.0,9800.0,9680.0,9702.0,9513.884765625,2186,FBRT.TA
2018-10-08,9702.0,9885.0,9702.0,9881.0,9689.4140625,6312,FBRT.TA
2018-10-09,9881.0,9941.0,9851.0,9897.0,9705.1044921875,5031,FBRT.TA
2018-10-10,9897.0,9881.0,9642.0,9712.0,9523.69140625,13227,FBRT.TA
2018-10-11,9500.0,9600.0,9404.0,9571.0,9385.4248046875,27559,FBRT.TA
2018-10-14,9550.0,9699.0,9455.0,9578.0,9392.2900390625,20216,FBRT.TA
2018-10-15,9578.0,9578.0,9482.0,9534.0,9349.142578125,1614,FBRT.TA
2018-10-16,9534.0,9800.0,9457.0,9683.0,9495.25390625,28481,FBRT.TA
2018-10-17,9584.0,9620.0,9487.0,9500.0,9315.8017578125,8917,FBRT.TA
2018-10-18,9670.0,9670.0,9378.0,9434.0,9251.0810546875,3529,FBRT.TA
2018-10-21,9434.0,9501.0,9428.0,9460.0,9276.5771484375,5296,FBRT.TA
2018-10-22,9460.0,9510.0,9461.0,9467.0,9283.44140625,2452,FBRT.TA
2018-10-23,9300.0,9600.0,9300.0,9497.0,9312.8603515625,11628,FBRT.TA
2018-10-24,9497.0,9498.0,9460.0,9469.0,9285.40234375,1393,FBRT.TA
2018-10-25,9280.0,9600.0,9280.0,9486.0,9302.0732421875,24742,FBRT.TA
2018-10-28,9580.0,9580.0,9311.0,9488.0,9304.0341796875,29769,FBRT.TA
