,open,high,low,close,adjclose,volume,ticker
2018-09-30,14770.0,14770.0,14770.0,14770.0,14316.4072265625,0,GOLD.TA
2018-10-01,14770.0,14770.0,14770.0,14770.0,14316.4072265625,0,GOLD.TA
2018-10-02,14770.0,14600.0,14600.0,14600.0,14151.62890625,42,GOLD.TA
2018-10-03,14600.0,14600.0,14360.0,14560.0,14112.8564453125,90,GOLD.TA
2018-10-04,14560.0,14600.0,14350.0,14390.0,13948.078125,238,GOLD.TA
2018-10-07,14390.0,14500.0,14410.0,14490.0,14045.0068359375,60,GOLD.TA
2018-10-08,14490.0,14480.0,14300.0,14430.0,13986.849609375,51,GOLD.TA
2018-10-09,14430.0,14450.0,14450.0,14450.0,14006.234375,20,GOLD.TA
2018-10-10,14450.0,14200.0,14200.0,14400.0,13957.771484375,3,GOLD.TA
2018-10-11,14400.0,14380.0,13490.0,13950.0,13521.58984375,233,GOLD.TA
2018-10-14,13950.0,13950.0,13950.0,13950.0,13521.58984375,0,GOLD.TA
2018-10-15,13950.0,13950.0,13950.0,13950.0,13521.58984375,0,GOLD.TA
2018-10-16,13950.0,14000.0,13900.0,13980.0,13550.6689453125,147,GOLD.TA
2018-10-17,14050.0,14050.0,13710.0,13740.0,13318.0400390625,504,GOLD.TA
2018-10-18,13740.0,13750.0,13730.0,13750.0,13327.732421875,265,GOLD.TA
2018-10-21,13750.0,13890.0,13890.0,13890.0,13463.431640625,20,GOLD.TA
2018-10-22,13890.0,13880.0,13870.0,13880.0,13453.7392578125,75,GOLD.TA
2018-10-23,13880.0,13880.0,13880.0,13880.0,13453.7392578125,0,GOLD.TA
2018-10-24,13880.0,13600.0,13600.0,13860.0,13434.353515625,1,GOLD.TA
2018-10-25,13860.0,13860.0,13480.0,13710.0,13288.9609375,174,GOLD.TA
2018-10-28,13710.0,13910.0,13500.0,13700.0,13279.267578125,1243,GOLD.TA
2018-10-29,13700.0,13920.0,13640.0,13670.0,13250.189453125,443,GOLD.TA
2018-10-30,13670.0,13670.0,13670.0,13670.0,13250.189453125,0,GOLD.TA
2018-10-31,13670.0,13570.0,13570.0,13650.0,13230.802734375,3,GOLD.TA
2018-11-01,13650.0,14100.0,13670.0,14020.0,13589.44140625,234,GOLD.TA
2018-11-04,14200.0,14200.0,14090.0,14180.0,13744.52734375,403,GOLD.TA
2018-11-05,14180.0,13900.0,13900.0,13900.0,13473.126953125,155,GOLD.TA
