,open,high,low,close,adjclose,volume,ticker
2018-09-30,388.29998779296875,388.29998779296875,388.29998779296875,388.29998779296875,388.29998779296875,0,GOLF.TA
2018-10-01,388.29998779296875,388.29998779296875,388.29998779296875,388.29998779296875,388.29998779296875,0,GOLF.TA
2018-10-02,388.29998779296875,387.6000061035156,386.6000061035156,387.0,387.0,14093,GOLF.TA
2018-10-03,383.20001220703125,389.0,383.1000061035156,388.1000061035156,388.1000061035156,3930,GOLF.TA
2018-10-04,388.1000061035156,385.8999938964844,384.8999938964844,385.20001220703125,385.20001220703125,12105,GOLF.TA
2018-10-07,385.20001220703125,383.1000061035156,380.1000061035156,382.3999938964844,382.3999938964844,1886,GOLF.TA
2018-10-08,382.3999938964844,380.1000061035156,377.1000061035156,379.29998779296875,379.29998779296875,7053,GOLF.TA
2018-10-09,384.0,384.0,379.0,383.5,383.5,1210,GOLF.TA
2018-10-10,383.5,378.0,367.79998779296875,372.0,372.0,15961,GOLF.TA
2018-10-11,372.0,367.29998779296875,361.20001220703125,363.5,363.5,37157,GOLF.TA
2018-10-14,368.0,375.6000061035156,363.3999938964844,366.79998779296875,366.79998779296875,9064,GOLF.TA
2018-10-15,366.79998779296875,370.0,366.79998779296875,370.0,370.0,611,GOLF.TA
2018-10-16,370.0,369.8999938964844,366.1000061035156,368.79998779296875,368.79998779296875,1245,GOLF.TA
2018-10-17,360.1000061035156,370.0,360.1000061035156,366.8999938964844,366.8999938964844,4954,GOLF.TA
2018-10-18,366.8999938964844,365.1000061035156,363.29998779296875,364.70001220703125,364.70001220703125,5867,GOLF.TA
2018-10-21,364.70001220703125,364.70001220703125,364.70001220703125,364.70001220703125,364.70001220703125,24,GOLF.TA
2018-10-22,364.70001220703125,366.0,360.0,363.29998779296875,363.29998779296875,16946,GOLF.TA
2018-10-23,363.29998779296875,363.5,359.0,359.70001220703125,359.70001220703125,19387,GOLF.TA
2018-10-24,359.70001220703125,357.20001220703125,357.20001220703125,357.20001220703125,357.20001220703125,3377,GOLF.TA
2018-10-25,355.0,355.0,340.0,350.3999938964844,350.3999938964844,37315,GOLF.TA
2018-10-28,357.0,364.3999938964844,354.0,363.70001220703125,363.70001220703125,40961,GOLF.TA
2018-10-29,363.70001220703125,376.0,360.0,370.79998779296875,370.79998779296875,40448,GOLF.TA
2018-10-30,370.79998779296875,370.79998779296875,370.79998779296875,370.79998779296875,370.79998779296875,0,GOLF.TA
2018-10-31,370.79998779296875,379.5,366.0,372.20001220703125,372.20001220703125,11968,GOLF.TA
2018-11-01,372.20001220703125,382.0,363.8999938964844,372.6000061035156,372.6000061035156,23522,GOLF.TA
2018-11-04,372.6000061035156,380.0,354.0,377.29998779296875,377.29998779296875,14453,GOLF.TA
2018-11-05,362.0,382.8999938964844,362.0,377.79998779296875,377.79998779296875,29764,GOLF.TA
2018-11-06,377.79998779296875,377.79998779296875,369.79998779296875,373.8999938964844,373.8999938964844,8377,GOLF.TA
2018-11-07,373.8999938964844,374.0,372.6000061035156,373.1000061035156,373.1000061035156,6575,GOLF.TA
2018-11-08,377.8999938964844,381.0,372.70001220703125,378.1000061035156,378.1000061035156,12232,GOLF.TA
2018-11-11,378.1000061035156,382.70001220703125,373.20001220703125,374.1000061035156,374.1000061035156,11810,GOLF.TA
2018-11-12,374.1000061035156,378.0,373.1000061035156,374.79998779296875,374.79998779296875,1617,GOLF.TA
2018-11-13,374.79998779296875,375.6000061035156,361.3999938964844,370.5,370.5,13340,GOLF.TA
2018-11-14,370.5,374.29998779296875,366.79998779296875,369.0,369.0,4650,GOLF.TA
2018-11-15,369.0,372.0,367.20001220703125,368.29998779296875,368.29998779296875,40041,GOLF.TA
2018-11-18,368.29998779296875,369.0,358.0,360.29998779296875,360.29998779296875,32511,GOLF.TA
