,open,high,low,close,adjclose,volume,ticker
2018-09-30,4256.81982421875,4256.81982421875,4256.81982421875,4256.81982421875,4256.81982421875,0,INTR.TA
2018-10-01,4256.81982421875,4256.81982421875,4256.81982421875,4256.81982421875,4256.81982421875,0,INTR.TA
2018-10-02,4256.81982421875,4256.81982421875,4256.81982421875,4256.81982421875,4256.81982421875,0,INTR.TA
2018-10-03,4256.81982421875,4415.81005859375,4360.419921875,4411.2001953125,4411.2001953125,2739,INTR.TA
2018-10-04,4513.259765625,4513.259765625,4512.75,4513.259765625,4513.259765625,826,INTR.TA
2018-10-07,4513.259765625,4513.259765625,4513.259765625,4513.259765625,4513.259765625,222,INTR.TA
2018-10-08,4513.259765625,4513.259765625,4513.259765625,4513.259765625,4513.259765625,0,INTR.TA
2018-10-09,4513.259765625,4513.259765625,4513.259765625,4513.259765625,4513.259765625,0,INTR.TA
2018-10-10,4513.259765625,4615.830078125,4615.830078125,4615.830078125,4615.830078125,161,INTR.TA
2018-10-11,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-14,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-15,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-16,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-17,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-18,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-21,4615.830078125,4615.830078125,4615.830078125,4615.830078125,4615.830078125,0,INTR.TA
2018-10-22,4615.830078125,4728.14990234375,4717.89013671875,4718.919921875,4718.919921875,887,INTR.TA
2018-10-23,4718.919921875,4661.990234375,4661.990234375,4661.990234375,4661.990234375,536,INTR.TA
2018-10-24,4661.990234375,4661.990234375,4661.990234375,4661.990234375,4661.990234375,0,INTR.TA
2018-10-25,4661.990234375,4769.68994140625,4769.68994140625,4769.68994140625,4769.68994140625,487,INTR.TA
2018-10-28,4769.68994140625,4795.33984375,4795.33984375,4795.33984375,4795.33984375,584,INTR.TA
2018-10-29,4795.33984375,4795.85009765625,4776.8701171875,4788.669921875,4788.669921875,2074,INTR.TA
2018-10-30,4788.669921875,4788.669921875,4788.669921875,4788.669921875,4788.669921875,0,INTR.TA
2018-10-31,4788.669921875,4797.89990234375,4731.740234375,4768.14990234375,4768.14990234375,2158,INTR.TA
2018-11-01,4768.14990234375,4802.0,4793.7998046875,4794.31005859375,4794.31005859375,5617,INTR.TA
2018-11-04,4794.31005859375,4840.47021484375,4839.9599609375,4840.47021484375,4840.47021484375,1553,INTR.TA
2018-11-05,4840.47021484375,4840.47021484375,4840.47021484375,4840.47021484375,4840.47021484375,0,INTR.TA
