,open,high,low,close,adjclose,volume,ticker
2018-09-30,945.0,945.0,945.0,945.0,922.1962890625,0,MGRT.TA
2018-10-01,945.0,945.0,945.0,945.0,922.1962890625,0,MGRT.TA
2018-10-02,945.0,945.0,938.0,943.0,920.2445068359375,4893,MGRT.TA
2018-10-03,943.0,959.0,937.0,947.0,924.1480102539062,114094,MGRT.TA
2018-10-04,947.0,970.0,950.0,966.0,942.6895141601562,3141,MGRT.TA
2018-10-07,952.0,954.0,952.0,953.0,930.0032348632812,4176,MGRT.TA
2018-10-08,953.0,950.0,950.0,950.0,927.0755615234375,4919,MGRT.TA
2018-10-09,950.0,955.0,955.0,955.0,931.9549560546875,4638,MGRT.TA
2018-10-10,955.0,953.0,941.0,945.0,922.1962890625,18966,MGRT.TA
2018-10-11,940.0,940.0,925.0,930.0,907.5582275390625,12037,MGRT.TA
2018-10-14,930.0,939.0,937.0,938.0,915.3651733398438,4207,MGRT.TA
2018-10-15,938.0,930.0,915.0,929.0,906.5823364257812,7071,MGRT.TA
2018-10-16,929.0,928.0,928.0,928.0,905.6065063476562,489,MGRT.TA
2018-10-17,915.0,937.0,915.0,931.0,908.5340576171875,10124,MGRT.TA
2018-10-18,931.0,934.0,934.0,934.0,911.4617309570312,1261,MGRT.TA
2018-10-21,934.0,938.0,922.0,935.0,912.4375610351562,6837,MGRT.TA
2018-10-22,935.0,937.0,930.0,935.0,912.4375610351562,1385,MGRT.TA
2018-10-23,922.0,936.0,922.0,931.0,908.5340576171875,15008,MGRT.TA
2018-10-24,931.0,950.0,931.0,944.0,921.2203369140625,19967,MGRT.TA
2018-10-25,944.0,944.0,910.0,927.0,904.630615234375,34928,MGRT.TA
2018-10-28,927.0,950.0,929.0,930.0,907.5582275390625,18771,MGRT.TA
2018-10-29,930.0,945.0,930.0,942.0,919.2686767578125,16346,MGRT.TA
2018-10-30,942.0,942.0,942.0,942.0,919.2686767578125,0,MGRT.TA
2018-10-31,942.0,940.0,933.0,938.0,915.3651733398438,5158,MGRT.TA
2018-11-01,938.0,950.0,930.0,933.0,910.4857788085938,4842,MGRT.TA
2018-11-04,933.0,929.0,929.0,929.0,906.5823364257812,236,MGRT.TA
2018-11-05,929.0,940.0,920.0,921.0,898.775390625,12767,MGRT.TA
2018-11-06,921.0,923.0,919.0,921.0,898.775390625,6506,MGRT.TA
2018-11-07,918.0,918.0,870.0,905.0,883.1614990234375,13447,MGRT.TA
2018-11-08,910.0,913.0,868.0,893.0,871.4510498046875,11436,MGRT.TA
2018-11-11,903.0,903.0,874.0,879.0,857.7888793945312,4039,MGRT.TA
2018-11-12,879.0,868.0,832.0,842.0,821.6817626953125,10683,MGRT.TA
2018-11-13,842.0,898.0,834.0,874.0,852.9094848632812,13942,MGRT.TA
2018-11-14,874.0,889.0,875.0,878.0,856.8131103515625,2847,MGRT.TA
2018-11-15,878.0,892.0,888.0,891.0,869.4993286132812,2507,MGRT.TA
2018-11-18,891.0,939.0,893.0,899.0,877.3062744140625,15812,MGRT.TA
2018-11-19,899.0,896.0,872.0,883.0,861.6923828125,11386,MGRT.TA
2018-11-20,896.0,896.0,833.0,855.0,834.3680419921875,11301,MGRT.TA
2018-11-21,855.0,868.0,853.0,859.0,838.2715454101562,7757,MGRT.TA
2018-11-22,859.0,862.0,852.0,860.0,839.2473754882812,2814,MGRT.TA
2018-11-25,860.0,881.0,847.0,869.0,848.0302124023438,3112,MGRT.TA
2018-11-26,852.0,865.0,844.0,853.0,848.74462890625,17157,MGRT.TA
2018-11-27,853.0,877.0,853.0,868.0,863.6697998046875,9370,MGRT.TA
2018-11-28,868.0,920.0,866.0,887.0,882.5750122070312,23754,MGRT.TA
2018-11-29,887.0,900.0,848.0,858.0,853.7197265625,18075,MGRT.TA
2018-12-02,858.0,900.0,860.0,896.0,891.5301513671875,13569,MGRT.TA
2018-12-03,861.0,900.0,850.0,873.0,868.6448974609375,22385,MGRT.TA
2018-12-04,873.0,898.0,857.0,882.0,877.5999755859375,10801,MGRT.TA
2018-12-05,882.0,883.0,873.0,880.0,875.6099853515625,5831,MGRT.TA
2018-12-06,880.0,900.0,855.0,900.0,895.5101928710938,29018,MGRT.TA
2018-12-09,900.0,899.0,862.0,886.0,881.5800170898438,9098,MGRT.TA
2018-12-10,886.0,892.0,860.0,870.0,865.6597900390625,9547,MGRT.TA
2018-12-11,870.0,868.0,859.0,862.0,857.6997680664062,5672,MGRT.TA
2018-12-12,862.0,861.0,823.0,836.0,831.8294677734375,22248,MGRT.TA
2018-12-13,827.0,833.0,827.0,831.0,826.8544311523438,5625,MGRT.TA
2018-12-16,831.0,833.0,824.0,825.0,820.8843383789062,575,MGRT.TA
2018-12-17,825.0,830.0,820.0,829.0,824.8643798828125,12594,MGRT.TA
2018-12-18,825.0,830.0,810.0,821.0,816.904296875,12409,MGRT.TA
2018-12-19,821.0,848.0,821.0,833.0,828.8444213867188,3609,MGRT.TA
2018-12-20,833.0,851.0,815.0,828.0,823.8693237304688,19498,MGRT.TA
2018-12-23,816.0,820.0,805.0,818.0,813.9192504882812,10416,MGRT.TA
2018-12-24,818.0,842.0,801.0,807.0,802.97412109375,37092,MGRT.TA
2018-12-25,796.0,815.0,780.0,801.0,797.0040283203125,21151,MGRT.TA
2018-12-26,801.0,832.0,803.0,820.0,815.9092407226562,16664,MGRT.TA
2018-12-27,820.0,844.0,788.0,794.0,790.0390014648438,39087,MGRT.TA
2018-12-30,806.0,821.0,800.0,805.0,800.9840698242188,11935,MGRT.TA
2018-12-31,795.0,830.0,795.0,813.0,808.9442138671875,31335,MGRT.TA
2019-01-01,813.0,824.0,802.0,815.0,810.9342651367188,7560,MGRT.TA
2019-01-02,815.0,825.0,800.0,808.0,803.9691162109375,21509,MGRT.TA
2019-01-03,808.0,806.0,786.0,796.0,792.029052734375,7856,MGRT.TA
2019-01-06,796.0,810.0,788.0,797.0,793.0239868164062,5021,MGRT.TA
2019-01-07,798.0,798.0,798.0,798.0,794.01904296875,3714,MGRT.TA
2019-01-08,798.0,827.0,800.0,821.0,816.904296875,8844,MGRT.TA
2019-01-09,821.0,841.0,830.0,837.0,832.824462890625,8554,MGRT.TA
2019-01-10,837.0,865.0,831.0,854.0,849.7396850585938,18386,MGRT.TA
2019-01-13,867.0,871.0,853.0,864.0,859.6897583007812,8008,MGRT.TA
2019-01-14,874.0,874.0,864.0,869.0,864.6648559570312,7308,MGRT.TA
2019-01-15,869.0,888.0,868.0,881.0,876.60498046875,16003,MGRT.TA
2019-01-16,881.0,900.0,894.0,899.0,894.5151977539062,9863,MGRT.TA
2019-01-17,899.0,899.0,873.0,888.0,883.570068359375,18158,MGRT.TA
2019-01-20,888.0,900.0,885.0,897.0,892.525146484375,8324,MGRT.TA
2019-01-21,897.0,907.0,887.0,896.0,891.5301513671875,6106,MGRT.TA
2019-01-22,896.0,891.0,871.0,880.0,875.6099853515625,4147,MGRT.TA
2019-01-23,880.0,896.0,883.0,890.0,885.56005859375,5276,MGRT.TA
2019-01-24,890.0,895.0,880.0,891.0,886.5550537109375,4527,MGRT.TA
2019-01-27,891.0,891.0,891.0,891.0,886.5550537109375,5084,MGRT.TA
2019-01-28,891.0,896.0,881.0,893.0,888.5451049804688,3860,MGRT.TA
2019-01-29,893.0,899.0,896.0,896.0,891.5301513671875,15410,MGRT.TA
2019-01-30,896.0,893.0,878.0,887.0,882.5750122070312,4569,MGRT.TA
2019-01-31,887.0,900.0,888.0,900.0,895.5101928710938,7005,MGRT.TA
2019-02-03,900.0,903.0,898.0,899.0,894.5151977539062,97239,MGRT.TA
2019-02-04,899.0,903.0,890.0,896.0,891.5301513671875,8701,MGRT.TA
2019-02-05,896.0,900.0,896.0,897.0,892.525146484375,57978,MGRT.TA
2019-02-06,896.0,896.0,876.0,878.0,873.6199340820312,7913,MGRT.TA
2019-02-07,878.0,896.0,880.0,896.0,891.5301513671875,34935,MGRT.TA
2019-02-10,896.0,896.0,860.0,870.0,865.6597900390625,3590,MGRT.TA
2019-02-11,870.0,870.0,862.0,863.0,858.6947631835938,1571,MGRT.TA
2019-02-12,863.0,874.0,825.0,845.0,840.7845458984375,4640,MGRT.TA
2019-02-13,845.0,879.0,850.0,870.0,865.6597900390625,6164,MGRT.TA
2019-02-14,870.0,882.0,862.0,869.0,864.6648559570312,5383,MGRT.TA
2019-02-17,869.0,861.0,858.0,860.0,855.709716796875,1909,MGRT.TA
2019-02-18,873.0,873.0,857.0,863.0,858.6947631835938,1797,MGRT.TA
2019-02-19,897.0,897.0,865.0,875.0,870.6348876953125,9918,MGRT.TA
2019-02-20,888.0,890.0,876.0,878.0,873.6199340820312,2466,MGRT.TA
2019-02-21,878.0,890.0,868.0,874.0,869.6398315429688,4272,MGRT.TA
2019-02-24,874.0,883.0,874.0,875.0,870.6348876953125,1147,MGRT.TA
2019-02-25,875.0,884.0,868.0,879.0,874.6149291992188,1857,MGRT.TA
2019-02-26,879.0,898.0,871.0,888.0,883.570068359375,5721,MGRT.TA
2019-02-27,898.0,898.0,879.0,889.0,884.5650634765625,5553,MGRT.TA
2019-02-28,890.0,900.0,879.0,891.0,886.5550537109375,5245,MGRT.TA
2019-03-03,891.0,893.0,880.0,888.0,883.570068359375,1728,MGRT.TA
2019-03-04,888.0,880.0,880.0,880.0,875.6099853515625,587,MGRT.TA
2019-03-05,880.0,891.0,872.0,876.0,871.6299438476562,3486,MGRT.TA
2019-03-06,876.0,888.0,867.0,879.0,874.6149291992188,3902,MGRT.TA
